video,chunk,bitrate_kbps,vmaf
bigbuckbunny,0,300,73.3254
bigbuckbunny,0,750,85.9601
bigbuckbunny,0,1200,91.3312
bigbuckbunny,0,1850,97.0776
bigbuckbunny,0,2850,98.2112
bigbuckbunny,0,6000,98.1889
bigbuckbunny,1,300,63.6724
bigbuckbunny,1,750,81.0365
bigbuckbunny,1,1200,89.4535
bigbuckbunny,1,1850,96.6044
bigbuckbunny,1,2850,98.7752
bigbuckbunny,1,6000,98.9191
bigbuckbunny,2,300,54.6483
bigbuckbunny,2,750,73.7544
bigbuckbunny,2,1200,84.2631
bigbuckbunny,2,1850,93.0192
bigbuckbunny,2,2850,95.8847
bigbuckbunny,2,6000,95.4168
bigbuckbunny,3,300,51.9792
bigbuckbunny,3,750,73.861
bigbuckbunny,3,1200,83.955
bigbuckbunny,3,1850,91.9602
bigbuckbunny,3,2850,94.7753
bigbuckbunny,3,6000,95.5472
bigbuckbunny,4,300,65.6057
bigbuckbunny,4,750,81.4378
bigbuckbunny,4,1200,89.0795
bigbuckbunny,4,1850,94.5992
bigbuckbunny,4,2850,96.2174
bigbuckbunny,4,6000,96.301
bigbuckbunny,5,300,65.492
bigbuckbunny,5,750,81.79
bigbuckbunny,5,1200,89.1222
bigbuckbunny,5,1850,95.2226
bigbuckbunny,5,2850,96.928
bigbuckbunny,5,6000,96.6769
bigbuckbunny,6,300,55.5328
bigbuckbunny,6,750,76.2253
bigbuckbunny,6,1200,85.1157
bigbuckbunny,6,1850,92.9899
bigbuckbunny,6,2850,95.3002
bigbuckbunny,6,6000,95.6956
bigbuckbunny,7,300,53.5691
bigbuckbunny,7,750,73.6776
bigbuckbunny,7,1200,83.6069
bigbuckbunny,7,1850,91.5108
bigbuckbunny,7,2850,94.0837
bigbuckbunny,7,6000,94.9688
bigbuckbunny,8,300,50.2649
bigbuckbunny,8,750,72.905
bigbuckbunny,8,1200,82.8918
bigbuckbunny,8,1850,89.6725
bigbuckbunny,8,2850,92.9082
bigbuckbunny,8,6000,94.0369
bigbuckbunny,9,300,54.0099
bigbuckbunny,9,750,76.0821
bigbuckbunny,9,1200,86.0684
bigbuckbunny,9,1850,92.8585
bigbuckbunny,9,2850,95.2444
bigbuckbunny,9,6000,96.0949
bigbuckbunny,10,300,56.1987
bigbuckbunny,10,750,77.6459
bigbuckbunny,10,1200,86.9589
bigbuckbunny,10,1850,93.3364
bigbuckbunny,10,2850,95.1701
bigbuckbunny,10,6000,95.6771
bigbuckbunny,11,300,58.0612
bigbuckbunny,11,750,79.2882
bigbuckbunny,11,1200,88.2799
bigbuckbunny,11,1850,93.8577
bigbuckbunny,11,2850,95.9409
bigbuckbunny,11,6000,96.7699
bigbuckbunny,12,300,54.6306
bigbuckbunny,12,750,78.293
bigbuckbunny,12,1200,87.72
bigbuckbunny,12,1850,94.2488
bigbuckbunny,12,2850,96.8399
bigbuckbunny,12,6000,97.5587
bigbuckbunny,13,300,56.3804
bigbuckbunny,13,750,77.5855
bigbuckbunny,13,1200,86.4993
