video,chunk,n_inverted_pairs,highest_index_vmaf,best_vmaf,blind_regret
bigbuckbunny,0,1,98.189,98.211,0.022
bigbuckbunny,1,0,98.919,98.919,0.0
bigbuckbunny,2,1,95.417,95.885,0.468
bigbuckbunny,3,0,95.547,95.547,0.0
bigbuckbunny,4,0,96.301,96.301,0.0
bigbuckbunny,5,1,96.677,96.928,0.251
bigbuckbunny,6,0,95.696,95.696,0.0
bigbuckbunny,7,0,94.969,94.969,0.0
bigbuckbunny,8,0,94.037,94.037,0.0
bigbuckbunny,9,0,96.095,96.095,0.0
bigbuckbunny,10,0,95.677,95.677,0.0
bigbuckbunny,11,0,96.77,96.77,0.0
bigbuckbunny,12,0,97.559,97.559,0.0
bigbuckbunny,13,0,97.06,97.06,0.0
bigbuckbunny,14,0,97.251,97.251,0.0
bigbuckbunny,15,0,97.696,97.696,0.0
bigbuckbunny,16,1,98.626,98.834,0.208
bigbuckbunny,17,1,97.123,97.547,0.424
bigbuckbunny,18,1,97.136,97.788,0.652
bigbuckbunny,19,0,98.813,98.813,0.0
bigbuckbunny,20,0,97.493,97.493,0.0
bigbuckbunny,21,1,96.736,96.793,0.058
bigbuckbunny,22,1,96.243,96.657,0.414
bigbuckbunny,23,1,96.979,97.314,0.335
bigbuckbunny,24,1,97.238,97.675,0.437
bigbuckbunny,25,1,94.619,96.938,2.32
bigbuckbunny,26,0,98.874,98.874,0.0
bigbuckbunny,27,0,98.633,98.633,0.0
bigbuckbunny,28,1,97.592,98.789,1.198
bigbuckbunny,29,1,98.269,98.872,0.603
bigbuckbunny,30,0,98.251,98.251,0.0
bigbuckbunny,31,1,96.936,97.043,0.107
bigbuckbunny,32,1,96.734,96.802,0.068
bigbuckbunny,33,0,97.05,97.05,0.0
bigbuckbunny,34,0,97.218,97.218,0.0
bigbuckbunny,35,0,98.338,98.338,0.0
bigbuckbunny,36,0,96.096,96.096,0.0
bigbuckbunny,37,0,96.498,96.498,0.0
bigbuckbunny,38,0,97.039,97.039,0.0
bigbuckbunny,39,1,95.775,96.462,0.687
bigbuckbunny,40,0,97.046,97.046,0.0
bigbuckbunny,41,0,96.616,96.616,0.0
bigbuckbunny,42,0,97.058,97.058,0.0
bigbuckbunny,43,0,98.203,98.203,0.0
bigbuckbunny,44,1,98.648,98.985,0.337
bigbuckbunny,45,0,99.629,99.629,0.0
bigbuckbunny,46,0,98.987,98.987,0.0
bigbuckbunny,47,1,96.415,96.937,0.522
crowd_run,0,0,59.967,59.967,0.0
crowd_run,1,0,61.986,61.986,0.0
crowd_run,2,0,66.075,66.075,0.0
sintel,0,1,97.18,97.18,0.0
sintel,1,1,98.093,98.093,0.0
sintel,2,1,97.366,97.366,0.0
sintel,3,0,95.929,95.929,0.0
sintel,4,0,96.967,96.967,0.0
