video,chunk,bitrate_kbps,vmaf
bigbuckbunny,0,300,59.0998
bigbuckbunny,0,750,77.5899
bigbuckbunny,0,1200,87.8895
bigbuckbunny,0,1850,92.2687
bigbuckbunny,0,2850,94.6797
bigbuckbunny,0,6000,97.693
bigbuckbunny,1,300,57.7321
bigbuckbunny,1,750,76.5768
bigbuckbunny,1,1200,89.1877
bigbuckbunny,1,1850,94.0226
bigbuckbunny,1,2850,96.5096
bigbuckbunny,1,6000,98.9304
bigbuckbunny,2,300,50.6397
bigbuckbunny,2,750,70.0332
bigbuckbunny,2,1200,83.1435
bigbuckbunny,2,1850,89.4205
bigbuckbunny,2,2850,93.0576
bigbuckbunny,2,6000,97.6255
bigbuckbunny,3,300,51.6814
bigbuckbunny,3,750,69.0703
bigbuckbunny,3,1200,80.4223
bigbuckbunny,3,1850,87.2185
bigbuckbunny,3,2850,91.4562
bigbuckbunny,3,6000,97.7191
bigbuckbunny,4,300,25.8327
bigbuckbunny,4,750,54.0431
bigbuckbunny,4,1200,72.9557
bigbuckbunny,4,1850,82.7143
bigbuckbunny,4,2850,89.0183
bigbuckbunny,4,6000,96.5762
bigbuckbunny,5,300,37.5499
bigbuckbunny,5,750,63.6046
bigbuckbunny,5,1200,80.3543
bigbuckbunny,5,1850,87.8579
bigbuckbunny,5,2850,92.2355
bigbuckbunny,5,6000,96.8738
bigbuckbunny,6,300,47.0405
bigbuckbunny,6,750,68.5247
bigbuckbunny,6,1200,84.3547
bigbuckbunny,6,1850,90.8093
bigbuckbunny,6,2850,93.9
bigbuckbunny,6,6000,97.1017
bigbuckbunny,7,300,43.9785
bigbuckbunny,7,750,65.7299
bigbuckbunny,7,1200,82.9095
bigbuckbunny,7,1850,89.9235
bigbuckbunny,7,2850,93.3546
bigbuckbunny,7,6000,97.0639
bigbuckbunny,8,300,50.208
bigbuckbunny,8,750,70.0964
bigbuckbunny,8,1200,85.5291
bigbuckbunny,8,1850,91.6637
bigbuckbunny,8,2850,94.5616
bigbuckbunny,8,6000,97.6428
bigbuckbunny,9,300,49.2101
bigbuckbunny,9,750,69.3067
bigbuckbunny,9,1200,85.0436
bigbuckbunny,9,1850,91.3968
bigbuckbunny,9,2850,94.4754
bigbuckbunny,9,6000,98.0878
bigbuckbunny,10,300,37.7882
bigbuckbunny,10,750,53.3775
bigbuckbunny,10,1200,69.5189
