video,bitrate_kbps,vmaf
bigbuckbunny,300,66.58
bigbuckbunny,750,83.73
bigbuckbunny,1200,90.34
bigbuckbunny,1850,95.49
bigbuckbunny,2850,97.11
bigbuckbunny,6000,97.14
cosmos,300,62.76
cosmos,750,80.7
cosmos,1200,78.37
cosmos,1850,88.81
cosmos,2850,92.16
cosmos,6000,97.39
crowd_run,300,4.03
crowd_run,750,15.45
crowd_run,1200,24.75
crowd_run,1850,32.84
crowd_run,2850,44.66
crowd_run,6000,62.0
ducks,300,8.57
ducks,750,22.89
ducks,1200,20.04
ducks,1850,24.14
ducks,2850,33.59
ducks,6000,45.18
elephants_dream,300,64.95
elephants_dream,750,82.47
elephants_dream,1200,74.96
elephants_dream,1850,84.2
elephants_dream,2850,88.26
elephants_dream,6000,96.13
into_tree,300,46.75
into_tree,750,69.28
into_tree,1200,55.39
into_tree,1850,65.67
into_tree,2850,73.71
into_tree,6000,82.83
kristen_and_sara,300,57.88
kristen_and_sara,750,79.27
kristen_and_sara,1200,82.46
kristen_and_sara,1850,91.93
kristen_and_sara,2850,93.91
kristen_and_sara,6000,95.44
old_town_cross,300,42.14
old_town_cross,750,67.18
old_town_cross,1200,67.24
old_town_cross,1850,80.64
old_town_cross,2850,84.78
old_town_cross,6000,91.63
parkjoy,300,16.86
parkjoy,750,35.03
parkjoy,1200,30.87
parkjoy,1850,38.95
parkjoy,2850,49.1
parkjoy,6000,63.41
rush_hour,300,64.92
rush_hour,750,83.57
rush_hour,1200,80.31
rush_hour,1850,85.8
rush_hour,2850,90.76
rush_hour,6000,94.76
sintel,300,74.82
sintel,750,87.43
sintel,1200,95.19
sintel,1850,95.31
sintel,2850,96.41
sintel,6000,97.71
sunflower,300,73.91
sunflower,750,91.2
sunflower,1200,90.23
sunflower,1850,95.35
sunflower,2850,97.36
sunflower,6000,98.78
tearsofsteel,300,70.59
tearsofsteel,750,87.87
tearsofsteel,1200,82.23
tearsofsteel,1850,89.19
tearsofsteel,2850,92.62
tearsofsteel,6000,96.71
tearsofsteel_short,300,67.85
tearsofsteel_short,750,86.63
tearsofsteel_short,1200,92.82
tearsofsteel_short,1850,95.92
tearsofsteel_short,2850,97.6
tearsofsteel_short,6000,98.49
