Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate,Shield_Reason
Proposed_V13_Base,bigbuckbunny,0,0,0,0,300,1126.0,1.17,4.0,0.807,66.58,0.0,63.11,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,1,1,1,750,892.4,4.0,5.11,0.0,83.73,17.15,66.58,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,2,1,1,750,941.8,5.11,5.53,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,3,1,1,750,463.6,5.53,4.0,0.818,83.73,0.0,80.21,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,4,1,1,750,1052.0,4.0,4.82,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,5,1,1,750,355.7,4.82,4.0,0.636,83.73,0.0,81.0,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,6,1,1,750,952.1,4.0,6.2,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,7,1,1,750,1023.8,6.2,8.91,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,8,1,1,750,960.6,8.91,10.17,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,9,2,2,1200,955.9,10.17,10.48,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,10,2,2,1200,880.2,10.48,10.76,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,11,2,2,1200,1063.0,10.76,11.0,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,12,2,2,1200,934.7,11.0,7.48,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,13,2,2,1200,994.6,7.48,6.36,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,14,1,1,750,1000.9,6.36,7.26,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,15,2,2,1200,858.9,7.26,7.42,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,16,1,1,750,1103.0,7.42,5.27,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,17,1,1,750,966.8,5.27,6.83,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,18,1,1,750,810.4,6.83,7.97,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,19,1,1,750,971.9,7.97,7.56,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,20,1,1,750,704.0,7.56,4.0,1.271,83.73,0.0,78.26,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,21,1,1,750,1036.7,4.0,4.47,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,22,1,1,750,1087.5,4.47,6.42,0.0,83.73,0.0,83.73,0,0.0,
