Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate,Shield_Reason
Proposed_V13_Base,bigbuckbunny,0,0,1,1,750,1126.0,1.17,4.0,2.576,83.73,0.0,72.65,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,1,1,1,750,892.4,4.0,4.47,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,2,1,1,750,941.8,4.47,6.18,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,3,1,1,750,463.6,6.18,4.0,2.639,83.73,0.0,72.38,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,4,1,1,750,1052.0,4.0,4.0,3.105,83.73,0.0,70.38,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,5,1,1,750,355.7,4.0,4.0,3.695,83.73,0.0,67.84,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,6,1,1,750,952.1,4.0,4.84,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,7,1,1,750,1023.8,4.84,5.61,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,8,1,1,750,960.6,5.61,4.52,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,9,1,1,750,955.9,4.52,6.21,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,10,1,1,750,880.2,6.21,6.57,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,11,1,1,750,1063.0,6.57,8.56,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,12,1,1,750,934.7,8.56,8.89,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,13,2,2,1200,994.6,8.89,9.97,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,14,2,2,1200,1000.9,9.97,11.87,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,15,2,2,1200,858.9,11.87,13.4,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,16,2,2,1200,1103.0,13.4,12.23,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,17,2,2,1200,966.8,12.23,12.33,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,18,2,2,1200,810.4,12.33,13.56,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,19,2,2,1200,971.9,13.56,12.98,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,20,2,2,1200,704.0,12.98,6.0,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,21,1,1,750,1036.7,6.0,7.19,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,22,1,1,750,1087.5,7.19,8.4,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,23,1,1,750,1111.3,8.4,8.6,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,24,1,1,750,1138.6,8.6,6.18,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,25,2,2,1200,1073.9,6.18,6.28,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,26,1,1,750,1065.4,6.28,6.44,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,27,1,1,750,984.5,6.44,8.09,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,28,1,1,750,824.4,8.09,5.47,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,29,1,1,750,1037.6,5.47,7.23,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,30,1,1,750,1055.3,7.23,8.7,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,31,2,2,1200,1126.0,8.7,10.46,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,32,2,2,1200,892.4,10.46,7.84,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,33,2,2,1200,941.8,7.84,9.65,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,34,2,2,1200,463.6,9.65,7.85,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,35,2,2,1200,1052.0,7.85,9.75,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,36,2,2,1200,355.7,9.75,4.0,2.661,90.34,0.0,78.9,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,37,1,1,750,952.1,4.0,5.66,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,38,1,1,750,1023.8,5.66,7.52,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,39,1,1,750,960.6,7.52,8.89,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,40,1,1,750,955.9,8.89,7.65,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,41,1,1,750,880.2,7.65,7.52,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,42,1,1,750,1063.0,7.52,8.81,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,43,1,1,750,934.7,8.81,8.66,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,44,1,1,750,994.6,8.66,6.23,0.0,83.73,0.0,83.73,0,0.0,
