Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate,Shield_Reason
Proposed_V13_Base,bigbuckbunny,0,0,0,0,300,1126.0,1.17,4.0,0.736,66.58,0.0,63.42,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,1,1,1,750,892.4,4.0,5.03,0.0,83.73,17.15,66.58,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,2,1,1,750,941.8,5.03,7.0,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,3,1,1,750,463.6,7.0,4.0,0.679,83.73,0.0,80.81,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,4,1,1,750,1052.0,4.0,4.0,0.705,83.73,0.0,80.7,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,5,1,1,750,355.7,4.0,4.0,1.142,83.73,0.0,78.82,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,6,1,1,750,952.1,4.0,6.07,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,7,1,1,750,1023.8,6.07,7.91,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,8,1,1,750,960.6,7.91,8.0,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,9,2,2,1200,955.9,8.0,9.99,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,10,2,2,1200,880.2,9.99,11.81,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,11,2,2,1200,1063.0,11.81,12.97,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,12,2,2,1200,934.7,12.97,9.96,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,13,2,2,1200,994.6,9.96,10.06,0.0,90.34,0.0,90.34,0,0.0,
