Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate,Shield_Reason
Proposed_V13_Base,bigbuckbunny,0,0,1,1,750,1126.0,1.17,4.0,1.779,83.73,0.0,76.08,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,1,1,1,750,892.4,4.0,5.83,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,2,1,1,750,941.8,5.83,7.71,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,3,1,1,750,463.6,7.71,7.23,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,4,1,1,750,1052.0,7.23,7.65,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,5,1,1,750,355.7,7.65,4.46,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,6,1,1,750,952.1,4.46,6.49,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,7,1,1,750,1023.8,6.49,7.3,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,8,1,1,750,960.6,7.3,5.81,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,9,1,1,750,955.9,5.81,6.04,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,10,1,1,750,880.2,6.04,5.64,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,11,1,1,750,1063.0,5.64,7.32,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,12,1,1,750,934.7,7.32,4.3,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,13,1,1,750,994.6,4.3,4.71,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,14,1,1,750,1000.9,4.71,6.64,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,15,1,1,750,858.9,6.64,6.96,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,16,1,1,750,1103.0,6.96,6.44,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,17,1,1,750,966.8,6.44,7.31,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,18,2,2,1200,810.4,7.31,7.05,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,19,2,2,1200,971.9,7.05,7.62,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,20,1,1,750,704.0,7.62,6.13,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,21,1,1,750,1036.7,6.13,8.16,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,22,2,2,1200,1087.5,8.16,9.46,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,23,2,2,1200,1111.3,9.46,10.31,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,24,2,2,1200,1138.6,10.31,9.05,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,25,2,2,1200,1073.9,9.05,9.82,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,26,2,2,1200,1065.4,9.82,9.79,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,27,2,2,1200,984.5,9.79,8.48,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,28,1,1,750,824.4,8.48,6.17,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,29,1,1,750,1037.6,6.17,6.89,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,30,1,1,750,1055.3,6.89,6.98,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,31,1,1,750,1126.0,6.98,7.37,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,32,1,1,750,892.4,7.37,5.25,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,33,1,1,750,941.8,5.25,5.08,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,34,1,1,750,463.6,5.08,4.76,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,35,1,1,750,1052.0,4.76,6.92,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,36,1,1,750,355.7,6.92,4.0,7.411,83.73,0.0,51.86,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,37,1,1,750,952.1,4.0,5.85,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,38,1,1,750,1023.8,5.85,7.51,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,39,1,1,750,960.6,7.51,9.02,0.0,83.73,0.0,83.73,0,0.0,
