Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate,Shield_Reason
Proposed_V13_Base,bigbuckbunny,0,0,1,1,750,1126.0,1.17,4.0,3.317,83.73,0.0,69.47,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,1,1,1,750,892.4,4.0,4.45,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,2,1,1,750,941.8,4.45,5.9,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,3,1,1,750,463.6,5.9,4.0,3.312,83.73,0.0,69.49,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,4,1,1,750,1052.0,4.0,4.0,2.938,83.73,0.0,71.09,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,5,1,1,750,355.7,4.0,4.0,2.422,83.73,0.0,73.32,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,6,1,1,750,952.1,4.0,4.8,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,7,1,1,750,1023.8,4.8,6.25,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,8,1,1,750,960.6,6.25,5.93,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,9,1,1,750,955.9,5.93,7.86,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,10,1,1,750,880.2,7.86,9.1,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,11,2,2,1200,1063.0,9.1,10.06,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,12,2,2,1200,934.7,10.06,8.99,0.0,90.34,0.0,90.34,0,0.0,
