Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate,Shield_Reason
Proposed_V13_Base,bigbuckbunny,0,0,0,0,300,1126.0,1.17,4.0,1.087,66.58,0.0,61.9,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,1,1,1,750,892.4,4.0,4.13,0.0,83.73,17.15,66.58,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,2,1,1,750,941.8,4.13,5.28,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,3,1,1,750,463.6,5.28,5.48,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,4,1,1,750,1052.0,5.48,4.65,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,5,1,1,750,355.7,4.65,4.0,2.854,83.73,0.0,71.46,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,6,1,1,750,952.1,4.0,6.34,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,7,1,1,750,1023.8,6.34,8.23,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,8,1,1,750,960.6,8.23,9.5,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,9,2,2,1200,955.9,9.5,11.14,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,10,2,2,1200,880.2,11.14,11.53,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,11,2,2,1200,1063.0,11.53,12.17,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,12,2,2,1200,934.7,12.17,8.35,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,13,2,2,1200,994.6,8.35,9.16,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,14,2,2,1200,1000.9,9.16,9.41,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,15,2,2,1200,858.9,9.41,9.85,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,16,1,1,750,1103.0,9.85,8.23,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,17,2,2,1200,966.8,8.23,8.12,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,18,1,1,750,810.4,8.12,6.64,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,19,1,1,750,971.9,6.64,6.22,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,20,1,1,750,704.0,6.22,4.0,4.143,83.73,0.0,65.92,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,21,1,1,750,1036.7,4.0,4.25,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,22,1,1,750,1087.5,4.25,5.63,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,23,2,2,1200,1111.3,5.63,7.11,0.0,90.34,6.61,83.73,0,0.0,
