Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate
Proposed,bigbuckbunny,0,0,0,0,300,1126.0,1.17,4.0,0.685,66.58,0.0,63.63,0,0.0
Proposed,bigbuckbunny,0,1,1,1,750,892.4,4.0,4.5,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,0,2,1,1,750,941.8,4.5,6.24,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,0,3,1,1,750,463.6,6.24,6.29,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,0,4,1,1,750,1052.0,6.29,6.07,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,0,5,1,1,750,355.7,6.07,4.97,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,0,6,1,1,750,952.1,4.97,6.84,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,0,7,1,1,750,1023.8,6.84,8.67,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,0,8,1,1,750,960.6,8.67,9.18,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,0,9,1,1,750,955.9,9.18,11.05,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,0,10,1,1,750,880.2,11.05,13.54,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,0,11,1,1,750,1063.0,13.54,16.07,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,0,12,1,1,750,934.7,16.07,15.39,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,0,13,2,2,1200,994.6,15.39,15.51,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,0,14,2,2,1200,1000.9,15.51,14.37,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,0,15,2,2,1200,858.9,14.37,12.57,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,0,16,1,1,750,1103.0,12.57,11.34,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,0,17,2,2,1200,966.8,11.34,11.93,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,0,18,1,1,750,810.4,11.93,10.48,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,0,19,1,1,750,971.9,10.48,10.84,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,0,20,1,1,750,704.0,10.84,7.46,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,0,21,2,2,1200,1036.7,7.46,7.82,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,0,22,1,1,750,1087.5,7.82,9.03,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,0,23,1,1,750,1111.3,9.03,10.72,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,0,24,1,1,750,1138.6,10.72,11.16,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,0,25,2,2,1200,1073.9,11.16,12.27,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,0,26,2,2,1200,1065.4,12.27,12.59,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,0,27,2,2,1200,984.5,12.59,14.64,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,0,28,1,1,750,824.4,14.64,14.55,0.0,83.73,6.61,77.12,0,0.0
