Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate
Proposed,bigbuckbunny,0,0,0,0,300,1126.0,1.17,4.0,1.342,66.58,0.0,60.81,0,0.0
Proposed,bigbuckbunny,0,1,0,0,300,892.4,4.0,6.88,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,0,2,1,1,750,941.8,6.88,8.13,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,0,3,0,0,300,463.6,8.13,9.68,0.0,66.58,17.15,49.43,0,0.0
Proposed,bigbuckbunny,0,4,0,0,300,1052.0,9.68,11.3,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,0,5,1,1,750,355.7,11.3,7.43,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,0,6,1,1,750,952.1,7.43,9.56,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,0,7,1,1,750,1023.8,9.56,12.15,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,0,8,1,1,750,960.6,12.15,12.2,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,0,9,2,2,1200,955.9,12.2,14.19,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,0,10,2,2,1200,880.2,14.19,15.14,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,0,11,2,2,1200,1063.0,15.14,15.95,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,0,12,2,2,1200,934.7,15.95,15.38,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,0,13,2,2,1200,994.6,15.38,16.23,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,0,14,2,2,1200,1000.9,16.23,18.14,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,0,15,2,2,1200,858.9,18.14,18.02,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,0,16,2,2,1200,1103.0,18.02,15.5,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,0,17,2,2,1200,966.8,15.5,15.23,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,0,18,2,2,1200,810.4,15.23,12.67,0.0,90.34,0.0,90.34,0,0.0
