Method,Video,Episode,VMAF,Rebuffer,QoE,Switch
Proposed_Shielded,bigbuckbunny,0,84.55625,10.042393829661867,3942.739996542312,5
Proposed_Shielded,bigbuckbunny,1,84.28416666666668,53.26312839197267,3579.299611995874,4
Proposed_Shielded,bigbuckbunny,2,84.28083333333333,6.773516920271104,3976.337844306242,2
Proposed_Shielded,bigbuckbunny,3,86.25520833333336,8.804391045643028,4030.8209475271724,6
Proposed_Shielded,bigbuckbunny,4,83.73,3.499595553452738,3990.1473391106947,0
Proposed_Shielded,bigbuckbunny,5,84.14312500000001,20.742346446848657,3841.181187734818,4
Proposed_Shielded,bigbuckbunny,6,84.28416666666668,54.05374405149428,3572.7722891108638,4
Proposed_Shielded,bigbuckbunny,7,83.86770833333334,11.1938555896524,3920.0135282518304,2
Proposed_Shielded,bigbuckbunny,8,83.73,2.879869914750181,3995.263793983823,0
Proposed_Shielded,bigbuckbunny,9,86.39625000000001,17.46535586459961,3926.1060219818664,13
Proposed_Shielded,bigbuckbunny,10,84.14312500000001,27.40457459504934,3786.177832143273,4
Proposed_Shielded,bigbuckbunny,11,87.34249999999997,4.401653777373893,4122.279946414,6
Proposed_Shielded,bigbuckbunny,12,93.79229166666664,5.995898071623273,4351.007865520677,24
Proposed_Shielded,bigbuckbunny,13,84.00541666666668,43.25099135213384,3648.739815396784,4
Proposed_Shielded,bigbuckbunny,14,90.56041666666664,2.750548234341997,4297.431473777271,5
Proposed_Shielded,bigbuckbunny,15,83.86770833333334,11.299840862612713,3919.1385138382702,2
Proposed_Shielded,bigbuckbunny,16,94.35770833333329,7.079641947693667,4381.670476079839,24
Proposed_Shielded,bigbuckbunny,17,84.28083333333335,29.599673315295448,3768.055097108921,5
Proposed_Shielded,bigbuckbunny,18,84.42187500000001,63.76491345301433,3485.986874531914,6
Proposed_Shielded,bigbuckbunny,19,94.14916666666664,0.1225581684434258,4472.76815976133,16
Proposed_ShieldedQoE,bigbuckbunny,0,84.25041666666665,29.289140356587577,3728.2388572160125,7
Proposed_ShieldedQoE,bigbuckbunny,1,77.98104166666664,42.665504115338,3115.8035980237682,11
Proposed_ShieldedQoE,bigbuckbunny,2,85.40020833333331,9.035370019342292,3960.313985120309,7
Proposed_ShieldedQoE,bigbuckbunny,3,85.27208333333333,14.723693347270986,3822.441187724931,11
Proposed_ShieldedQoE,bigbuckbunny,4,85.10708333333336,3.499595553452738,4036.4173391106956,3
Proposed_ShieldedQoE,bigbuckbunny,5,79.84541666666667,36.343659610870574,3253.746746252653,13
Proposed_ShieldedQoE,bigbuckbunny,6,77.70166666666664,30.257384744135727,3231.6550315524146,10
Proposed_ShieldedQoE,bigbuckbunny,7,82.85958333333333,23.00761898845116,3665.069097631347,6
Proposed_ShieldedQoE,bigbuckbunny,8,85.10708333333336,2.879869914750181,4041.5337939838237,3
Proposed_ShieldedQoE,bigbuckbunny,9,85.02229166666665,64.37534351691787,3210.797163924325,21
