Method,Video,Episode,VMAF,Rebuffer,QoE,Switch
Proposed_V13_Base,bigbuckbunny,0,85.79562500000002,7.643244724628732,4015.427371553466,6
Proposed_V13_Base,bigbuckbunny,1,83.73,39.99240875492035,3688.8626733193782,0
Proposed_V13_Base,bigbuckbunny,2,85.79562500000002,7.605869165188299,4015.735944172206,6
Proposed_V13_Base,bigbuckbunny,3,86.8972916666667,15.271052083912437,3992.1121939952204,8
Proposed_V13_Base,bigbuckbunny,4,85.93333333333335,3.760301200363344,4040.8749532898014,8
Proposed_V13_Base,bigbuckbunny,5,84.69395833333336,23.8105528656476,3815.850075541214,8
Proposed_V13_Base,bigbuckbunny,6,83.73,40.78302441444197,3682.3353504343677,0
Proposed_V13_Base,bigbuckbunny,7,84.83166666666668,24.07290938660108,3807.074060104222,10
Proposed_V13_Base,bigbuckbunny,8,85.93333333333335,3.140575561660787,4045.9914081629295,8
Proposed_V13_Base,bigbuckbunny,9,86.621875,18.59321220177837,3911.8044400621184,14
Proposed_V13_Base,bigbuckbunny,10,84.69395833333336,29.258641598017793,3784.0906549667666,6
Proposed_V13_Base,bigbuckbunny,11,87.44812500000002,4.092357643439426,4110.843495295765,8
Proposed_V13_Base,bigbuckbunny,12,89.92687500000005,0.0,4296.660000000003,3
Proposed_V13_Base,bigbuckbunny,13,84.41854166666668,45.90154563431164,3646.6868392431243,4
Proposed_V13_Base,bigbuckbunny,14,89.65145833333337,2.0192151587148754,4273.379359649651,2
Proposed_V13_Base,bigbuckbunny,15,84.83166666666668,24.178894659561394,3806.199045690662,10
Proposed_V13_Base,bigbuckbunny,16,89.65145833333338,2.611166332501268,4248.662210758872,5
Proposed_V13_Base,bigbuckbunny,17,84.69395833333336,29.319460242431912,3783.588536238484,6
Proposed_V13_Base,bigbuckbunny,18,84.41854166666668,46.08108708697289,3645.2045450099527,4
Proposed_V13_Base,bigbuckbunny,19,90.20229166666672,0.0,4323.100000000003,1
Proposed_V13_SoftGuard,bigbuckbunny,0,84.64187500000001,4.278903119492721,3867.7733758454688,12
Proposed_V13_SoftGuard,bigbuckbunny,1,78.56416666666667,3.0966944555772677,3376.073690574754,23
Proposed_V13_SoftGuard,bigbuckbunny,2,84.77958333333335,4.683846554014226,3831.3801628500596,18
Proposed_V13_SoftGuard,bigbuckbunny,3,85.02895833333336,1.7702000570234577,3897.7752283292157,15
Proposed_V13_SoftGuard,bigbuckbunny,4,85.49416666666667,1.6191620714974053,3972.8021979377177,13
Proposed_V13_SoftGuard,bigbuckbunny,5,81.47833333333334,2.592423076037295,3648.0269550842363,18
Proposed_V13_SoftGuard,bigbuckbunny,6,78.56416666666667,3.8873101150988782,3369.5463676897434,23
Proposed_V13_SoftGuard,bigbuckbunny,7,83.04520833333335,8.37709052092112,3782.308740659276,14
Proposed_V13_SoftGuard,bigbuckbunny,8,85.85145833333335,2.4425897417592504,4000.303979092036,12
Proposed_V13_SoftGuard,bigbuckbunny,9,83.76354166666667,2.755281942626231,3815.6823922816775,17
Proposed_V13_SoftGuard,bigbuckbunny,10,80.81958333333336,5.639601879054005,3543.729446886531,22
Proposed_V13_SoftGuard,bigbuckbunny,11,87.09083333333335,2.6214875728143294,4088.6869985988455,9
Proposed_V13_SoftGuard,bigbuckbunny,12,89.92687500000005,0.0,4296.660000000003,3
Proposed_V13_SoftGuard,bigbuckbunny,13,78.62,3.50427811311279,3400.3986798981414,24
Proposed_V13_SoftGuard,bigbuckbunny,14,89.65145833333337,2.0192151587148754,4273.379359649651,2
Proposed_V13_SoftGuard,bigbuckbunny,15,83.04520833333335,8.483075793881428,3781.4337262457157,14
Proposed_V13_SoftGuard,bigbuckbunny,16,89.29416666666673,1.7805621441913067,4221.219678937559,6
Proposed_V13_SoftGuard,bigbuckbunny,17,80.81958333333336,5.70042052346812,3543.227328158248,22
Proposed_V13_SoftGuard,bigbuckbunny,18,78.62,3.6838195657740433,3398.9163856649693,24
Proposed_V13_SoftGuard,bigbuckbunny,19,90.20229166666672,0.0,4323.100000000003,1
Proposed_V13_TightGuard,bigbuckbunny,0,84.28458333333334,0.16962235358609287,3871.329597848794,15
Proposed_V13_TightGuard,bigbuckbunny,1,77.90541666666665,1.0846545169102875,3347.8450923083883,25
Proposed_V13_TightGuard,bigbuckbunny,2,84.28458333333334,0.13224679414565915,3845.1981704675345,19
Proposed_V13_TightGuard,bigbuckbunny,3,84.6716666666667,0.9681153585425583,3887.247239599874,15
Proposed_V13_TightGuard,bigbuckbunny,4,85.27458333333335,0.0941451266027704,3953.7727378347686,13
Proposed_V13_TightGuard,bigbuckbunny,5,80.95729166666668,0.3009927292512473,3499.3750040273017,28
Proposed_V13_TightGuard,bigbuckbunny,6,77.90541666666665,1.875270176431898,3341.317769423378,25
Proposed_V13_TightGuard,bigbuckbunny,7,81.97333333333334,1.3877734674935769,3729.2525422523736,15
Proposed_V13_TightGuard,bigbuckbunny,8,85.49416666666669,0.41132891530230264,3969.5540684752655,15
Proposed_V13_TightGuard,bigbuckbunny,9,83.68166666666667,0.14792127207841932,3829.3487619777206,14
Proposed_V13_TightGuard,bigbuckbunny,10,80.10500000000002,1.3002055686503653,3476.6555028252233,26
Proposed_V13_TightGuard,bigbuckbunny,11,86.51395833333335,0.07006199703116466,4013.461568152512,13
Proposed_V13_TightGuard,bigbuckbunny,12,89.92687500000005,0.0,4296.660000000003,3
Proposed_V13_TightGuard,bigbuckbunny,13,77.82354166666669,0.6271889659700276,3385.921927896952,24
Proposed_V13_TightGuard,bigbuckbunny,14,89.2941666666667,0.0638399846987625,4238.072937086328,3
Proposed_V13_TightGuard,bigbuckbunny,15,81.97333333333334,1.4937587404538868,3728.3775278388134,15
Proposed_V13_TightGuard,bigbuckbunny,16,89.43187500000005,0.0,4255.750000000003,4
Proposed_V13_TightGuard,bigbuckbunny,17,80.10500000000002,1.36102421306448,3476.1533840969405,26
Proposed_V13_TightGuard,bigbuckbunny,18,77.82354166666669,0.8067304186312811,3384.439633663781,24
Proposed_V13_TightGuard,bigbuckbunny,19,90.20229166666672,0.0,4323.100000000003,1
Pensieve_V13,bigbuckbunny,0,85.42895833333334,8.291850944412676,3968.952478602929,10
Pensieve_V13,bigbuckbunny,1,83.73,39.99240875492035,3688.8626733193782,0
Pensieve_V13,bigbuckbunny,2,85.70437500000001,10.072814572002343,3954.248842893549,12
Pensieve_V13,bigbuckbunny,3,86.43937499999998,15.822444258007732,3944.9799002058876,11
Pensieve_V13,bigbuckbunny,4,85.76520833333336,6.344870677339941,4001.166747687883,10
Pensieve_V13,bigbuckbunny,5,84.38812500000002,25.261090598282728,3805.334436020579,6
Pensieve_V13,bigbuckbunny,6,83.73,40.78302441444197,3682.3353504343677,0
Pensieve_V13,bigbuckbunny,7,84.52583333333334,23.580207504900727,3825.82180683954,5
Pensieve_V13,bigbuckbunny,8,85.48979166666669,3.8644044488389233,4021.645476870387,8
Pensieve_V13,bigbuckbunny,9,85.8725,15.21087032735047,3919.8990545773945,11
Pensieve_V13,bigbuckbunny,10,84.90854166666668,32.74674135289739,3768.51290339048,6
Pensieve_V13,bigbuckbunny,11,87.14395833333333,5.355620080423324,4091.654000616025,7
Pensieve_V13,bigbuckbunny,12,93.13124999999992,2.152562446148551,4380.508444444595,11
Pensieve_V13,bigbuckbunny,13,84.00541666666668,42.74239176562939,3666.1588135829647,2
Pensieve_V13,bigbuckbunny,14,91.27854166666661,2.9672810576494904,4296.612127588042,9
Pensieve_V13,bigbuckbunny,15,84.52583333333334,23.68619277786104,3824.9467924259798,5
Pensieve_V13,bigbuckbunny,16,93.65166666666654,4.849205972238568,4419.964955493193,6
Pensieve_V13,bigbuckbunny,17,84.49541666666667,30.161688107194422,3783.245102987003,4
Pensieve_V13,bigbuckbunny,18,84.00541666666668,42.92193321829064,3664.6765193497936,2
Pensieve_V13,bigbuckbunny,19,93.89666666666659,0.0,4474.679999999997,6
RobustMPC,bigbuckbunny,0,87.70916666666666,21.344142063077285,3980.172763127234,9
RobustMPC,bigbuckbunny,1,84.96937500000001,48.94491549183421,3641.3907776994174,5
RobustMPC,bigbuckbunny,2,87.70916666666666,21.306766503636855,3980.481335745974,9
RobustMPC,bigbuckbunny,3,88.04541666666665,25.969615618875004,3955.204853450567,9
RobustMPC,bigbuckbunny,4,87.846875,18.474910259894163,4010.4711408943135,9
RobustMPC,bigbuckbunny,5,85.65791666666668,32.639119878666484,3809.0614262817303,5
RobustMPC,bigbuckbunny,6,84.96937500000001,49.73553115135582,3634.863454814407,5
RobustMPC,bigbuckbunny,7,86.59145833333336,38.587455464632114,3794.4619676839984,7
RobustMPC,bigbuckbunny,8,87.846875,17.855184621191608,4015.5875957674416,9
