Method,Video,Episode,VMAF,Rebuffer,QoE,Switch
Proposed_V13_Base,bigbuckbunny,0,86.26458333333336,4.8665922494593765,4037.101414388465,8
Proposed_V13_Base,bigbuckbunny,1,83.86770833333334,28.880358021940168,3773.9937641708625,2
Proposed_V13_Base,bigbuckbunny,2,86.75958333333337,6.954282334954458,4047.555445042618,9
Proposed_V13_Base,bigbuckbunny,3,87.17270833333339,5.719943769879491,4024.696144235878,17
Proposed_V13_Base,bigbuckbunny,4,86.89729166666672,3.142807418490529,4045.9729819529443,15
Proposed_V13_Base,bigbuckbunny,5,85.38250000000004,20.997095871808877,3872.1279764823475,8
Proposed_V13_Base,bigbuckbunny,6,83.86770833333334,29.670973681461778,3767.4664412858524,2
Proposed_V13_Base,bigbuckbunny,7,85.79562500000003,20.84110441870739,3860.1958419191533,13
Proposed_V13_Base,bigbuckbunny,8,86.75958333333337,2.3117525931710228,4072.6641705907823,11
Proposed_V13_Base,bigbuckbunny,9,87.03500000000003,20.033289949871502,3932.9651581738617,12
Proposed_V13_Base,bigbuckbunny,10,85.52020833333336,23.734297447274997,3856.139640275299,8
Proposed_V13_Base,bigbuckbunny,11,88.41208333333338,2.210808239397896,4139.597567175533,13
Proposed_V13_Base,bigbuckbunny,12,90.0645833333334,0.0,4316.490000000003,1
Proposed_V13_Base,bigbuckbunny,13,84.41854166666668,33.44678976650777,3762.733303687713,2
Proposed_V13_Base,bigbuckbunny,14,89.65145833333338,0.28087151697642604,4281.121124755845,3
Proposed_V13_Base,bigbuckbunny,15,85.79562500000003,20.947089691667696,3859.320827505593,13
Proposed_V13_Base,bigbuckbunny,16,90.0645833333334,0.9413397062856405,4308.718299384909,1
Proposed_V13_Base,bigbuckbunny,17,85.52020833333336,23.795116091689113,3855.6375215470157,8
Proposed_V13_Base,bigbuckbunny,18,84.41854166666668,33.62633121916902,3761.251009454542,2
Proposed_V13_Base,bigbuckbunny,19,90.20229166666672,0.0,4323.100000000003,1
Proposed_V13_SoftGuard,bigbuckbunny,0,86.62187500000005,6.358831380752876,4059.0814881205065,7
Proposed_V13_SoftGuard,bigbuckbunny,1,83.86770833333334,28.880358021940168,3773.9937641708625,2
Proposed_V13_SoftGuard,bigbuckbunny,2,86.75958333333337,6.954282334954458,4047.555445042618,9
Proposed_V13_SoftGuard,bigbuckbunny,3,87.17270833333339,5.719943769879491,4024.696144235878,17
Proposed_V13_SoftGuard,bigbuckbunny,4,86.89729166666672,3.142807418490529,4045.9729819529443,15
Proposed_V13_SoftGuard,bigbuckbunny,5,85.38250000000004,20.997095871808877,3872.1279764823475,8
Proposed_V13_SoftGuard,bigbuckbunny,6,83.86770833333334,29.670973681461778,3767.4664412858524,2
Proposed_V13_SoftGuard,bigbuckbunny,7,85.65791666666668,19.03762477027566,3881.695369896605,11
Proposed_V13_SoftGuard,bigbuckbunny,8,86.75958333333337,2.3117525931710228,4072.6641705907823,11
Proposed_V13_SoftGuard,bigbuckbunny,9,86.89729166666667,14.52201732630876,3985.0762249539957,10
Proposed_V13_SoftGuard,bigbuckbunny,10,85.52020833333336,23.734297447274997,3856.139640275299,8
Proposed_V13_SoftGuard,bigbuckbunny,11,88.41208333333338,2.210808239397896,4139.597567175533,13
Proposed_V13_SoftGuard,bigbuckbunny,12,90.0645833333334,0.0,4316.490000000003,1
Proposed_V13_SoftGuard,bigbuckbunny,13,84.41854166666668,33.44678976650777,3762.733303687713,2
Proposed_V13_SoftGuard,bigbuckbunny,14,89.65145833333338,0.28087151697642604,4281.121124755845,3
