Method,Video,Episode,VMAF,Rebuffer,QoE,Switch
Proposed_V13_Base,bigbuckbunny,0,85.79562500000003,4.786630808759689,4045.6215760428813,5
Proposed_V13_Base,bigbuckbunny,1,84.00541666666668,36.46317625258421,3718.0000168586657,2
Proposed_V13_Base,bigbuckbunny,2,86.0710416666667,6.810494427193809,4028.9125580090895,7
Proposed_V13_Base,bigbuckbunny,3,87.03500000000004,9.909921981830927,4023.153684118006,11
Proposed_V13_Base,bigbuckbunny,4,86.0710416666667,2.6454474901706604,4036.8591855211525,11
Proposed_V13_Base,bigbuckbunny,5,84.41854166666668,19.562851271195836,3837.699099905008,8
Proposed_V13_Base,bigbuckbunny,6,84.14312500000001,39.58268441207974,3685.6353574938703,4
Proposed_V13_Base,bigbuckbunny,7,85.38250000000004,22.113420540250406,3849.6916000196943,10
Proposed_V13_Base,bigbuckbunny,8,85.93333333333338,1.3260521759170196,4041.142113235631,11
Proposed_V13_Base,bigbuckbunny,9,86.75958333333335,21.699514034163137,3905.98881213395,12
Proposed_V13_Base,bigbuckbunny,10,84.69395833333336,23.323649160266914,3819.869952532837,8
Proposed_V13_Base,bigbuckbunny,11,87.72354166666672,1.43329904999304,4112.96668304326,13
Proposed_V13_Base,bigbuckbunny,12,90.20229166666672,0.0,4323.100000000003,1
Proposed_V13_Base,bigbuckbunny,13,84.00541666666668,33.52550457217976,3735.6434342520847,3
Proposed_V13_Base,bigbuckbunny,14,89.37604166666671,0.0,4257.000000000002,5
Proposed_V13_Base,bigbuckbunny,15,85.10708333333336,20.636443801733087,3842.055519972893,11
Proposed_V13_Base,bigbuckbunny,16,89.65145833333338,0.26898179763738655,4267.999286278708,5
Proposed_V13_Base,bigbuckbunny,17,84.55625000000002,22.376440106675233,3821.0801104792904,8
Proposed_V13_Base,bigbuckbunny,18,83.86770833333334,31.733755473703347,3750.436114809106,2
Proposed_V13_Base,bigbuckbunny,19,90.20229166666672,0.0,4323.100000000003,1
Proposed_V13_SoftGuard,bigbuckbunny,0,85.35645833333336,0.003644798836651905,4012.579908540806,8
Proposed_V13_SoftGuard,bigbuckbunny,1,79.49833333333333,7.952111423468828,3466.5773680878415,18
Proposed_V13_SoftGuard,bigbuckbunny,2,85.27458333333337,0.754812993965288,3954.928263921824,11
Proposed_V13_SoftGuard,bigbuckbunny,3,85.74354166666672,3.4367705945171863,3881.3360219716683,19
Proposed_V13_SoftGuard,bigbuckbunny,4,85.71375000000002,1.4789697284180532,4012.1896259221817,12
Proposed_V13_SoftGuard,bigbuckbunny,5,81.34062500000002,3.1674722285502623,3568.0693492810897,23
Proposed_V13_SoftGuard,bigbuckbunny,6,79.36062500000001,6.413834583016518,3485.887381682616,17
Proposed_V13_SoftGuard,bigbuckbunny,7,83.23875000000002,8.341109200165551,3699.535802443434,18
Proposed_V13_SoftGuard,bigbuckbunny,8,85.93333333333338,1.3260521759170196,4041.142113235631,11
Proposed_V13_SoftGuard,bigbuckbunny,9,84.39625000000002,3.7819275964857653,3827.036405763414,17
Proposed_V13_SoftGuard,bigbuckbunny,10,81.61604166666667,6.718280400346943,3551.973877014736,23
Proposed_V13_SoftGuard,bigbuckbunny,11,87.36625000000004,0.4388730658935326,4100.0966639679855,12
Proposed_V13_SoftGuard,bigbuckbunny,12,90.20229166666672,0.0,4323.100000000003,1
Proposed_V13_SoftGuard,bigbuckbunny,13,79.93750000000001,6.3155399952010765,3548.6889017996205,15
Proposed_V13_SoftGuard,bigbuckbunny,14,89.37604166666671,0.0,4257.000000000002,5
