Method,Video,Episode,VMAF,Rebuffer,QoE,Switch
Proposed_V13_Base,bigbuckbunny,0,86.40229166666671,8.818969273143198,3997.860589680932,10
Proposed_V13_Base,bigbuckbunny,1,83.73,32.35846731038281,3751.88849388548,0
Proposed_V13_Base,bigbuckbunny,2,87.03500000000004,12.589922577627242,4001.0275991991116,11
Proposed_V13_Base,bigbuckbunny,3,86.89729166666672,6.615087103805591,4043.7458408709836,11
Proposed_V13_Base,bigbuckbunny,4,86.62187500000003,5.262441159597006,4041.6932857863685,11
Proposed_V13_Base,bigbuckbunny,5,85.10708333333336,25.60441426790252,3820.8699558041985,8
Proposed_V13_Base,bigbuckbunny,6,83.73,33.14908296990443,3745.3611710004693,0
Proposed_V13_Base,bigbuckbunny,7,85.52020833333336,21.965595019147674,3837.692047521918,13
Proposed_V13_Base,bigbuckbunny,8,86.4841666666667,4.016913786433925,4058.586359779203,9
Proposed_V13_Base,bigbuckbunny,9,86.89729166666667,20.639403566771932,3934.5710841527316,10
Proposed_V13_Base,bigbuckbunny,10,84.96937500000003,27.50047199876386,3772.1661031782064,12
Proposed_V13_Base,bigbuckbunny,11,87.72354166666672,2.785494377046816,4115.022958423104,11
Proposed_V13_Base,bigbuckbunny,12,89.92687500000005,0.1582999007849947,4308.573076019122,1
Proposed_V13_Base,bigbuckbunny,13,84.14312500000001,39.337006954794845,3687.663670581215,4
Proposed_V13_Base,bigbuckbunny,14,89.51375000000006,0.4670626643766992,4272.973930642908,3
Proposed_V13_Base,bigbuckbunny,15,85.52020833333336,22.119335068721156,3823.202769672639,15
Proposed_V13_Base,bigbuckbunny,16,90.0645833333334,1.2658664761396274,4306.039006372995,1
Proposed_V13_Base,bigbuckbunny,17,84.83166666666669,26.740220808954096,3758.612737001276,14
Proposed_V13_Base,bigbuckbunny,18,84.14312500000001,39.516548407456106,3686.181376348043,4
Proposed_V13_Base,bigbuckbunny,19,89.92687500000005,0.0825755218545568,4309.198256491572,1
Proposed_V13_SoftGuard,bigbuckbunny,0,86.75958333333337,10.585953517022384,4017.572367763465,9
Proposed_V13_SoftGuard,bigbuckbunny,1,83.73,32.35846731038281,3751.88849388548,0
Proposed_V13_SoftGuard,bigbuckbunny,2,86.8972916666667,11.402343696172137,4017.4422504444046,9
Proposed_V13_SoftGuard,bigbuckbunny,3,86.7595833333334,4.98689719383936,4050.5781767676654,11
Proposed_V13_SoftGuard,bigbuckbunny,4,86.62187500000003,5.262441159597006,4041.6932857863685,11
Proposed_V13_SoftGuard,bigbuckbunny,5,84.96937500000003,23.911738689377245,3841.454685380503,6
Proposed_V13_SoftGuard,bigbuckbunny,6,83.73,33.14908296990443,3745.3611710004693,0
Proposed_V13_SoftGuard,bigbuckbunny,7,85.38250000000004,19.49815050548651,3864.673269426705,11
