Method,Video,Episode,Seen,VMAF,Rebuffer,QoE,Switch,Max_Stall_s,Any_Stall
Proposed,bigbuckbunny,0,1,81.28854166666669,0.2968375965451478,3706.2271814633327,13,0.57,1
Proposed,bigbuckbunny,1,1,75.34854166666666,0.24467119478933466,3354.6631306004474,14,0.47,1
Proposed,bigbuckbunny,2,1,81.28854166666669,0.2594620371047141,3713.403288875896,13,0.498,1
Proposed,bigbuckbunny,3,1,82.52791666666671,0.38734283935993885,3790.500174842894,13,0.744,1
Proposed,bigbuckbunny,4,1,81.7016666666667,0.2219703089763878,3727.2117006765347,15,0.426,1
Proposed,bigbuckbunny,5,1,77.52208333333336,0.016479779986231187,3510.6658822426443,16,0.032,1
Proposed,bigbuckbunny,6,1,75.34854166666666,1.0352868543109452,3202.8649239722986,14,1.988,1
Proposed,bigbuckbunny,7,1,77.46625,0.0,3476.85,19,0.0,0
Proposed,bigbuckbunny,8,1,81.7016666666667,0.0,3769.8300000000013,15,0.0,0
Proposed,bigbuckbunny,9,1,79.28249999999998,0.2752136987169271,3587.6489698463492,16,0.528,1
Proposed,bigbuckbunny,10,1,76.23062500000002,0.5389368028593554,3357.654133851004,13,1.035,1
Proposed,bigbuckbunny,11,1,82.74750000000003,0.22972016733635706,3810.2237278714206,13,0.441,1
Proposed,bigbuckbunny,12,1,85.74729166666673,0.0,4092.1100000000024,2,0.0,0
Proposed,bigbuckbunny,13,1,74.13895833333333,0.5662731310373449,3316.67555884083,9,1.087,1
Proposed,bigbuckbunny,14,1,85.85520833333335,0.0,4029.940000000001,9,0.0,0
Proposed,bigbuckbunny,15,1,77.46625,0.0,3476.85,19,0.0,0
Proposed,bigbuckbunny,16,1,85.25229166666672,0.0,4068.350000000002,2,0.0,0
Proposed,bigbuckbunny,17,1,76.23062500000002,0.5997554472734699,3345.976954123494,13,1.152,1
Proposed,bigbuckbunny,18,1,74.13895833333333,0.7458145836985984,3282.203599929869,9,1.432,1
Proposed,bigbuckbunny,19,1,86.59958333333338,0.0,4133.020000000002,2,0.0,0
Proposed_Shielded,bigbuckbunny,0,1,80.32458333333335,0.2968375965451478,3741.7771814633325,7,0.57,1
Proposed_Shielded,bigbuckbunny,1,1,73.36854166666666,0.24467119478933466,3371.813130600447,6,0.47,1
Proposed_Shielded,bigbuckbunny,2,1,80.32458333333335,0.2594620371047141,3748.953288875896,7,0.498,1
Proposed_Shielded,bigbuckbunny,3,1,80.73770833333337,0.38734283935993885,3757.450174842894,5,0.744,1
Proposed_Shielded,bigbuckbunny,4,1,81.3704166666667,0.2219703089763878,3772.051700676535,9,0.426,1
Proposed_Shielded,bigbuckbunny,5,1,77.98729166666668,0.016479779986231187,3589.805882242644,10,0.032,1
Proposed_Shielded,bigbuckbunny,6,1,73.36854166666666,1.0352868543109452,3220.014923972298,6,1.988,1
Proposed_Shielded,bigbuckbunny,7,1,77.65604166666668,0.0,3676.040000000001,3,0.0,0
Proposed_Shielded,bigbuckbunny,8,1,81.3704166666667,0.0,3814.6700000000014,9,0.0,0
Proposed_Shielded,bigbuckbunny,9,1,77.74166666666666,0.2752136987169271,3526.90896984635,14,0.528,1
Proposed_Shielded,bigbuckbunny,10,1,74.79770833333333,0.5389368028593554,3383.9141338510035,6,1.035,1
Proposed_Shielded,bigbuckbunny,11,1,82.41625000000003,0.22972016733635706,3841.843727871421,9,0.441,1
Proposed_Shielded,bigbuckbunny,12,1,85.19645833333338,0.0,4012.7900000000022,10,0.0,0
Proposed_Shielded,bigbuckbunny,13,1,74.083125,0.5662731310373449,3292.91555884083,9,1.087,1
Proposed_Shielded,bigbuckbunny,14,1,86.25895833333335,0.0,4086.5400000000013,7,0.0,0
Proposed_Shielded,bigbuckbunny,15,1,77.65604166666668,0.0,3676.040000000001,3,0.0,0
Proposed_Shielded,bigbuckbunny,16,1,85.60958333333338,0.0,4085.500000000002,2,0.0,0
Proposed_Shielded,bigbuckbunny,17,1,74.79770833333333,0.5997554472734699,3372.2369541234934,6,1.152,1
Proposed_Shielded,bigbuckbunny,18,1,74.083125,0.7458145836985984,3258.443599929869,9,1.432,1
