Method,Video,Episode,VMAF,Rebuffer,QoE,Switch
Proposed,bigbuckbunny,0,82.65812500000001,0.04440327906661244,3950.0734065280267,1
Proposed,bigbuckbunny,1,78.01333333333334,0.6768582180590732,3653.3018585517048,5
Proposed,bigbuckbunny,2,82.30083333333334,0.007027719626178745,3898.931979146767,3
Proposed,bigbuckbunny,3,82.30083333333334,0.8641447353935036,3857.555621064592,5
Proposed,bigbuckbunny,4,83.73,1.1466945032052624,4009.572890181538,0
Proposed,bigbuckbunny,5,81.58625,1.3641192400783353,3836.2778315539135,4
Proposed,bigbuckbunny,6,78.01333333333334,1.4674738775806826,3646.774535666694,5
Proposed,bigbuckbunny,7,82.30083333333333,9.025323520790868,3841.6269290123505,2
Proposed,bigbuckbunny,8,83.37270833333335,0.0,3984.7400000000007,1
Proposed,bigbuckbunny,9,82.30083333333334,0.022626224989266468,3898.803197886489,3
Proposed,bigbuckbunny,10,82.30083333333334,7.917846598248901,3833.620258484858,3
Proposed,bigbuckbunny,11,83.37270833333335,0.0,3984.7400000000007,1
Proposed,bigbuckbunny,12,92.42166666666658,0.0,4342.609999999996,13
Proposed,bigbuckbunny,13,80.15708333333335,5.689666979952703,3731.9661094135113,4
Proposed,bigbuckbunny,14,89.90854166666666,0.0,4271.58,9
Proposed,bigbuckbunny,15,81.94354166666668,8.00687929405866,3815.735204548252,3
Proposed,bigbuckbunny,16,92.28166666666658,2.2122458652700545,4341.865698136326,17
Proposed,bigbuckbunny,17,82.30083333333334,7.9786652426630145,3833.1181397565747,3
Proposed,bigbuckbunny,18,79.44250000000001,1.8475952505919264,3746.536253611114,3
Proposed,bigbuckbunny,19,93.86124999999988,0.0,4455.8299999999945,7
Ablation_Base,bigbuckbunny,0,90.34000000000005,33.418811520096895,4060.4142920900827,0
Ablation_Base,bigbuckbunny,1,90.34000000000005,101.91461398663631,3494.912946926333,0
Ablation_Base,bigbuckbunny,2,90.34000000000005,33.38143596065646,4060.7228647088227,0
Ablation_Base,bigbuckbunny,3,90.34000000000005,38.26866976940279,4020.373862383813,0
Ablation_Base,bigbuckbunny,4,90.34000000000005,31.319270196582305,4077.748105257019,0
Ablation_Base,bigbuckbunny,5,90.34000000000005,68.12522075450872,3773.8781774507784,0
Ablation_Base,bigbuckbunny,6,90.34000000000005,102.70522964615792,3488.385624041323,0
Ablation_Base,bigbuckbunny,7,90.34000000000005,62.91935162269694,3816.857833003017,0
Ablation_Base,bigbuckbunny,8,90.34000000000005,30.699544557879744,4082.8645601301473,0
Ablation_Base,bigbuckbunny,9,90.34000000000005,47.34622124211021,3945.4295974251404,0
Ablation_Base,bigbuckbunny,10,90.34000000000005,70.55208903717521,3753.841952909084,0
Ablation_Base,bigbuckbunny,11,90.34000000000005,17.217953054927836,4194.168579578518,0
Ablation_Base,bigbuckbunny,12,90.34000000000005,0.0,4336.320000000002,0
Ablation_Base,bigbuckbunny,13,90.34000000000005,100.62868922515716,3505.529541757105,0
Ablation_Base,bigbuckbunny,14,90.34000000000005,3.2916346688580225,4309.14426417391,0
Ablation_Base,bigbuckbunny,15,90.34000000000005,63.02533689565725,3815.982818589456,0
Ablation_Base,bigbuckbunny,16,90.34000000000005,3.4526893255942888,4307.814596927896,0
