Method,Video,Episode,VMAF,Rebuffer,QoE,Switch
Proposed,bigbuckbunny,0,85.7341666666667,1.3096505420048608,3975.8075251252094,16
Proposed,bigbuckbunny,1,79.71791666666667,4.6040948204074095,3517.978593162716,16
Proposed,bigbuckbunny,2,85.79500000000003,1.3168729826387893,3986.0478966553364,14
Proposed,bigbuckbunny,3,85.5704166666667,1.4633686679914963,3939.758428277064,15
Proposed,bigbuckbunny,4,85.98916666666672,0.12649113936486256,4063.015689153406,8
Proposed,bigbuckbunny,5,82.55020833333336,3.9771068859248615,3755.3950055498053,12
Proposed,bigbuckbunny,6,79.71791666666667,6.260432583879385,3470.003868587492,18
Proposed,bigbuckbunny,7,82.98937500000001,3.153928302064948,3855.8011679381525,9
Proposed,bigbuckbunny,8,86.20875000000005,1.085813836300149,4069.5655209675087,9
Proposed,bigbuckbunny,9,84.58541666666669,0.19961637858530945,3888.441967178401,14
Proposed,bigbuckbunny,10,81.25875,1.141461205539417,3765.586096287067,11
Proposed,bigbuckbunny,11,87.76500000000003,0.13490125209589057,4090.8462552626975,18
Proposed,bigbuckbunny,12,92.88083333333329,0.0,4322.729999999998,25
Proposed,bigbuckbunny,13,80.65208333333334,5.814588211719406,3587.124759724045,15
Proposed,bigbuckbunny,14,91.94020833333337,0.11635776138670245,4352.039350321993,12
Proposed,bigbuckbunny,15,82.98937500000001,3.2599135750252577,3854.926153524592,9
Proposed,bigbuckbunny,16,93.72166666666665,1.4702515022279345,4412.431603597606,13
Proposed,bigbuckbunny,17,81.25875,1.2022798499535317,3765.0839775587838,11
Proposed,bigbuckbunny,18,80.29479166666668,4.644431984338232,3579.635569537304,15
Proposed,bigbuckbunny,19,94.46104166666663,0.0,4456.609999999999,17
Ablation_Base,bigbuckbunny,0,87.03875000000005,9.99445155976189,3923.6658079226086,15
Ablation_Base,bigbuckbunny,1,83.1047916666667,23.511120566852405,3377.7821886000684,27
Ablation_Base,bigbuckbunny,2,87.03875000000005,9.957076000321456,3923.9743805413486,15
Ablation_Base,bigbuckbunny,3,87.31416666666672,9.927407816543814,3895.279321066617,10
Ablation_Base,bigbuckbunny,4,88.16645833333338,13.608072035763177,3961.1817572727414,13
Ablation_Base,bigbuckbunny,5,84.78333333333337,15.876646122761514,3629.6424096104824,18
Ablation_Base,bigbuckbunny,6,83.1047916666667,24.301736226374025,3371.2548657150573,27
Ablation_Base,bigbuckbunny,7,85.93708333333336,16.399490884544935,3813.975803257198,14
Ablation_Base,bigbuckbunny,8,88.52375000000005,14.567394732698464,3987.5615890868435,13
Ablation_Base,bigbuckbunny,9,86.54375000000003,11.38378452379238,3880.5754749715716,11
Ablation_Base,bigbuckbunny,10,84.28833333333337,16.325904290693014,3588.9533341760407,19
Ablation_Base,bigbuckbunny,11,89.43187500000005,10.688022180136288,4141.069688880797,7
Ablation_Base,bigbuckbunny,12,90.20229166666672,0.0,4323.100000000003,1
Ablation_Base,bigbuckbunny,13,83.04895833333337,18.4931531510375,3498.350527585036,25
Ablation_Base,bigbuckbunny,14,91.91895833333338,2.2349363222181435,4376.74836572377,3
Ablation_Base,bigbuckbunny,15,85.93708333333336,16.505476157505246,3813.100788843638,14
Ablation_Base,bigbuckbunny,16,90.16687500000005,0.0,4299.100000000002,2
Ablation_Base,bigbuckbunny,17,84.28833333333337,16.386722935107127,3588.4512154477575,19
Ablation_Base,bigbuckbunny,18,83.04895833333337,18.1354919073657,3501.3033788127905,26
Ablation_Base,bigbuckbunny,19,90.34000000000005,0.28605881910833986,4333.958298389444,0
Pensieve,bigbuckbunny,0,87.03875000000005,10.06754619400476,3936.282338622299,14
Pensieve,bigbuckbunny,1,83.1047916666667,23.511120566852405,3377.7821886000684,27
Pensieve,bigbuckbunny,2,87.03875000000005,9.957076000321456,3923.9743805413486,15
Pensieve,bigbuckbunny,3,87.31416666666672,9.927407816543814,3895.279321066617,10
Pensieve,bigbuckbunny,4,88.16645833333338,13.608072035763177,3961.1817572727414,13
Pensieve,bigbuckbunny,5,84.78333333333337,15.876646122761514,3629.6424096104824,18
Pensieve,bigbuckbunny,6,83.1047916666667,24.301736226374025,3371.2548657150573,27
Pensieve,bigbuckbunny,7,85.93708333333336,16.399490884544935,3813.975803257198,14
Pensieve,bigbuckbunny,8,88.52375000000005,14.567394732698464,3987.5615890868435,13
Pensieve,bigbuckbunny,9,86.54375000000003,11.38378452379238,3880.5754749715716,11
Pensieve,bigbuckbunny,10,84.28833333333337,16.325904290693014,3588.9533341760407,19
Pensieve,bigbuckbunny,11,89.43187500000005,10.688022180136288,4141.069688880797,7
Pensieve,bigbuckbunny,12,90.20229166666672,0.0,4323.100000000003,1
Pensieve,bigbuckbunny,13,83.04895833333337,17.955950454704446,3502.7856730459616,26
Pensieve,bigbuckbunny,14,90.20229166666672,1.2993122396195134,4312.372878149705,1
Pensieve,bigbuckbunny,15,85.93708333333336,16.505476157505246,3813.100788843638,14
Pensieve,bigbuckbunny,16,89.84500000000007,0.0,4288.800000000003,1
Pensieve,bigbuckbunny,17,84.28833333333337,16.386722935107127,3588.4512154477575,19
Pensieve,bigbuckbunny,18,83.04895833333337,18.1354919073657,3501.3033788127905,26
Pensieve,bigbuckbunny,19,90.34000000000005,0.28605881910833986,4333.958298389444,0
RobustMPC,bigbuckbunny,0,88.91979166666665,24.478523833499235,4008.7153072306296,9
RobustMPC,bigbuckbunny,1,83.62145833333336,29.140242559615743,3715.4281574278134,6
RobustMPC,bigbuckbunny,2,88.91979166666665,24.4411482740588,4009.02387984937,9
RobustMPC,bigbuckbunny,3,89.77645833333334,26.176469192613744,4035.8170703457813,10
RobustMPC,bigbuckbunny,4,88.94854166666674,19.1701319094112,4074.5213909559043,6
RobustMPC,bigbuckbunny,5,86.86687500000005,31.148512677084035,3862.4878793379967,8
RobustMPC,bigbuckbunny,6,83.62145833333336,29.930858219137352,3708.9008345428033,6
RobustMPC,bigbuckbunny,7,86.91333333333336,25.07256707449291,3917.8008862329875,8
RobustMPC,bigbuckbunny,8,88.94854166666674,18.55040627070864,4079.637845829033,6
RobustMPC,bigbuckbunny,9,88.24000000000001,25.537382562721657,3933.0433695621705,12
RobustMPC,bigbuckbunny,10,87.02062500000004,39.32614764185211,3815.573325068871,6
RobustMPC,bigbuckbunny,11,90.87812500000001,22.39707945581427,4143.419712012798,6
RobustMPC,bigbuckbunny,12,94.6689583333333,8.88970307818629,4423.326611386491,13
RobustMPC,bigbuckbunny,13,84.96937500000003,37.849995760450625,3726.380435001721,6
RobustMPC,bigbuckbunny,14,93.68208333333337,19.317789213538937,4307.132332253024,11
RobustMPC,bigbuckbunny,15,86.91333333333336,25.17855234745322,3916.9258718194274,8
RobustMPC,bigbuckbunny,16,95.23229166666665,15.257958794256702,4408.3502921946165,11
RobustMPC,bigbuckbunny,17,87.02062500000004,39.38696628626623,3815.071206340588,6
RobustMPC,bigbuckbunny,18,84.96937500000003,38.02953721311188,3724.8981407685496,6
RobustMPC,bigbuckbunny,19,95.5887499999999,7.0870198755443665,4502.959563907501,9
Genie,bigbuckbunny,0,86.74520833333334,4.351132235056968,4102.86705226737,4
Genie,bigbuckbunny,1,84.3366666666667,31.075897387562723,3767.837391168284,2
Genie,bigbuckbunny,2,86.74520833333334,4.313756675616534,4103.175624886111,4
Genie,bigbuckbunny,3,87.17270833333339,4.476193953217723,4127.504542722238,3
Genie,bigbuckbunny,4,87.35687500000004,3.7213625577213576,4124.206430723455,6
Genie,bigbuckbunny,5,84.69395833333336,15.044554106051963,3934.4921613004362,1
Genie,bigbuckbunny,6,84.3366666666667,31.86651304708434,3761.3100682832733,2
Genie,bigbuckbunny,7,84.90854166666668,9.105418752125967,3988.675662782449,2
Genie,bigbuckbunny,8,87.35687500000004,3.1016369190188002,4129.322885596583,6
Genie,bigbuckbunny,9,85.84208333333333,3.390995856244513,4067.4439382108453,3
Genie,bigbuckbunny,10,83.20895833333334,5.805487924105528,3905.1898916985856,3
Genie,bigbuckbunny,11,88.73395833333338,2.169466173534274,4203.118887271304,6
Genie,bigbuckbunny,12,94.51229166666654,0.8004306384091433,4512.911644649288,4
Genie,bigbuckbunny,13,83.78583333333336,26.229216927836724,3781.411585043781,2
Genie,bigbuckbunny,14,93.2585416666667,1.8073664799157976,4447.948382341817,3
Genie,bigbuckbunny,15,84.90854166666668,9.211404025086278,3987.8006483688887,2
Genie,bigbuckbunny,16,95.20874999999997,0.8638036793264843,4535.968436823479,6
Genie,bigbuckbunny,17,83.20895833333334,5.866306568519642,3904.687772970303,3
Genie,bigbuckbunny,18,83.78583333333336,26.408758380497982,3779.9292908106095,2
Genie,bigbuckbunny,19,95.61895833333323,0.28605881910833986,4580.578298389436,2
BBA,bigbuckbunny,0,88.16375000000001,25.843647467030923,3769.8348465121935,34
BBA,bigbuckbunny,1,85.20937500000002,47.551204342425365,3543.6572569489376,20
BBA,bigbuckbunny,2,88.16375000000001,25.80627190759049,3770.1434191309336,34
BBA,bigbuckbunny,3,87.85791666666665,18.928236676603014,3805.638477997965,29
BBA,bigbuckbunny,4,87.67375000000003,15.824375164893064,3859.933958638644,28
BBA,bigbuckbunny,5,86.00520833333336,30.86758172033604,3669.6372453169065,25
BBA,bigbuckbunny,6,85.20937500000002,48.34182000194697,3537.129934063927,20
BBA,bigbuckbunny,7,86.98520833333333,42.38742335271289,3534.0994328000024,34
BBA,bigbuckbunny,8,87.81145833333335,15.78960695420045,3866.831004986122,27
BBA,bigbuckbunny,9,88.24062499999998,30.91503227809691,3735.345493512031,32
BBA,bigbuckbunny,10,86.32708333333335,38.40825214497253,3632.3614702911073,22
BBA,bigbuckbunny,11,88.62333333333332,11.855165837124913,3878.0237508486957,33
BBA,bigbuckbunny,12,92.64583333333327,0.7559139142648473,4225.249174723826,31
