Method,Video,Episode,VMAF,Rebuffer,QoE,Switch
Proposed,bigbuckbunny,0,84.4172916666667,0.3170112183418445,3874.0427553813715,19
Proposed,bigbuckbunny,1,78.92145833333332,0.283366264360947,3467.9005281214354,20
Proposed,bigbuckbunny,2,84.4172916666667,0.27963565890141084,3874.3513280001116,19
Proposed,bigbuckbunny,3,84.52895833333336,0.4085726713601082,3856.5568240252524,17
Proposed,bigbuckbunny,4,84.96875000000001,0.24746498641604955,3988.26692907215,9
Proposed,bigbuckbunny,5,81.00875,0.04598735066570307,3615.130328432904,20
Proposed,bigbuckbunny,6,78.92145833333332,1.0739819238825574,3461.373205236425,20
Proposed,bigbuckbunny,7,81.86104166666667,0.0,3711.7999999999997,17
Proposed,bigbuckbunny,8,85.05062500000001,0.0,3994.2400000000007,9
Proposed,bigbuckbunny,9,83.84041666666668,0.2953995601975009,3809.79118123101,25
Proposed,bigbuckbunny,10,80.46229166666667,0.5626905267753848,3526.334427010943,22
Proposed,bigbuckbunny,11,86.74958333333335,0.25503854483241106,4084.4644017738647,11
Proposed,bigbuckbunny,12,92.52854166666663,0.0,4317.419999999998,23
Proposed,bigbuckbunny,13,78.56416666666668,0.6093578930353769,3516.6591412351,17
Proposed,bigbuckbunny,14,90.79479166666668,0.0,4222.120000000001,12
Proposed,bigbuckbunny,15,82.30020833333333,0.0,3767.18,16
Proposed,bigbuckbunny,16,93.32729166666667,0.0,4350.45,18
Proposed,bigbuckbunny,17,80.46229166666667,0.6235091711894992,3525.83230828266,22
Proposed,bigbuckbunny,18,78.56416666666668,0.7888993456966303,3515.1768470019288,17
Proposed,bigbuckbunny,19,93.29458333333332,0.0,4380.95,18
Ablation_Base,bigbuckbunny,0,84.42604166666669,0.3170112183418445,3755.4227553813707,19
Ablation_Base,bigbuckbunny,1,78.01708333333333,0.283366264360947,3272.6405281214356,27
Ablation_Base,bigbuckbunny,2,84.42604166666669,0.27963565890141084,3755.731328000111,19
Ablation_Base,bigbuckbunny,3,85.05875000000005,0.4085726713601082,3802.186824025253,19
Ablation_Base,bigbuckbunny,4,85.36020833333338,0.24746498641604955,3787.616929072151,21
Ablation_Base,bigbuckbunny,5,80.71166666666669,0.04598735066570307,3411.8003284329047,30
Ablation_Base,bigbuckbunny,6,78.01708333333333,1.0739819238825574,3266.113205236425,27
Ablation_Base,bigbuckbunny,7,82.47208333333336,0.0,3542.770000000001,30
Ablation_Base,bigbuckbunny,8,85.36020833333338,0.0,3755.3600000000015,22
Ablation_Base,bigbuckbunny,9,83.79333333333334,0.2953995601975009,3780.6111812310096,19
Ablation_Base,bigbuckbunny,10,80.57395833333335,0.5626905267753848,3341.614427010943,32
Ablation_Base,bigbuckbunny,11,86.68145833333337,0.25503854483241106,3911.714401773866,16
Ablation_Base,bigbuckbunny,12,89.84500000000007,0.0,4288.800000000003,1
Ablation_Base,bigbuckbunny,13,78.374375,0.6093578930353769,3399.2891412351,21
Ablation_Base,bigbuckbunny,14,90.11208333333337,0.0,4220.040000000002,7
Ablation_Base,bigbuckbunny,15,82.33437500000002,0.0,3549.380000000001,28
Ablation_Base,bigbuckbunny,16,89.21229166666672,0.0,4210.910000000003,4
Ablation_Base,bigbuckbunny,17,80.57395833333335,0.6235091711894992,3341.1123082826603,32
Ablation_Base,bigbuckbunny,18,78.374375,0.7888993456966303,3397.806847001929,21
Ablation_Base,bigbuckbunny,19,89.84500000000007,0.0,4288.800000000003,1
Pensieve,bigbuckbunny,0,84.42604166666669,0.3170112183418445,3755.4227553813707,19
Pensieve,bigbuckbunny,1,78.01708333333333,0.283366264360947,3272.6405281214356,27
Pensieve,bigbuckbunny,2,84.42604166666669,0.27963565890141084,3755.731328000111,19
Pensieve,bigbuckbunny,3,85.05875000000005,0.4085726713601082,3802.186824025253,19
Pensieve,bigbuckbunny,4,85.36020833333338,0.24746498641604955,3787.616929072151,21
Pensieve,bigbuckbunny,5,80.71166666666669,0.04598735066570307,3411.8003284329047,30
Pensieve,bigbuckbunny,6,78.01708333333333,1.0739819238825574,3266.113205236425,27
Pensieve,bigbuckbunny,7,82.47208333333336,0.0,3542.770000000001,30
Pensieve,bigbuckbunny,8,85.36020833333338,0.0,3755.3600000000015,22
Pensieve,bigbuckbunny,9,83.79333333333334,0.2953995601975009,3780.6111812310096,19
Pensieve,bigbuckbunny,10,80.57395833333335,0.5626905267753848,3341.614427010943,32
Pensieve,bigbuckbunny,11,86.68145833333337,0.25503854483241106,3911.714401773866,16
Pensieve,bigbuckbunny,12,89.84500000000007,0.0,4288.800000000003,1
Pensieve,bigbuckbunny,13,78.374375,0.6093578930353769,3399.2891412351,21
Pensieve,bigbuckbunny,14,89.21229166666672,0.0,4204.300000000002,4
Pensieve,bigbuckbunny,15,82.33437500000002,0.0,3549.380000000001,28
Pensieve,bigbuckbunny,16,89.63541666666673,0.0,4217.680000000003,6
Pensieve,bigbuckbunny,17,80.57395833333335,0.6235091711894992,3341.1123082826603,32
Pensieve,bigbuckbunny,18,78.374375,0.7888993456966303,3397.806847001929,21
Pensieve,bigbuckbunny,19,89.84500000000007,0.0,4288.800000000003,1
RobustMPC,bigbuckbunny,0,88.39770833333336,25.165002772673112,3975.0677371088123,10
RobustMPC,bigbuckbunny,1,84.41854166666667,40.63666839789343,3696.763665706992,3
RobustMPC,bigbuckbunny,2,88.39770833333336,25.127627213232678,3975.3763097275523,10
RobustMPC,bigbuckbunny,3,88.24395833333335,20.13222558911404,4026.1483455362754,7
RobustMPC,bigbuckbunny,4,87.55541666666669,12.455335401293453,4043.258750926922,9
RobustMPC,bigbuckbunny,5,85.79562500000003,31.30035400796037,3813.5042773102805,7
RobustMPC,bigbuckbunny,6,84.41854166666667,41.427284057415044,3690.2363428219815,3
RobustMPC,bigbuckbunny,7,86.31604166666669,28.719482743026386,3849.491950473575,9
RobustMPC,bigbuckbunny,8,87.55541666666669,11.835609762590895,4048.3752058000505,9
RobustMPC,bigbuckbunny,9,88.73395833333336,32.7861656924191,3945.1974160433897,7
RobustMPC,bigbuckbunny,10,86.62187500000003,42.02996182147303,3777.8006352019197,5
RobustMPC,bigbuckbunny,11,90.41854166666666,27.282618306550603,4087.6347032611175,5
RobustMPC,bigbuckbunny,12,95.04874999999991,10.319780843576478,4441.669889355428,10
RobustMPC,bigbuckbunny,13,84.1729166666667,43.53533539788683,3600.3022709550473,9
RobustMPC,bigbuckbunny,14,92.70416666666665,12.69029680574599,4321.578909571761,9
RobustMPC,bigbuckbunny,15,86.31604166666669,28.825468015986694,3848.6169360600147,9
RobustMPC,bigbuckbunny,16,95.8039583333333,21.709569179134494,4390.885796857064,13
