Method,Video,Episode,VMAF,Rebuffer,QoE,Switch
Proposed,bigbuckbunny,0,83.73,32.22446746922308,3398.615224590917,1
Proposed,bigbuckbunny,1,83.73,0.20883370107558294,4013.3153929393493,1
Proposed,bigbuckbunny,2,83.73,4.1666666665466305,3937.325000002305,1
Proposed,bigbuckbunny,3,83.73,15.699242034449426,3715.899552938571,1
Proposed,bigbuckbunny,4,83.73,0.9907797246801878,3998.3020292861406,1
Proposed,bigbuckbunny,5,83.73,21.918402777584546,3596.491666670377,1
Proposed,bigbuckbunny,6,83.73,15.699242034449426,3715.899552938571,1
Proposed,bigbuckbunny,7,83.73,4.4187420588861155,3932.485152469387,1
Proposed,bigbuckbunny,8,83.73,4.1666666665466305,3937.325000002305,1
Proposed,bigbuckbunny,9,83.73,0.46261687431859233,4008.4427560130835,1
Proposed,bigbuckbunny,10,83.73,0.0,4017.3250000000003,1
Proposed,bigbuckbunny,11,83.73,1.2328299992198728,3993.6546640149786,1
Proposed,bigbuckbunny,12,83.73,32.22446746922308,3398.615224590917,1
Proposed,bigbuckbunny,13,83.73,7.925009902870261,3865.164809864891,1
Proposed,bigbuckbunny,14,83.73,12.709706175071197,3773.2986414386332,1
Proposed,bigbuckbunny,15,83.73,31.967768734649848,3403.543840294723,1
Proposed,bigbuckbunny,16,83.73,0.7914067381522045,4002.129990627478,1
Proposed,bigbuckbunny,17,83.73,0.7914067381522045,4002.129990627478,1
Proposed,bigbuckbunny,18,83.73,1.253255208331319,3993.262500000039,1
Proposed,bigbuckbunny,19,83.73,4.5760701551582965,3929.464453020961,1
Pensieve,bigbuckbunny,0,83.73,30.29757607569092,3435.6115393467344,1
Pensieve,bigbuckbunny,1,85.2,0.3604570236887645,4066.852225145176,13
Pensieve,bigbuckbunny,2,83.73,21.918402777584546,3596.491666670377,1
Pensieve,bigbuckbunny,3,83.73,32.22446746922308,3398.615224590917,1
Pensieve,bigbuckbunny,4,85.68999999999998,1.220703124998059,4069.1515000000363,17
Pensieve,bigbuckbunny,5,87.40499999999993,0.31514302284725465,4157.09825396133,27
Pensieve,bigbuckbunny,6,85.68999999999998,1.220703124998059,4069.1515000000363,17
Pensieve,bigbuckbunny,7,84.71,3.108435709347414,3995.2750343805296,9
Pensieve,bigbuckbunny,8,83.73,32.22446746922308,3398.615224590917,1
Pensieve,bigbuckbunny,9,83.73,15.699242034449426,3715.899552938571,1
Pensieve,bigbuckbunny,10,86.91499999999996,0.46261687431859233,4142.506756013081,17
Pensieve,bigbuckbunny,11,84.22000000000001,6.508013625422866,3911.1871383918815,5
Pensieve,bigbuckbunny,12,83.73,30.29757607569092,3435.6115393467344,1
Pensieve,bigbuckbunny,13,84.46499999999999,1.2328299992198728,4021.878664014978,7
Pensieve,bigbuckbunny,14,83.73,4.1666666665466305,3937.325000002305,1
Pensieve,bigbuckbunny,15,87.15999999999995,0.9907797246801878,4148.830029286138,13
Pensieve,bigbuckbunny,16,83.97500000000001,17.386372626479798,3692.914645571588,3
Pensieve,bigbuckbunny,17,84.22000000000001,6.508013625422866,3911.1871383918815,5
Pensieve,bigbuckbunny,18,87.64999999999996,0.25732730105712304,4166.440315819701,30
Pensieve,bigbuckbunny,19,84.71,0.04340277777757408,4054.12366666667,9
