step,mean_action,action_distribution,action_variance,action_entropy
40000,2.00,0.125;0.250;0.375;0.125;0.000;0.125,2.00,1.494
80000,3.12,0.000;0.125;0.125;0.375;0.250;0.125,1.36,1.494
120000,2.62,0.125;0.125;0.250;0.125;0.250;0.125,2.48,1.733
160000,1.00,0.375;0.250;0.375;0.000;0.000;0.000,0.75,1.082
200000,2.88,0.000;0.000;0.500;0.250;0.125;0.125,1.11,1.213
240000,1.88,0.125;0.375;0.125;0.250;0.125;0.000,1.61,1.494
280000,1.62,0.000;0.500;0.375;0.125;0.000;0.000,0.48,0.974
320000,2.12,0.000;0.375;0.125;0.500;0.000;0.000,0.86,0.974
360000,2.25,0.000;0.250;0.500;0.125;0.000;0.125,1.44,1.213
400000,1.88,0.000;0.250;0.625;0.125;0.000;0.000,0.36,0.900
