step,episode_count,avg_reward,avg_vmaf,avg_rebuffer_rate,episode_length
384,48,-2743.16,32.42,373.36,48
384,48,1960.09,87.54,195.32,48
384,48,2560.94,88.81,142.02,48
384,48,2249.75,86.32,136.61,48
384,48,3184.97,86.58,39.14,48
384,48,2445.00,88.42,142.96,48
384,48,3549.04,89.16,21.06,48
384,48,-96.05,31.96,60.14,48
768,96,-1667.40,31.89,269.54,48
768,96,2444.86,89.12,158.14,48
768,96,3532.89,89.57,40.69,48
768,96,1930.36,92.84,256.94,48
768,96,2900.56,86.02,63.83,48
768,96,927.20,91.41,355.89,48
768,96,-2332.62,31.68,336.10,48
768,96,233.60,30.49,23.49,48
1152,144,376.97,29.74,6.93,48
1152,144,2935.55,88.34,90.91,48
1152,144,1736.05,88.01,239.09,48
1152,144,92.41,31.65,55.33,48
1152,144,-2362.11,34.27,356.20,48
1152,144,1424.11,92.03,311.87,48
1152,144,-2296.66,32.51,359.05,48
1152,144,1060.53,86.56,303.73,48
1536,192,-2856.98,28.57,356.86,48
1536,192,241.68,27.43,2.18,48
1536,192,3593.82,91.44,34.34,48
1536,192,-1037.82,32.24,160.09,48
1536,192,3291.09,90.49,74.83,48
1536,192,3931.11,93.04,13.11,48
1536,192,2941.87,91.28,127.15,48
1536,192,2224.31,89.19,192.40,48
1920,240,-2577.22,34.08,373.50,48
1920,240,3978.89,94.66,42.08,48
1920,240,-211.40,32.78,71.61,48
1920,240,1719.45,89.84,245.28,48
1920,240,3549.47,88.75,18.85,48
1920,240,1914.08,86.69,207.92,48
1920,240,2018.56,88.16,197.86,48
1920,240,-321.69,30.13,75.92,48
2304,288,-105.20,31.27,78.11,48
2304,288,1560.51,89.39,265.08,48
2304,288,3251.33,87.63,31.67,48
2304,288,1198.63,89.56,303.37,48
2304,288,-371.07,33.00,121.98,48
2304,288,3563.61,88.86,28.07,48
2304,288,-1899.15,31.33,301.60,48
2304,288,2696.82,86.51,93.22,48
2688,336,2759.71,89.39,115.62,48
2688,336,-412.73,27.33,74.39,48
2688,336,3255.66,88.51,47.31,48
2688,336,412.06,31.52,3.32,48
2688,336,-2686.37,31.83,348.48,48
2688,336,2803.37,90.00,127.23,48
2688,336,3303.36,84.63,9.36,48
2688,336,644.50,87.58,356.70,48
3072,384,2609.71,86.56,112.80,48
3072,384,-822.65,29.79,139.45,48
3072,384,3311.49,91.52,79.58,48
3072,384,3048.16,89.88,79.16,48
3072,384,3176.82,86.15,12.04,48
3072,384,3605.03,89.50,27.12,48
3072,384,-352.91,28.81,76.25,48
3072,384,2330.67,88.46,157.33,48
3456,432,3404.63,88.87,48.79,48
3456,432,382.57,93.19,446.45,48
3456,432,260.72,31.46,21.19,48
3456,432,3236.50,86.86,52.96,48
3456,432,2503.41,92.18,184.00,48
3456,432,-1965.67,32.55,326.65,48
3456,432,2164.48,89.17,196.93,48
3456,432,-1151.85,29.12,199.23,48
3840,480,1608.49,86.53,233.59,48
3840,480,2461.43,87.69,158.86,48
3840,480,-215.86,35.85,108.49,48
3840,480,-4176.16,32.02,590.10,48
3840,480,-1094.20,29.07,160.00,48
3840,480,-4182.66,31.47,555.74,48
3840,480,116.64,28.75,24.69,48
3840,480,2495.62,91.19,168.61,48
4224,528,-820.49,31.04,150.18,48
4224,528,-772.77,28.89,145.21,48
4224,528,3548.70,89.60,36.75,48
4224,528,3756.49,90.89,2.18,48
4224,528,3565.29,88.38,17.49,48
4224,528,426.05,90.04,416.55,48
4224,528,3030.08,88.95,88.37,48
4224,528,4040.55,92.26,0.57,48
4608,576,3710.26,88.02,4.78,48
4608,576,3226.54,90.67,78.20,48
4608,576,-2311.98,89.73,730.30,48
4608,576,490.08,29.64,13.54,48
4608,576,257.00,35.70,50.70,48
4608,576,1287.80,87.42,292.84,48
4608,576,-376.25,89.19,488.01,48
4608,576,2089.29,89.77,205.79,48
4992,624,3536.84,89.27,32.95,48
4992,624,3532.69,89.34,15.69,48
4992,624,2315.32,88.64,161.67,48
4992,624,2782.17,88.39,102.30,48
4992,624,2976.70,86.27,69.23,48
4992,624,3305.36,88.90,31.49,48
4992,624,1932.31,86.77,198.29,48
4992,624,3417.82,88.84,24.11,48
5376,672,3413.02,91.76,82.26,48
5376,672,-86.16,30.13,72.73,48
5376,672,3159.29,86.62,50.85,48
5376,672,3572.88,89.97,37.26,48
5376,672,-1148.94,31.31,176.93,48
5376,672,-1103.86,31.01,191.38,48
5376,672,2884.99,88.81,118.31,48
5376,672,2601.70,91.18,165.59,48
5760,720,3052.59,88.97,81.15,48
5760,720,2982.54,87.73,78.71,48
5760,720,-1455.21,27.75,220.66,48
5760,720,2778.86,89.33,119.91,48
5760,720,1116.45,88.52,314.66,48
5760,720,3129.37,90.38,96.23,48
5760,720,2290.55,88.46,162.13,48
5760,720,2890.18,89.17,106.86,48
6144,768,286.69,30.94,0.13,48
6144,768,-1012.83,89.19,566.53,48
6144,768,-121.13,29.62,29.11,48
6144,768,1071.74,91.63,352.85,48
6144,768,-732.12,33.15,155.78,48
6144,768,-398.00,33.67,133.58,48
6144,768,3597.96,88.24,1.63,48
6144,768,3007.78,89.78,89.25,48
6528,816,1733.12,91.61,272.69,48
6528,816,3554.63,89.16,36.34,48
6528,816,311.69,29.29,2.66,48
6528,816,2184.36,92.05,219.29,48
6528,816,3294.74,91.64,77.44,48
6528,816,3152.82,88.61,70.38,48
6528,816,2173.70,91.54,209.87,48
6528,816,176.05,31.16,6.68,48
6912,864,-942.15,33.95,175.80,48
6912,864,3733.81,92.77,35.25,48
6912,864,3147.90,87.82,61.00,48
6912,864,2733.38,86.41,82.84,48
6912,864,-320.76,34.37,127.80,48
6912,864,2079.25,89.28,201.32,48
6912,864,3347.21,91.61,78.92,48
6912,864,1498.24,89.64,279.52,48
7296,912,-1018.53,33.81,188.56,48
7296,912,-273.11,30.86,85.64,48
7296,912,3615.51,89.35,24.50,48
7296,912,1805.12,91.82,258.70,48
7296,912,2498.83,91.02,170.61,48
7296,912,-1790.67,34.26,263.32,48
7296,912,238.32,31.67,38.62,48
7296,912,3171.73,88.09,47.61,48
7680,960,3583.85,91.03,29.98,48
7680,960,3545.10,88.49,12.13,48
7680,960,3006.58,90.99,110.79,48
7680,960,-1154.89,25.52,155.96,48
7680,960,2311.28,90.61,196.00,48
7680,960,-266.93,86.68,475.89,48
7680,960,3430.22,88.41,33.93,48
7680,960,-935.16,24.87,126.36,48
8064,1008,1602.07,89.44,261.06,48
8064,1008,1249.83,85.97,280.40,48
8064,1008,3631.03,87.62,10.79,48
8064,1008,2464.69,88.15,135.60,48
8064,1008,1751.20,88.84,245.50,48
8064,1008,3595.27,88.23,8.46,48
8064,1008,-844.08,25.50,121.59,48
8064,1008,-695.91,89.02,536.11,48
8448,1056,157.56,29.21,18.05,48
8448,1056,-321.28,32.60,90.19,48
8448,1056,3232.47,87.57,42.03,48
8448,1056,-201.08,29.07,48.85,48
8448,1056,1166.43,86.73,289.47,48
8448,1056,954.46,90.40,353.29,48
8448,1056,-1466.98,35.46,250.08,48
8448,1056,-235.21,90.65,503.59,48
8832,1104,-420.80,36.50,136.75,48
8832,1104,3018.56,90.16,96.24,48
8832,1104,3729.51,91.78,26.07,48
8832,1104,2487.02,88.35,141.81,48
8832,1104,-1167.96,32.08,200.24,48
8832,1104,2746.10,88.39,119.35,48
8832,1104,3433.38,86.85,16.36,48
8832,1104,-563.09,27.23,85.98,48
9216,1152,94.71,91.48,452.29,48
9216,1152,-371.83,33.72,92.80,48
9216,1152,553.86,32.43,3.43,48
9216,1152,3796.57,90.12,4.59,48
9216,1152,2360.40,87.28,140.11,48
9216,1152,264.82,25.60,12.90,48
9216,1152,2150.58,89.03,196.07,48
9216,1152,1620.45,89.83,258.46,48
9600,1200,3093.33,90.34,99.61,48
9600,1200,3544.40,89.23,25.06,48
9600,1200,3116.41,87.21,56.86,48
9600,1200,53.63,27.24,40.63,48
9600,1200,-4363.91,31.38,581.80,48
9600,1200,2701.36,88.87,118.01,48
9600,1200,2977.64,89.37,96.14,48
9600,1200,2986.50,85.56,54.18,48
9984,1248,-6245.05,31.85,811.09,48
9984,1248,-753.77,30.15,125.17,48
9984,1248,3590.63,88.80,4.94,48
9984,1248,912.34,89.08,341.00,48
9984,1248,-2279.35,30.74,326.71,48
9984,1248,3601.66,90.48,29.55,48
9984,1248,1773.14,89.99,252.20,48
9984,1248,3754.69,89.06,10.77,48
10368,1296,2466.84,90.05,160.26,48
10368,1296,1867.64,89.62,224.73,48
10368,1296,-2179.17,34.27,324.33,48
