step,mean_action,action_distribution,action_variance,action_entropy
40000,1.62,0.250;0.250;0.125;0.375;0.000;0.000,1.48,1.321
80000,2.00,0.000;0.250;0.500;0.250;0.000;0.000,0.50,1.040
120000,2.25,0.125;0.125;0.375;0.125;0.250;0.000,1.69,1.494
160000,3.00,0.000;0.250;0.000;0.375;0.250;0.125,1.75,1.321
200000,2.00,0.000;0.125;0.750;0.125;0.000;0.000,0.25,0.736
240000,2.50,0.125;0.125;0.250;0.125;0.375;0.000,2.00,1.494
280000,2.75,0.000;0.125;0.250;0.375;0.250;0.000,0.94,1.321
320000,2.00,0.125;0.000;0.750;0.000;0.125;0.000,1.00,0.736
360000,2.50,0.000;0.125;0.375;0.375;0.125;0.000,0.75,1.255
400000,1.50,0.125;0.375;0.375;0.125;0.000;0.000,0.75,1.255
