step,episode_count,avg_reward,avg_vmaf,avg_rebuffer_rate,episode_length
384,48,-2045.00,27.82,287.84,48
384,48,2632.14,90.22,160.48,48
384,48,2356.57,87.71,136.85,48
384,48,2199.22,89.25,198.49,48
384,48,3047.92,84.94,42.67,48
384,48,2905.00,90.02,119.95,48
384,48,3563.83,88.44,5.66,48
384,48,-46.28,32.68,74.65,48
768,96,-1252.32,24.20,156.84,48
768,96,2146.41,88.43,170.00,48
768,96,3242.19,89.43,74.69,48
768,96,1729.87,91.26,266.41,48
768,96,2942.76,84.50,57.65,48
768,96,1650.77,90.19,268.15,48
768,96,-2482.99,31.71,364.83,48
768,96,288.02,32.31,25.18,48
1152,144,444.24,32.62,10.74,48
1152,144,2866.24,88.12,99.53,48
1152,144,2035.09,85.29,172.51,48
1152,144,44.73,35.50,80.00,48
1152,144,-1705.09,27.05,233.60,48
1152,144,1321.77,91.34,309.41,48
1152,144,-2259.14,28.12,322.70,48
1152,144,878.32,88.57,341.08,48
1536,192,-1964.88,24.93,271.84,48
1536,192,589.13,32.20,0.02,48
1536,192,3587.19,90.99,37.38,48
1536,192,-515.07,25.47,101.37,48
1536,192,2906.63,85.79,73.86,48
1536,192,3418.20,87.23,16.44,48
1536,192,2629.84,91.34,162.33,48
1536,192,2124.29,89.01,203.67,48
1920,240,-1857.12,31.36,295.42,48
1920,240,3743.87,90.44,12.10,48
1920,240,-40.56,29.36,53.52,48
1920,240,2085.15,89.60,194.62,48
1920,240,3482.95,86.56,6.98,48
1920,240,1635.51,87.27,237.08,48
1920,240,2842.31,90.42,122.11,48
1920,240,-135.17,33.86,92.89,48
2304,288,-243.42,32.65,89.46,48
2304,288,1262.29,90.81,324.34,48
2304,288,3317.62,89.17,58.34,48
2304,288,851.46,91.86,380.88,48
2304,288,-934.94,27.06,107.71,48
2304,288,3575.54,87.13,9.45,48
2304,288,-2206.39,30.06,325.40,48
2304,288,2967.13,89.84,103.00,48
2688,336,2806.44,86.81,83.52,48
2688,336,-40.68,28.06,59.80,48
2688,336,2923.89,85.81,54.81,48
2688,336,274.06,28.31,1.14,48
2688,336,-2245.00,30.43,308.41,48
2688,336,3086.26,88.46,77.23,48
2688,336,3475.72,91.05,39.88,48
2688,336,1057.03,89.11,330.17,48
3072,384,2717.76,89.14,116.60,48
3072,384,-728.96,30.08,137.43,48
3072,384,2910.07,88.21,77.19,48
3072,384,3402.53,89.68,48.26,48
3072,384,3514.42,88.56,15.16,48
3072,384,3561.62,89.81,24.00,48
3072,384,-234.40,32.49,104.24,48
3072,384,2741.29,86.66,102.89,48
3456,432,3341.57,88.46,38.48,48
3456,432,624.71,91.19,400.58,48
3456,432,-32.65,29.48,31.40,48
3456,432,3231.74,90.83,90.17,48
3456,432,2976.83,91.09,103.05,48
3456,432,-1869.94,29.31,266.89,48
3456,432,1904.49,89.12,218.41,48
3456,432,-1384.14,28.16,197.44,48
3840,480,1687.45,90.06,274.90,48
3840,480,2206.17,87.35,182.73,48
3840,480,-434.31,33.15,92.40,48
3840,480,-4479.24,31.33,576.16,48
3840,480,-637.64,27.19,133.69,48
3840,480,-4077.43,30.81,558.38,48
3840,480,249.61,33.20,53.09,48
3840,480,3018.85,87.06,68.96,48
4224,528,-916.65,29.92,170.35,48
4224,528,-1574.30,32.86,218.79,48
4224,528,3347.77,87.13,23.94,48
4224,528,3589.28,87.74,2.18,48
4224,528,3450.37,88.06,14.29,48
4224,528,859.56,88.01,341.95,48
4224,528,3014.31,90.17,98.65,48
4224,528,3723.99,89.35,4.87,48
4608,576,3290.22,91.98,73.97,48
4608,576,3097.29,88.91,69.09,48
4608,576,-2684.93,91.52,804.78,48
4608,576,390.76,34.42,40.41,48
4608,576,152.12,28.38,32.27,48
4608,576,-383.68,91.40,526.26,48
4608,576,-1225.00,88.85,590.31,48
4608,576,2123.37,85.91,145.02,48
4992,624,3313.31,88.43,44.74,48
4992,624,3397.56,88.01,16.70,48
4992,624,2685.40,89.43,135.32,48
4992,624,3011.42,89.66,95.95,48
4992,624,2963.17,88.09,98.80,48
4992,624,3495.24,89.30,18.87,48
4992,624,1631.02,89.22,250.08,48
4992,624,3416.67,86.66,12.69,48
5376,672,2930.29,87.19,80.00,48
5376,672,-269.03,27.15,58.06,48
5376,672,3066.44,90.03,100.14,48
5376,672,3404.99,90.69,54.97,48
5376,672,-742.67,31.19,176.21,48
5376,672,-1293.86,38.44,260.22,48
5376,672,2157.17,86.38,170.49,48
5376,672,2964.13,88.52,91.24,48
5760,720,3245.86,88.60,67.70,48
5760,720,3274.20,89.12,65.44,48
5760,720,-1522.88,32.33,256.08,48
5760,720,2279.79,91.32,188.22,48
5760,720,1579.94,88.15,248.81,48
5760,720,2944.47,88.32,80.91,48
5760,720,2526.53,93.06,201.86,48
5760,720,3476.45,93.65,89.17,48
6144,768,628.16,32.00,0.31,48
6144,768,-165.97,89.54,488.63,48
6144,768,139.93,29.72,21.96,48
6144,768,961.00,89.90,344.06,48
6144,768,-1130.66,34.11,173.70,48
6144,768,-409.84,27.73,72.63,48
6144,768,3628.14,89.07,0.18,48
6144,768,3304.37,92.13,86.46,48
6528,816,2037.55,89.01,200.65,48
6528,816,3646.84,89.82,30.93,48
6528,816,454.07,30.87,0.81,48
6528,816,1806.65,90.32,239.16,48
6528,816,3359.44,87.41,19.41,48
6528,816,3366.78,87.95,28.01,48
6528,816,3043.52,91.55,107.84,48
6528,816,342.88,31.21,8.20,48
6912,864,-931.87,30.17,150.93,48
6912,864,3621.97,89.17,13.39,48
6912,864,3188.91,88.22,59.42,48
6912,864,2656.52,86.83,121.22,48
6912,864,-588.37,36.45,142.65,48
6912,864,1636.37,90.48,267.84,48
6912,864,3078.57,88.55,70.95,48
6912,864,1799.75,88.38,222.57,48
7296,912,-862.28,31.65,133.13,48
7296,912,-7.52,30.22,67.79,48
7296,912,3645.70,88.19,6.01,48
7296,912,2158.77,92.43,231.91,48
7296,912,3057.29,87.55,64.16,48
7296,912,-1601.99,31.94,240.46,48
7296,912,364.84,27.94,6.06,48
7296,912,3529.13,92.31,63.18,48
7680,960,3570.39,93.00,59.01,48
7680,960,3793.33,89.97,15.05,48
7680,960,3269.04,91.17,91.30,48
7680,960,-1015.75,31.04,199.52,48
7680,960,3127.09,90.16,92.64,48
7680,960,-1235.74,89.18,612.47,48
7680,960,3133.95,86.49,42.28,48
7680,960,-1118.56,30.57,181.73,48
8064,1008,2025.16,87.86,203.21,48
8064,1008,673.48,87.35,345.36,48
8064,1008,3638.62,87.45,0.47,48
8064,1008,2352.02,86.35,135.56,48
8064,1008,1543.41,88.58,268.58,48
8064,1008,3615.36,87.45,5.92,48
8064,1008,-930.83,29.03,148.74,48
8064,1008,-990.87,86.53,552.09,48
8448,1056,247.28,29.31,13.72,48
8448,1056,-609.06,33.57,135.71,48
8448,1056,3569.60,91.35,53.39,48
8448,1056,-239.06,28.02,55.59,48
8448,1056,1396.15,86.05,260.90,48
8448,1056,1669.19,88.48,246.92,48
8448,1056,-1157.02,30.82,187.70,48
8448,1056,982.85,88.75,327.62,48
8832,1104,-362.71,30.01,76.31,48
8832,1104,3081.86,91.71,101.20,48
8832,1104,3773.08,92.61,30.65,48
8832,1104,2473.59,89.25,151.10,48
8832,1104,-800.35,30.48,170.16,48
8832,1104,2714.64,88.45,122.08,48
8832,1104,3315.48,87.70,26.00,48
8832,1104,-87.50,31.34,67.16,48
9216,1152,919.64,90.99,352.24,48
9216,1152,-320.56,37.25,128.67,48
9216,1152,596.91,36.48,16.51,48
9216,1152,3991.02,92.31,3.50,48
9216,1152,3064.21,87.62,80.66,48
9216,1152,-142.08,29.58,49.81,48
9216,1152,2253.14,89.15,193.23,48
9216,1152,1718.77,89.58,249.70,48
9600,1200,3319.79,88.25,47.24,48
9600,1200,3626.47,89.12,6.96,48
9600,1200,2888.17,91.33,127.47,48
9600,1200,118.18,31.60,65.89,48
9600,1200,-4621.58,31.50,595.87,48
9600,1200,3052.97,90.46,109.80,48
9600,1200,3217.47,90.38,86.32,48
9600,1200,3065.49,87.74,65.17,48
9984,1248,-6637.32,33.51,835.86,48
9984,1248,-512.45,28.51,105.92,48
9984,1248,3395.08,88.82,40.14,48
9984,1248,1568.23,87.38,246.09,48
9984,1248,-2694.18,29.75,326.09,48
9984,1248,3279.53,90.50,50.07,48
9984,1248,2114.49,88.37,199.47,48
9984,1248,3618.02,88.34,9.38,48
10368,1296,2752.76,87.99,108.49,48
10368,1296,2547.66,86.90,117.21,48
10368,1296,-1575.49,31.48,252.89,48
10368,1296,371.50,30.37,34.45,48
10368,1296,3701.31,90.57,29.78,48
10368,1296,3494.60,86.33,13.55,48
10368,1296,3403.78,91.29,52.82,48
10368,1296,3483.25,87.86,22.13,48
10752,1344,2774.08,91.01,147.36,48
10752,1344,3092.05,91.52,107.02,48
10752,1344,1217.19,90.68,318.54,48
10752,1344,-1841.14,34.70,300.92,48
10752,1344,886.91,90.04,358.39,48
10752,1344,2015.04,87.17,186.92,48
10752,1344,3268.01,91.70,72.52,48
10752,1344,2474.64,91.22,169.44,48
11136,1392,229.89,31.84,29.63,48
11136,1392,1711.64,91.51,273.15,48
11136,1392,-878.04,34.98,194.69,48
11136,1392,3366.77,85.32,10.49,48
11136,1392,256.24,28.56,9.65,48
11136,1392,108.85,23.52,5.87,48
11136,1392,-2539.46,31.18,367.53,48
11136,1392,1872.54,89.15,219.79,48
11520,1440,3511.60,90.46,53.57,48
11520,1440,3206.66,88.77,58.78,48
11520,1440,112.42,30.45,48.62,48
11520,1440,65.47,30.84,30.32,48
11520,1440,2924.04,89.51,106.91,48
11520,1440,-414.97,25.56,102.14,48
11520,1440,285.88,91.15,435.73,48
11520,1440,3366.30,88.51,61.75,48
11904,1488,-5847.38,29.55,724.39,48
11904,1488,-239.82,26.12,77.29,48
11904,1488,-120.76,32.32,110.27,48
11904,1488,-575.60,30.00,98.57,48
11904,1488,443.24,30.57,12.45,48
11904,1488,2929.04,88.70,105.55,48
11904,1488,2010.10,92.86,245.96,48
11904,1488,3473.63,89.60,30.78,48
12288,1536,841.50,88.75,347.99,48
12288,1536,3709.22,90.15,14.77,48
12288,1536,-289.16,31.79,76.66,48
12288,1536,-1753.09,34.89,285.35,48
12288,1536,3189.60,91.30,94.58,48
12288,1536,-1279.65,29.30,193.34,48
12288,1536,2916.25,89.56,91.99,48
12288,1536,-838.69,35.43,184.32,48
12672,1584,3767.12,89.65,11.06,48
12672,1584,3168.62,89.83,72.53,48
12672,1584,1878.78,90.57,253.33,48
12672,1584,3169.29,89.01,63.67,48
12672,1584,-4.78,30.80,1.86,48
12672,1584,-345.20,30.17,100.22,48
12672,1584,3550.17,89.07,24.68,48
12672,1584,3562.59,90.27,28.00,48
13056,1632,2513.28,90.62,163.98,48
13056,1632,3723.17,90.66,16.64,48
13056,1632,3580.59,87.87,15.62,48
13056,1632,-538.76,28.94,97.74,48
13056,1632,3557.67,87.45,9.70,48
13056,1632,2346.15,93.20,213.73,48
13056,1632,3284.17,89.42,58.66,48
13056,1632,-2127.51,35.77,341.79,48
13440,1680,3603.91,88.77,5.64,48
13440,1680,2494.94,91.14,172.16,48
13440,1680,3495.07,88.71,20.13,48
13440,1680,-2622.01,33.06,379.85,48
13440,1680,1465.69,87.34,255.54,48
13440,1680,3365.14,88.42,46.00,48
13440,1680,-41.34,29.26,48.01,48
13440,1680,1335.94,88.94,273.89,48
13824,1728,3451.00,89.10,21.73,48
13824,1728,3157.63,87.22,48.78,48
13824,1728,-104.95,26.43,76.36,48
13824,1728,-896.39,28.65,128.72,48
13824,1728,2450.78,88.77,155.55,48
13824,1728,-1390.84,86.80,612.49,48
13824,1728,-1336.48,32.44,225.28,48
13824,1728,-314.07,33.74,100.93,48
14208,1776,390.86,33.59,8.46,48
14208,1776,-913.44,28.59,158.06,48
14208,1776,3698.19,89.35,1.99,48
14208,1776,2569.94,89.95,142.89,48
