step,mean_action,action_distribution,action_variance,action_entropy
40000,2.50,0.250;0.000;0.250;0.125;0.250;0.125,3.00,1.560
80000,3.00,0.125;0.000;0.125;0.375;0.250;0.125,2.00,1.494
120000,2.38,0.000;0.250;0.375;0.125;0.250;0.000,1.23,1.321
160000,2.25,0.000;0.250;0.375;0.250;0.125;0.000,0.94,1.321
200000,2.25,0.125;0.125;0.375;0.250;0.000;0.125,1.94,1.494
240000,2.00,0.000;0.500;0.125;0.250;0.125;0.000,1.25,1.213
280000,1.50,0.250;0.500;0.000;0.125;0.000;0.125,2.50,1.213
320000,2.38,0.000;0.375;0.125;0.250;0.250;0.000,1.48,1.321
360000,1.88,0.000;0.500;0.125;0.375;0.000;0.000,0.86,0.974
400000,2.00,0.125;0.125;0.500;0.125;0.125;0.000,1.25,1.386
