step,episode_count,avg_reward,avg_vmaf,avg_rebuffer_rate,episode_length
384,48,-2829.84,28.81,268.69,48
384,48,1740.74,84.95,120.71,48
384,48,2366.93,88.75,95.26,48
384,48,1615.33,88.64,168.40,48
384,48,2410.36,88.67,80.96,48
384,48,1600.70,89.21,152.15,48
384,48,3332.73,91.08,20.60,48
384,48,-685.32,30.10,75.41,48
768,96,-1902.28,29.15,186.76,48
768,96,1175.95,87.26,178.78,48
768,96,2529.50,91.66,84.25,48
768,96,1658.62,90.56,179.91,48
768,96,2872.83,91.37,58.35,48
768,96,-360.14,89.07,381.82,48
768,96,-2593.24,26.51,253.27,48
768,96,56.74,24.98,4.29,48
1152,144,157.08,30.86,9.67,48
1152,144,1989.37,89.63,119.10,48
1152,144,966.55,88.64,229.73,48
1152,144,-863.95,31.96,63.19,48
1152,144,-2955.34,31.61,319.81,48
1152,144,514.48,90.54,286.96,48
1152,144,-3526.89,33.01,384.84,48
1152,144,-303.04,88.36,387.00,48
1536,192,-3833.16,34.93,446.98,48
1536,192,392.36,31.08,2.18,48
1536,192,3025.03,90.44,44.10,48
1536,192,-1940.63,32.88,189.93,48
1536,192,2569.95,91.86,91.46,48
1536,192,3534.89,90.30,14.47,48
1536,192,1889.90,89.75,149.55,48
1536,192,1177.84,88.20,184.60,48
1920,240,-3081.73,33.04,340.84,48
1920,240,3194.91,89.93,29.14,48
1920,240,-639.13,31.63,58.36,48
1920,240,1139.79,90.11,201.54,48
1920,240,3245.79,89.32,29.79,48
1920,240,178.62,89.14,317.63,48
1920,240,1095.40,91.57,238.51,48
1920,240,-1071.36,32.88,87.75,48
2304,288,-1334.94,32.11,93.02,48
2304,288,502.41,92.08,321.97,48
2304,288,2521.90,86.60,45.54,48
2304,288,-290.18,89.52,376.30,48
2304,288,-1620.72,32.86,153.60,48
2304,288,3238.80,90.61,26.03,48
2304,288,-3280.24,30.98,307.65,48
2304,288,2095.80,87.51,111.80,48
2688,336,1874.11,86.55,111.47,48
2688,336,-1180.50,30.99,100.98,48
2688,336,2311.09,87.48,76.06,48
2688,336,146.30,29.09,14.36,48
2688,336,-3497.47,32.84,369.72,48
2688,336,2588.85,89.92,89.82,48
2688,336,2860.87,89.27,44.24,48
2688,336,-637.99,89.25,432.90,48
3072,384,1927.96,90.74,149.32,48
3072,384,-1743.96,33.09,165.58,48
3072,384,2488.13,89.13,79.14,48
3072,384,2581.98,89.74,59.97,48
3072,384,2927.33,90.52,40.14,48
3072,384,2752.43,87.20,32.71,48
3072,384,-969.17,32.68,95.39,48
3072,384,1503.45,90.21,178.08,48
3456,432,2912.15,87.37,25.59,48
3456,432,113.46,90.83,350.59,48
3456,432,-606.60,34.81,45.99,48
3456,432,2971.27,86.14,25.83,48
3456,432,1969.29,89.13,119.64,48
3456,432,-3160.37,29.12,306.36,48
3456,432,949.90,90.30,247.29,48
3456,432,-2457.41,31.16,240.69,48
3840,480,107.50,89.56,332.57,48
3840,480,978.52,89.57,235.96,48
3840,480,-1113.61,30.71,97.70,48
3840,480,-4813.85,29.34,515.53,48
3840,480,-2389.36,32.44,220.47,48
3840,480,-5968.18,33.53,665.42,48
3840,480,-270.71,34.91,58.75,48
3840,480,2007.89,87.08,131.60,48
4224,528,-1294.82,28.52,119.73,48
4224,528,-1137.04,25.53,102.76,48
4224,528,3138.26,87.69,9.18,48
4224,528,3951.86,91.15,0.76,48
4224,528,3306.98,88.41,14.60,48
4224,528,184.39,88.11,304.28,48
4224,528,1964.33,91.13,130.41,48
4224,528,3494.69,89.89,8.88,48
4608,576,2915.21,90.59,27.03,48
4608,576,2557.51,92.33,77.51,48
4608,576,-3435.71,91.03,773.04,48
4608,576,-84.37,30.13,24.56,48
4608,576,-164.05,35.12,68.71,48
4608,576,-171.93,87.04,357.19,48
4608,576,-2089.41,91.58,613.17,48
4608,576,1453.81,91.68,197.35,48
4992,624,2702.99,88.64,44.40,48
4992,624,3450.76,90.18,8.73,48
4992,624,1894.68,87.06,116.45,48
4992,624,2710.58,88.06,57.03,48
4992,624,2521.76,89.31,66.33,48
4992,624,3164.19,89.79,22.79,48
4992,624,649.47,89.62,258.09,48
4992,624,2966.83,87.93,21.39,48
5376,672,2851.54,85.82,38.61,48
5376,672,-655.18,27.45,54.28,48
5376,672,2253.28,88.89,84.03,48
5376,672,2834.20,90.18,50.78,48
5376,672,-2105.92,29.54,197.61,48
5376,672,-1756.98,29.18,145.23,48
5376,672,1255.20,87.83,180.20,48
5376,672,1909.89,90.54,129.70,48
5760,720,2754.43,86.49,74.58,48
5760,720,2343.13,89.57,97.73,48
5760,720,-2764.69,28.61,249.07,48
5760,720,1763.29,90.40,153.99,48
5760,720,37.08,89.10,338.17,48
5760,720,2763.54,85.79,26.94,48
5760,720,1514.17,89.23,153.11,48
5760,720,2227.70,89.63,92.90,48
6144,768,281.06,26.15,0.00,48
6144,768,-1591.61,86.07,479.73,48
6144,768,77.50,24.45,5.27,48
6144,768,143.58,91.53,346.12,48
6144,768,-1598.21,33.55,157.70,48
6144,768,-866.61,29.81,77.99,48
6144,768,3267.24,87.02,3.54,48
6144,768,2504.22,90.01,74.14,48
6528,816,931.99,91.48,256.25,48
6528,816,3134.57,90.80,32.22,48
6528,816,589.42,30.65,0.33,48
6528,816,1790.76,86.95,118.03,48
6528,816,2502.56,89.48,67.92,48
6528,816,2936.46,88.54,28.26,48
6528,816,1878.77,89.15,116.81,48
6528,816,-282.98,32.57,16.83,48
6912,864,-2072.34,35.02,203.31,48
6912,864,3141.52,89.56,32.97,48
6912,864,2955.77,86.15,29.41,48
6912,864,2472.79,88.40,88.35,48
6912,864,-1152.41,30.55,96.78,48
6912,864,768.67,89.78,262.66,48
6912,864,2505.58,87.88,63.80,48
6912,864,811.06,88.96,246.07,48
7296,912,-1411.25,28.55,107.48,48
7296,912,-839.61,35.94,103.26,48
7296,912,3351.31,86.87,2.47,48
7296,912,1260.62,91.63,211.50,48
7296,912,2189.64,89.66,101.45,48
7296,912,-2137.66,30.71,208.29,48
7296,912,-365.76,28.81,33.67,48
7296,912,3042.77,90.63,37.68,48
7680,960,2497.42,91.44,70.20,48
7680,960,3515.35,88.93,6.07,48
7680,960,2491.75,89.36,73.89,48
7680,960,-2814.29,34.04,278.40,48
7680,960,1765.86,88.83,141.76,48
7680,960,-1927.65,89.42,581.20,48
7680,960,2745.50,90.55,54.61,48
7680,960,-1982.87,34.41,198.56,48
8064,1008,740.42,88.62,242.24,48
8064,1008,159.94,86.24,282.01,48
8064,1008,3604.70,88.51,0.43,48
8064,1008,935.23,89.95,244.68,48
8064,1008,392.60,88.61,280.97,48
8064,1008,2374.86,87.08,69.94,48
8064,1008,-1906.73,33.96,201.14,48
8064,1008,-1487.22,86.49,501.66,48
8448,1056,179.02,30.05,3.70,48
8448,1056,-920.87,25.60,64.63,48
8448,1056,2785.55,88.72,43.85,48
8448,1056,-747.39,35.31,87.12,48
8448,1056,133.33,91.09,356.83,48
8448,1056,335.44,89.44,300.02,48
8448,1056,-2029.44,32.54,205.29,48
8448,1056,266.53,87.24,291.11,48
8832,1104,-921.01,30.98,79.51,48
8832,1104,2517.80,89.46,73.24,48
8832,1104,3582.20,90.86,10.04,48
8832,1104,1578.43,88.31,151.46,48
8832,1104,-1465.67,30.09,164.54,48
8832,1104,1638.68,87.06,123.25,48
8832,1104,2861.84,87.24,30.56,48
8832,1104,-764.51,29.08,75.99,48
9216,1152,841.33,88.24,234.20,48
9216,1152,-904.68,28.85,63.93,48
9216,1152,161.27,32.19,14.76,48
9216,1152,3830.50,90.45,2.66,48
9216,1152,1815.80,85.14,124.69,48
9216,1152,-637.79,30.93,70.83,48
9216,1152,715.36,91.19,275.86,48
9216,1152,143.77,90.08,318.64,48
9600,1200,2093.44,92.17,149.06,48
9600,1200,2979.41,89.29,20.14,48
