Step, Mean_Bitrate_Index, Last_Actions_Sample
40000, 2.88, [np.int64(3), np.int64(4), np.int64(4), np.int64(5), np.int64(3), np.int64(1), np.int64(1), np.int64(2)]
80000, 2.88, [np.int64(5), np.int64(0), np.int64(5), np.int64(4), np.int64(2), np.int64(0), np.int64(5), np.int64(2)]
120000, 2.88, [np.int64(1), np.int64(4), np.int64(1), np.int64(5), np.int64(5), np.int64(2), np.int64(4), np.int64(1)]
160000, 1.38, [np.int64(0), np.int64(2), np.int64(1), np.int64(2), np.int64(1), np.int64(0), np.int64(1), np.int64(4)]
200000, 2.50, [np.int64(5), np.int64(1), np.int64(2), np.int64(5), np.int64(1), np.int64(0), np.int64(4), np.int64(2)]
240000, 2.00, [np.int64(0), np.int64(3), np.int64(1), np.int64(5), np.int64(0), np.int64(2), np.int64(4), np.int64(1)]
280000, 1.62, [np.int64(3), np.int64(1), np.int64(2), np.int64(3), np.int64(2), np.int64(1), np.int64(1), np.int64(0)]
320000, 1.88, [np.int64(5), np.int64(3), np.int64(2), np.int64(1), np.int64(2), np.int64(2), np.int64(0), np.int64(0)]
360000, 1.50, [np.int64(2), np.int64(0), np.int64(2), np.int64(3), np.int64(1), np.int64(0), np.int64(3), np.int64(1)]
400000, 2.12, [np.int64(4), np.int64(4), np.int64(0), np.int64(2), np.int64(0), np.int64(0), np.int64(4), np.int64(3)]
440000, 1.38, [np.int64(1), np.int64(3), np.int64(0), np.int64(2), np.int64(0), np.int64(0), np.int64(3), np.int64(2)]
480000, 1.25, [np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(4), np.int64(0)]
520000, 1.88, [np.int64(1), np.int64(0), np.int64(4), np.int64(4), np.int64(2), np.int64(2), np.int64(0), np.int64(2)]
560000, 1.88, [np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(4), np.int64(3), np.int64(0), np.int64(0)]
600000, 1.50, [np.int64(3), np.int64(0), np.int64(4), np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(0)]
640000, 1.62, [np.int64(0), np.int64(0), np.int64(3), np.int64(5), np.int64(1), np.int64(1), np.int64(0), np.int64(3)]
680000, 1.12, [np.int64(0), np.int64(0), np.int64(2), np.int64(0), np.int64(1), np.int64(2), np.int64(1), np.int64(3)]
720000, 2.12, [np.int64(2), np.int64(4), np.int64(1), np.int64(3), np.int64(0), np.int64(2), np.int64(3), np.int64(2)]
760000, 0.62, [np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(3), np.int64(1), np.int64(1), np.int64(0)]
800000, 1.50, [np.int64(1), np.int64(5), np.int64(0), np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(0)]
