episode,chunk,video,action,bitrate,buffer,throughput,rebuffer,vmaf,reward
0,0,bigbuckbunny,1,750,4.85,141427.29687101787,0.0,83.73,66.377
0,1,bigbuckbunny,1,750,8.7,141427.29687101787,0.0,83.73,83.604
0,2,bigbuckbunny,1,750,12.549999999999999,141427.29687101787,0.0,83.73,83.681
0,3,bigbuckbunny,1,750,16.4,104439.74563183883,0.0,83.73,83.73
0,4,bigbuckbunny,1,750,20.25,104439.74563183883,0.0,83.73,83.73
0,5,bigbuckbunny,1,750,24.1,104439.74563183883,0.0,83.73,83.73
0,6,bigbuckbunny,1,750,21.51724373774799,455.7361507068281,0.0,83.73,83.73
0,7,bigbuckbunny,1,750,25.36724373774799,80780.0655253358,0.0,83.73,83.73
0,8,bigbuckbunny,1,750,29.217243737747992,80780.0655253358,0.0,83.73,83.73
0,9,bigbuckbunny,1,750,24.664462807327524,350.7631055215762,0.0,83.73,83.73
0,10,bigbuckbunny,2,1200,14.980013318654773,350.7631055215762,0.0,90.34,83.7296002663731
0,11,bigbuckbunny,1,750,18.83001331865477,122404.37442023316,0.0,83.73,77.12
0,12,bigbuckbunny,1,750,22.680013318654773,100779.7605662321,0.0,83.73,83.73
0,13,bigbuckbunny,1,750,26.530013318654774,100779.7605662321,0.0,83.73,83.73
0,14,bigbuckbunny,1,750,30.0,100779.7605662321,0.0,83.73,83.73
0,15,bigbuckbunny,1,750,30.0,100779.7605662321,0.0,83.73,83.73
0,16,bigbuckbunny,1,750,30.0,100779.7605662321,0.0,83.73,83.73
0,17,bigbuckbunny,1,750,30.0,100779.7605662321,0.0,83.73,83.73
0,18,bigbuckbunny,2,1200,17.89050145821348,297.96085753689056,0.0,90.34,83.73
0,19,bigbuckbunny,2,1200,21.65050145821348,144223.1858566455,0.0,90.34,90.34
0,20,bigbuckbunny,1,750,25.50050145821348,144223.1858566455,0.0,83.73,77.12
0,21,bigbuckbunny,1,750,29.350501458213483,144223.1858566455,0.0,83.73,83.73
0,22,bigbuckbunny,1,750,30.0,80583.30086028606,0.0,83.73,83.73
0,23,bigbuckbunny,2,1200,30.0,80583.30086028606,0.0,90.34,83.73
0,24,bigbuckbunny,2,1200,30.0,80583.30086028606,0.0,90.34,90.34
0,25,bigbuckbunny,2,1200,30.0,80583.30086028606,0.0,90.34,90.34
0,26,bigbuckbunny,2,1200,30.0,80524.3785830382,0.0,90.34,90.34
0,27,bigbuckbunny,2,1200,30.0,80524.3785830382,0.0,90.34,90.34
0,28,bigbuckbunny,2,1200,4.0,126.87239777924621,7.8332882803385,90.34,56.43686039454445
0,29,bigbuckbunny,1,750,7.85,102972.35004301651,0.0,83.73,76.977
0,30,bigbuckbunny,1,750,11.7,102972.35004301651,0.0,83.73,83.664
0,31,bigbuckbunny,1,750,15.549999999999999,102972.35004301651,0.0,83.73,83.73
0,32,bigbuckbunny,1,750,19.4,102972.35004301651,0.0,83.73,83.73
0,33,bigbuckbunny,1,750,4.0,136.73147933698763,2.5408143212304246,83.73,72.58449841870917
0,34,bigbuckbunny,1,750,7.85,115487.96130538885,0.0,83.73,83.587
0,35,bigbuckbunny,1,750,11.7,115487.96130538885,0.0,83.73,83.664
0,36,bigbuckbunny,1,750,15.549999999999999,115487.96130538885,0.0,83.73,83.73
0,37,bigbuckbunny,1,750,19.4,115487.96130538885,0.0,83.73,83.73
0,38,bigbuckbunny,1,750,23.25,115487.96130538885,0.0,83.73,83.73
0,39,bigbuckbunny,1,750,27.1,149084.36746219825,0.0,83.73,83.73
0,40,bigbuckbunny,1,750,30.0,106766.20318869069,0.0,83.73,83.73
0,41,bigbuckbunny,2,1200,30.0,140108.63529607767,0.0,90.34,83.73
0,42,bigbuckbunny,2,1200,30.0,140108.63529607767,0.0,90.34,90.34
0,43,bigbuckbunny,2,1200,23.774365748065453,469.40853562133884,0.0,90.34,90.34
0,44,bigbuckbunny,2,1200,27.534365748065454,108289.37486993527,0.0,90.34,90.34
0,45,bigbuckbunny,1,750,30.0,108289.37486993527,0.0,83.73,77.12
0,46,bigbuckbunny,1,750,30.0,108289.37486993527,0.0,83.73,83.73
0,47,bigbuckbunny,2,1200,30.0,108289.37486993527,0.0,90.34,83.73
1,0,bigbuckbunny,1,750,4.85,90034.44719513392,0.0,83.73,66.377
1,1,bigbuckbunny,1,750,8.7,97776.26455821563,0.0,83.73,83.604
1,2,bigbuckbunny,1,750,12.549999999999999,136889.82232159356,0.0,83.73,83.681
1,3,bigbuckbunny,1,750,16.4,136889.82232159356,0.0,83.73,83.73
1,4,bigbuckbunny,1,750,20.25,136889.82232159356,0.0,83.73,83.73
1,5,bigbuckbunny,1,750,24.1,115385.79410253139,0.0,83.73,83.73
1,6,bigbuckbunny,1,750,27.950000000000003,115385.79410253139,0.0,83.73,83.73
1,7,bigbuckbunny,1,750,30.0,115385.79410253139,0.0,83.73,83.73
1,8,bigbuckbunny,1,750,30.0,95371.25659774519,0.0,83.73,83.73
1,9,bigbuckbunny,2,1200,30.0,95371.25659774519,0.0,90.34,83.73
1,10,bigbuckbunny,2,1200,30.0,95371.25659774519,0.0,90.34,90.34
1,11,bigbuckbunny,2,1200,30.0,95371.25659774519,0.0,90.34,90.34
1,12,bigbuckbunny,2,1200,30.0,95371.25659774519,0.0,90.34,90.34
1,13,bigbuckbunny,2,1200,30.0,95371.25659774519,0.0,90.34,90.34
1,14,bigbuckbunny,2,1200,30.0,95371.25659774519,0.0,90.34,90.34
1,15,bigbuckbunny,2,1200,30.0,95371.25659774519,0.0,90.34,90.34
1,16,bigbuckbunny,2,1200,30.0,134776.9886152712,0.0,90.34,90.34
1,17,bigbuckbunny,2,1200,30.0,134776.9886152712,0.0,90.34,90.34
1,18,bigbuckbunny,2,1200,4.0,134.7418628176216,5.623672551543898,90.34,65.93820802836125
1,19,bigbuckbunny,1,750,7.85,99642.9324082497,0.0,83.73,76.977
1,20,bigbuckbunny,1,750,11.7,99642.9324082497,0.0,83.73,83.664
1,21,bigbuckbunny,1,750,15.549999999999999,99642.9324082497,0.0,83.73,83.73
1,22,bigbuckbunny,1,750,19.4,99642.9324082497,0.0,83.73,83.73
1,23,bigbuckbunny,1,750,12.065750334223317,264.6844818548846,0.0,83.73,83.67131500668447
1,24,bigbuckbunny,1,750,9.779860614879519,477.2594070125014,0.0,83.73,83.62559721229759
1,25,bigbuckbunny,1,750,13.629860614879519,101145.4689946165,0.0,83.73,83.70259721229759
1,26,bigbuckbunny,1,750,17.47986061487952,101145.4689946165,0.0,83.73,83.73
1,27,bigbuckbunny,1,750,21.32986061487952,103335.65127089104,0.0,83.73,83.73
1,28,bigbuckbunny,1,750,15.293960340085494,298.9268444142218,0.0,83.73,83.73
1,29,bigbuckbunny,1,750,12.169493766096554,421.0841568059068,0.0,83.73,83.67338987532193
1,30,bigbuckbunny,1,750,16.019493766096552,86330.65219175599,0.0,83.73,83.73
1,31,bigbuckbunny,1,750,19.869493766096554,86027.4858543207,0.0,83.73,83.73
1,32,bigbuckbunny,1,750,23.719493766096555,86027.4858543207,0.0,83.73,83.73
1,33,bigbuckbunny,1,750,16.285228787551247,262.3692913911872,0.0,83.73,83.73
1,34,bigbuckbunny,1,750,20.13522878755125,101517.25897290607,0.0,83.73,83.73
1,35,bigbuckbunny,1,750,23.98522878755125,101517.25897290607,0.0,83.73,83.73
1,36,bigbuckbunny,1,750,27.83522878755125,101517.25897290607,0.0,83.73,83.73
1,37,bigbuckbunny,1,750,30.0,101517.25897290607,0.0,83.73,83.73
1,38,bigbuckbunny,2,1200,30.0,101517.25897290607,0.0,90.34,83.73
1,39,bigbuckbunny,2,1200,30.0,101517.25897290607,0.0,90.34,90.34
1,40,bigbuckbunny,1,750,30.0,101517.25897290607,0.0,83.73,77.12
1,41,bigbuckbunny,2,1200,30.0,101517.25897290607,0.0,90.34,83.73
1,42,bigbuckbunny,2,1200,18.511778722251073,309.91292763203836,0.0,90.34,90.34
1,43,bigbuckbunny,2,1200,22.271778722251074,97506.81432078926,0.0,90.34,90.34
1,44,bigbuckbunny,1,750,19.357117909167066,433.860760649801,0.0,83.73,77.12
1,45,bigbuckbunny,1,750,23.207117909167067,141719.8855420673,0.0,83.73,83.73
1,46,bigbuckbunny,1,750,27.05711790916707,141719.8855420673,0.0,83.73,83.73
1,47,bigbuckbunny,1,750,30.0,121132.57943971819,0.0,83.73,83.73
2,0,bigbuckbunny,1,750,4.85,121396.24693267111,0.0,83.73,66.377
2,1,bigbuckbunny,1,750,8.7,121396.24693267111,0.0,83.73,83.604
2,2,bigbuckbunny,1,750,12.549999999999999,121396.24693267111,0.0,83.73,83.681
2,3,bigbuckbunny,1,750,16.4,121396.24693267111,0.0,83.73,83.73
2,4,bigbuckbunny,1,750,20.25,94899.71445835683,0.0,83.73,83.73
2,5,bigbuckbunny,1,750,24.1,94899.71445835683,0.0,83.73,83.73
2,6,bigbuckbunny,1,750,6.0904949635186405,136.30474629154165,0.0,83.73,83.55180989927038
2,7,bigbuckbunny,1,750,9.94049496351864,101143.7572277012,0.0,83.73,83.62880989927038
2,8,bigbuckbunny,1,750,13.79049496351864,101143.7572277012,0.0,83.73,83.70580989927038
2,9,bigbuckbunny,1,750,17.64049496351864,101143.7572277012,0.0,83.73,83.73
2,10,bigbuckbunny,1,750,15.111777784365795,459.50834102286444,0.0,83.73,83.73
2,11,bigbuckbunny,1,750,18.961777784365793,129419.93916413563,0.0,83.73,83.73
2,12,bigbuckbunny,1,750,22.811777784365795,118404.65243245958,0.0,83.73,83.73
2,13,bigbuckbunny,1,750,4.0,130.9152343919644,0.10381346774092393,83.73,83.06360208871403
2,14,bigbuckbunny,1,750,7.85,86506.17198353255,0.0,83.73,83.587
2,15,bigbuckbunny,1,750,11.7,86506.17198353255,0.0,83.73,83.664
2,16,bigbuckbunny,1,750,15.549999999999999,86506.17198353255,0.0,83.73,83.73
2,17,bigbuckbunny,1,750,19.4,86506.17198353255,0.0,83.73,83.73
2,18,bigbuckbunny,1,750,10.419589555552491,231.11749916068936,0.0,83.73,83.63839179111105
2,19,bigbuckbunny,1,750,4.0,231.11749916068936,2.560820888895016,83.73,72.49847017775144
2,20,bigbuckbunny,1,750,7.85,132864.13693897225,0.0,83.73,83.587
2,21,bigbuckbunny,1,750,11.7,132864.13693897225,0.0,83.73,83.664
2,22,bigbuckbunny,1,750,15.549999999999999,132864.13693897225,0.0,83.73,83.73
2,23,bigbuckbunny,1,750,19.4,132864.13693897225,0.0,83.73,83.73
2,24,bigbuckbunny,1,750,23.25,132864.13693897225,0.0,83.73,83.73
2,25,bigbuckbunny,1,750,27.1,149472.1322254003,0.0,83.73,83.73
2,26,bigbuckbunny,1,750,15.82381897485104,196.38416139879087,0.0,83.73,83.73
2,27,bigbuckbunny,1,750,19.673818974851038,134274.55447584935,0.0,83.73,83.73
2,28,bigbuckbunny,1,750,23.52381897485104,134274.55447584935,0.0,83.73,83.73
2,29,bigbuckbunny,1,750,20.938234508651682,455.54043310773073,0.0,83.73,83.73
2,30,bigbuckbunny,1,750,24.788234508651684,120405.17769079616,0.0,83.73,83.73
2,31,bigbuckbunny,1,750,28.638234508651685,120405.17769079616,0.0,83.73,83.73
2,32,bigbuckbunny,1,750,30.0,120405.17769079616,0.0,83.73,83.73
2,33,bigbuckbunny,1,750,30.0,120405.17769079616,0.0,83.73,83.73
2,34,bigbuckbunny,2,1200,30.0,102728.32074404779,0.0,90.34,83.73
2,35,bigbuckbunny,2,1200,12.045674366393204,218.6357294733915,0.0,90.34,90.28091348732787
2,36,bigbuckbunny,1,750,15.895674366393203,103954.42324237352,0.0,83.73,77.12
2,37,bigbuckbunny,1,750,4.132384556197259,190.31560265164654,0.0,83.73,83.51264769112395
2,38,bigbuckbunny,1,750,7.982384556197259,122367.25692141513,0.0,83.73,83.58964769112394
2,39,bigbuckbunny,1,750,11.832384556197258,122367.25692141513,0.0,83.73,83.66664769112396
2,40,bigbuckbunny,1,750,8.7537387310505,423.809874671587,0.0,83.73,83.60507477462102
2,41,bigbuckbunny,1,750,12.6037387310505,116514.9244924901,0.0,83.73,83.68207477462101
2,42,bigbuckbunny,1,750,16.4537387310505,98107.71414364615,0.0,83.73,83.73
2,43,bigbuckbunny,1,750,20.3037387310505,98107.71414364615,0.0,83.73,83.73
2,44,bigbuckbunny,1,750,24.153738731050503,98107.71414364615,0.0,83.73,83.73
2,45,bigbuckbunny,1,750,28.003738731050504,98107.71414364615,0.0,83.73,83.73
2,46,bigbuckbunny,1,750,30.0,98107.71414364615,0.0,83.73,83.73
2,47,bigbuckbunny,1,750,30.0,98107.71414364615,0.0,83.73,83.73
3,0,bigbuckbunny,1,750,4.85,134258.78153724215,0.0,83.73,66.377
3,1,bigbuckbunny,1,750,4.0,485.5239693203943,1.328891650188167,83.73,77.79576590419089
3,2,bigbuckbunny,1,750,4.0,391.40191110638904,3.664755625540505,83.73,67.75155081017583
3,3,bigbuckbunny,1,750,7.85,103519.56174408941,0.0,83.73,83.587
3,4,bigbuckbunny,1,750,11.7,103519.56174408941,0.0,83.73,83.664
3,5,bigbuckbunny,1,750,15.549999999999999,103519.56174408941,0.0,83.73,83.73
3,6,bigbuckbunny,1,750,19.4,95686.34146699995,0.0,83.73,83.73
3,7,bigbuckbunny,1,750,23.25,108446.59717611992,0.0,83.73,83.73
3,8,bigbuckbunny,1,750,27.1,108446.59717611992,0.0,83.73,83.73
3,9,bigbuckbunny,1,750,30.0,108446.59717611992,0.0,83.73,83.73
3,10,bigbuckbunny,1,750,30.0,108446.59717611992,0.0,83.73,83.73
3,11,bigbuckbunny,2,1200,18.923507111638205,318.376431146353,0.0,90.34,83.73
3,12,bigbuckbunny,1,750,22.773507111638207,142794.53075528354,0.0,83.73,77.12
3,13,bigbuckbunny,1,750,19.003567709067823,386.1033972810092,0.0,83.73,83.73
3,14,bigbuckbunny,1,750,22.853567709067825,90957.5657089167,0.0,83.73,83.73
3,15,bigbuckbunny,1,750,26.703567709067826,90957.5657089167,0.0,83.73,83.73
3,16,bigbuckbunny,1,750,30.0,120270.71912324161,0.0,83.73,83.73
3,17,bigbuckbunny,1,750,7.211494985925771,111.98833225011438,0.0,83.73,83.57422989971852
3,18,bigbuckbunny,1,750,11.061494985925771,103049.3111147745,0.0,83.73,83.65122989971852
3,19,bigbuckbunny,1,750,14.91149498592577,103049.3111147745,0.0,83.73,83.72822989971851
3,20,bigbuckbunny,1,750,18.761494985925772,148546.02267370827,0.0,83.73,83.73
3,21,bigbuckbunny,1,750,22.611494985925773,148546.02267370827,0.0,83.73,83.73
3,22,bigbuckbunny,1,750,26.461494985925775,148546.02267370827,0.0,83.73,83.73
3,23,bigbuckbunny,1,750,30.0,105806.83182431929,0.0,83.73,83.73
3,24,bigbuckbunny,1,750,26.02333084559658,376.09683214000256,0.0,83.73,83.73
3,25,bigbuckbunny,2,1200,29.78333084559658,148927.0210466644,0.0,90.34,83.73
3,26,bigbuckbunny,2,1200,30.0,115998.61291989099,0.0,90.34,90.34
3,27,bigbuckbunny,2,1200,30.0,84898.9057852316,0.0,90.34,90.34
3,28,bigbuckbunny,2,1200,30.0,84898.9057852316,0.0,90.34,90.34
3,29,bigbuckbunny,2,1200,30.0,84898.9057852316,0.0,90.34,90.34
3,30,bigbuckbunny,2,1200,30.0,84898.9057852316,0.0,90.34,90.34
3,31,bigbuckbunny,2,1200,30.0,84898.9057852316,0.0,90.34,90.34
3,32,bigbuckbunny,2,1200,30.0,84898.9057852316,0.0,90.34,90.34
3,33,bigbuckbunny,2,1200,30.0,83584.50124783519,0.0,90.34,90.34
3,34,bigbuckbunny,2,1200,30.0,83584.50124783519,0.0,90.34,90.34
3,35,bigbuckbunny,2,1200,30.0,91885.78190869381,0.0,90.34,90.34
3,36,bigbuckbunny,2,1200,15.870353573213855,264.75971384130844,0.0,90.34,90.34
3,37,bigbuckbunny,1,750,19.720353573213856,149889.9284539746,0.0,83.73,77.12
3,38,bigbuckbunny,1,750,23.570353573213858,108414.50267555844,0.0,83.73,83.73
3,39,bigbuckbunny,1,750,27.42035357321386,125349.75517793288,0.0,83.73,83.73
3,40,bigbuckbunny,1,750,30.0,125349.75517793288,0.0,83.73,83.73
3,41,bigbuckbunny,2,1200,30.0,91358.67582516538,0.0,90.34,83.73
3,42,bigbuckbunny,2,1200,30.0,91358.67582516538,0.0,90.34,90.34
3,43,bigbuckbunny,2,1200,30.0,91358.67582516538,0.0,90.34,90.34
3,44,bigbuckbunny,2,1200,30.0,91358.67582516538,0.0,90.34,90.34
3,45,bigbuckbunny,2,1200,30.0,93682.66305966848,0.0,90.34,90.34
3,46,bigbuckbunny,2,1200,30.0,93682.66305966848,0.0,90.34,90.34
3,47,bigbuckbunny,2,1200,30.0,145667.7590189916,0.0,90.34,90.34
4,0,bigbuckbunny,1,750,4.85,99854.98430534457,0.0,83.73,66.377
4,1,bigbuckbunny,1,750,8.7,99854.98430534457,0.0,83.73,83.604
