episode,video,trace_idx,total_reward,avg_vmaf,total_rebuffer,rebuffer_rate,total_smooth,switches
0,crowd_run,0,896.3173793246623,22.425,23.71859119430718,12.353432913701656,76.52,8
1,crowd_run,23,850.197086097409,21.650000000000006,21.2473064914619,11.066305464303072,95.11999999999999,10
2,crowd_run,17,642.9299748543747,20.293750000000006,45.5561846631258,23.727179512044685,132.32,14
3,crowd_run,10,967.6887317892466,23.006249999999998,22.32365123072184,11.626901682667624,39.32,4
4,crowd_run,7,1020.3744628158472,22.8125,3.6396964483918506,1.895675233537422,57.92,6
5,crowd_run,16,1111.1019999999999,23.587500000000002,0.0,0.0,20.72,2
6,crowd_run,11,844.2244887008576,21.45625000000001,20.519138422614894,10.68705126177859,95.11999999999999,10
7,crowd_run,5,957.394980919918,22.231250000000003,13.797726538936654,7.186315905696174,48.620000000000005,5
8,crowd_run,32,888.7240346167335,20.875000000000014,7.91991578606326,4.124956138574615,76.52,8
9,crowd_run,9,1026.7945432678684,23.006249999999998,4.32702772119589,2.2536602714561926,57.92,6
10,crowd_run,4,915.4244629269114,22.425000000000008,25.638793151984327,13.353538099991837,48.620000000000005,5
11,crowd_run,21,744.1068208128662,22.037500000000005,56.745265707705215,29.554825889429797,67.22,7
12,crowd_run,1,942.6624723701806,22.037500000000005,17.22766231355208,8.972740788308375,39.32,4
13,crowd_run,21,744.1068208128662,22.037500000000005,56.745265707705215,29.554825889429797,67.22,7
14,crowd_run,32,888.7240346167335,20.875000000000014,7.91991578606326,4.124956138574615,76.52,8
15,crowd_run,0,896.3173793246623,22.425,23.71859119430718,12.353432913701656,76.52,8
16,crowd_run,10,967.6887317892466,23.006249999999998,22.32365123072184,11.626901682667624,39.32,4
17,crowd_run,18,722.0898052006229,21.650000000000006,55.487941647991924,28.89996960832913,76.52,8
18,crowd_run,26,690.4063899043002,21.068750000000012,49.762908539223105,25.91818153084537,104.41999999999999,11
19,crowd_run,11,844.2244887008576,21.45625000000001,20.519138422614894,10.68705126177859,95.11999999999999,10
