episode,video,trace_idx,total_reward,avg_vmaf,total_rebuffer,rebuffer_rate,total_smooth,switches
0,sintel,23,3907.63312848877,87.42999999999995,61.87097754137845,32.224467469467946,12.610000000000014,1
1,sintel,26,4181.6472546264495,87.42999999999995,0.40096070606577316,0.2088337010759235,12.610000000000014,1
2,sintel,11,4123.746455913979,87.59166666666663,11.419999999999987,5.947916666666661,28.129999999999995,3
3,sintel,8,4045.710316878494,87.42999999999995,30.14254470652192,15.699242034646835,12.610000000000014,1
4,sintel,5,4174.923896656345,87.75333333333329,1.9022970713887686,0.9907797246816502,28.129999999999995,3
5,sintel,3,3992.511666666667,87.42999999999995,42.08333333333334,21.918402777777782,12.610000000000014,1
6,sintel,8,4045.710316878494,87.42999999999995,30.14254470652192,15.699242034646835,12.610000000000014,1
7,sintel,19,4143.866459591714,87.42999999999995,8.483984753133981,4.418742058923949,12.610000000000014,1
8,sintel,11,4123.746455913979,87.59166666666663,11.419999999999987,5.947916666666661,28.129999999999995,3
9,sintel,16,4179.664402093556,87.42999999999995,0.8882243986928859,0.46261687431921145,12.610000000000014,1
10,sintel,18,4183.542021505374,87.42999999999995,0.0,0.0,12.610000000000014,1
11,sintel,4,4171.790451288289,87.42999999999995,2.3670335985059348,1.232829999221841,12.610000000000014,1
12,sintel,23,3907.63312848877,87.42999999999995,61.87097754137845,32.224467469467946,12.610000000000014,1
13,sintel,6,4109.8680629336395,87.42999999999995,15.216019013801434,7.92500990302158,12.610000000000014,1
14,sintel,10,4069.6642289229394,87.42999999999995,24.402635856471225,12.709706175245431,12.610000000000014,1
15,sintel,14,3909.54410132484,87.42999999999995,61.378115970967414,31.96776873487886,12.610000000000014,1
16,sintel,0,4184.324500506891,87.91499999999995,1.5195009372543486,0.7914067381533065,28.129999999999995,3
17,sintel,0,4184.324500506891,87.91499999999995,1.5195009372543486,0.7914067381533065,28.129999999999995,3
18,sintel,21,4172.31645833333,87.42999999999995,2.40625,1.2532552083333335,12.610000000000014,1
19,sintel,24,4142.235907502669,87.42999999999995,8.786054698276175,4.576070155352174,12.610000000000014,1
