episode,chunk,video,action,bitrate,buffer,throughput,rebuffer,vmaf,reward
0,0,tearsofsteel_short,1,750,4.85,141427.29687101787,0.0,86.63,67.64699999999999
0,1,tearsofsteel_short,1,750,8.7,141427.29687101787,0.0,86.63,86.50399999999999
0,2,tearsofsteel_short,1,750,12.549999999999999,141427.29687101787,0.0,86.63,86.58099999999999
0,3,tearsofsteel_short,1,750,16.4,104439.74563183883,0.0,86.63,86.63
0,4,tearsofsteel_short,1,750,20.25,104439.74563183883,0.0,86.63,86.63
0,5,tearsofsteel_short,1,750,24.1,104439.74563183883,0.0,86.63,86.63
0,6,tearsofsteel_short,1,750,21.51724373774799,455.7361507068281,0.0,86.63,86.63
0,7,tearsofsteel_short,1,750,25.36724373774799,80780.0655253358,0.0,86.63,86.63
0,8,tearsofsteel_short,1,750,29.217243737747992,80780.0655253358,0.0,86.63,86.63
0,9,tearsofsteel_short,1,750,24.664462807327524,350.7631055215762,0.0,86.63,86.63
0,10,tearsofsteel_short,1,750,20.111681876907056,350.7631055215762,0.0,86.63,86.63
0,11,tearsofsteel_short,1,750,23.961681876907058,122404.37442023316,0.0,86.63,86.63
0,12,tearsofsteel_short,1,750,27.81168187690706,100779.7605662321,0.0,86.63,86.63
0,13,tearsofsteel_short,1,750,30.0,100779.7605662321,0.0,86.63,86.63
0,14,tearsofsteel_short,2,1200,30.0,100779.7605662321,0.0,92.82,86.63
0,15,tearsofsteel_short,2,1200,30.0,100779.7605662321,0.0,92.82,92.82
0,16,tearsofsteel_short,1,750,30.0,100779.7605662321,0.0,86.63,80.44
0,17,tearsofsteel_short,1,750,30.0,100779.7605662321,0.0,86.63,86.63
0,18,tearsofsteel_short,2,1200,17.89050145821348,297.96085753689056,0.0,92.82,86.63
0,19,tearsofsteel_short,2,1200,21.65050145821348,144223.1858566455,0.0,92.82,92.82
0,20,tearsofsteel_short,1,750,25.50050145821348,144223.1858566455,0.0,86.63,80.44
0,21,tearsofsteel_short,1,750,29.350501458213483,144223.1858566455,0.0,86.63,86.63
0,22,tearsofsteel_short,1,750,30.0,80583.30086028606,0.0,86.63,86.63
0,23,tearsofsteel_short,2,1200,30.0,80583.30086028606,0.0,92.82,86.63
0,24,tearsofsteel_short,2,1200,30.0,80583.30086028606,0.0,92.82,92.82
0,25,tearsofsteel_short,2,1200,30.0,80583.30086028606,0.0,92.82,92.82
0,26,tearsofsteel_short,2,1200,30.0,80524.3785830382,0.0,92.82,92.82
0,27,tearsofsteel_short,2,1200,30.0,80524.3785830382,0.0,92.82,92.82
0,28,tearsofsteel_short,2,1200,4.0,126.87239777924621,7.8332882803385,92.82,58.91686039454444
0,29,tearsofsteel_short,1,750,7.85,102972.35004301651,0.0,86.63,80.297
0,30,tearsofsteel_short,1,750,11.7,102972.35004301651,0.0,86.63,86.564
0,31,tearsofsteel_short,1,750,15.549999999999999,102972.35004301651,0.0,86.63,86.63
