episode,video,trace_idx,total_reward,avg_vmaf,total_rebuffer,rebuffer_rate,total_smooth,switches
0,tearsofsteel_short,23,3863.0631284887686,86.63000000000007,61.87097754137845,32.224467469467946,18.78,1
1,tearsofsteel_short,26,4137.077254626455,86.63000000000007,0.40096070606577316,0.2088337010759235,18.78,1
2,tearsofsteel_short,11,4102.16765591398,86.63000000000007,7.999999999999986,4.16666666666666,18.78,1
3,tearsofsteel_short,8,4001.1403168784905,86.63000000000007,30.14254470652192,15.699242034646835,18.78,1
4,tearsofsteel_short,5,4130.353896656352,86.63000000000007,1.9022970713887686,0.9907797246816502,18.78,1
5,tearsofsteel_short,3,3947.941666666667,86.63000000000007,42.08333333333334,21.918402777777782,18.78,1
6,tearsofsteel_short,8,4001.1403168784905,86.63000000000007,30.14254470652192,15.699242034646835,18.78,1
7,tearsofsteel_short,19,4099.29645959172,86.63000000000007,8.483984753133981,4.418742058923949,18.78,1
8,tearsofsteel_short,11,4102.16765591398,86.63000000000007,7.999999999999986,4.16666666666666,18.78,1
9,tearsofsteel_short,16,4135.094402093563,86.63000000000007,0.8882243986928859,0.46261687431921145,18.78,1
10,tearsofsteel_short,18,4138.972021505379,86.63000000000007,0.0,0.0,18.78,1
11,tearsofsteel_short,4,4127.220451288295,86.63000000000007,2.3670335985059348,1.232829999221841,18.78,1
12,tearsofsteel_short,23,3863.0631284887686,86.63000000000007,61.87097754137845,32.224467469467946,18.78,1
13,tearsofsteel_short,6,4065.2980629336366,86.63000000000007,15.216019013801434,7.92500990302158,18.78,1
14,tearsofsteel_short,10,4025.094228922938,86.63000000000007,24.402635856471225,12.709706175245431,18.78,1
15,tearsofsteel_short,14,3864.974101324839,86.63000000000007,61.378115970967414,31.96776873487886,18.78,1
16,tearsofsteel_short,0,4131.994500506897,86.63000000000007,1.5195009372543486,0.7914067381533065,18.78,1
17,tearsofsteel_short,0,4131.994500506897,86.63000000000007,1.5195009372543486,0.7914067381533065,18.78,1
18,tearsofsteel_short,21,4127.746458333337,86.63000000000007,2.40625,1.2532552083333335,18.78,1
19,tearsofsteel_short,24,4097.66590750267,86.63000000000007,8.786054698276175,4.576070155352174,18.78,1
