episode,chunk,video,action,bitrate,buffer,throughput,rebuffer,vmaf,reward,risk_factor,weighted_penalty
0,0,parkjoy,0,300,4.0,527.22940984,1.2760490549301715,35.0,-362.12053712217426,6.206979827179849,396.02053712217423
0,1,parkjoy,0,300,4.249566766595424,319.96303501899996,0.0,35.0,33.92495667665954,6.01565983484206,0.0
0,2,parkjoy,0,300,5.148847602135277,387.006993007,0.0,35.0,34.014884760213526,5.382734565856889,0.0
0,3,parkjoy,0,300,7.314407367157268,654.1505016719999,0.0,35.0,34.231440736715726,4.167171426019873,0.0
0,4,parkjoy,0,300,9.827818979783698,807.2173913040001,0.0,35.0,34.48278189797837,3.1723882817885998,0.0
0,5,parkjoy,0,300,10.84859652715752,402.789660416,0.0,35.0,34.58485965271575,2.863973540079585,0.0
0,6,parkjoy,0,300,12.280686927146656,467.30616996500004,0.0,35.0,34.728068692714665,2.5036522182584844,0.0
0,7,parkjoy,0,300,13.610063781750025,449.33333333300004,0.0,35.0,34.861006378175006,2.231817144886584,0.0
0,8,parkjoy,0,300,14.797784646752572,426.70017533600003,0.0,35.0,34.979778464675256,2.0307970139736504,0.0
0,9,parkjoy,0,300,16.819041069917677,606.445430346,0.0,35.0,35.0,1.0,0.0
0,10,parkjoy,0,300,19.353844350094807,819.0026525200001,0.0,35.0,35.0,1.0,0.0
0,11,parkjoy,0,300,19.9842522041357,356.126186202,0.0,35.0,35.0,1.0,0.0
0,12,parkjoy,0,300,21.743182471754764,535.4585725999999,0.0,35.0,35.0,1.0,0.0
0,13,parkjoy,0,300,23.365344238005996,504.66006600699995,0.0,35.0,35.0,1.0,0.0
0,14,parkjoy,0,300,25.858185871880043,796.2003376480001,0.0,35.0,35.0,1.0,0.0
0,15,parkjoy,0,300,28.405091851220867,825.8240574509999,0.0,35.0,35.0,1.0,0.0
0,16,parkjoy,0,300,30.0,704.794816415,0.0,35.0,35.0,1.0,0.0
0,17,parkjoy,0,300,30.0,579.953241233,0.0,35.0,35.0,1.0,0.0
0,18,parkjoy,0,300,30.0,539.6716016150001,0.0,35.0,35.0,1.0,0.0
0,19,parkjoy,0,300,30.0,486.37653587,0.0,35.0,35.0,1.0,0.0
0,20,parkjoy,0,300,30.0,735.174866627,0.0,35.0,35.0,1.0,0.0
0,21,parkjoy,0,300,30.0,666.069576218,0.0,35.0,35.0,1.0,0.0
