episode,video,trace_idx,total_reward,avg_vmaf,total_rebuffer,rebuffer_rate,total_smooth,switches,chunks
0,parkjoy,23,1278.6872401376736,35.0,1.2760490549301715,0.664608882776131,0.0,0,48
1,parkjoy,11,1677.9973225806452,35.0,0.0,0.0,0.0,0,48
2,parkjoy,18,1677.9983548387097,35.0,0.0,0.0,0.0,0,48
3,parkjoy,3,1304.0812103704654,35.0,1.199999999995967,0.6249999999978995,0.0,0,48
4,parkjoy,17,1353.6420489877291,35.0,1.0399999999965317,0.5416666666648602,0.0,0,48
5,parkjoy,11,1677.9973225806452,35.0,0.0,0.0,0.0,0,48
6,parkjoy,16,1677.8087213766303,35.0,0.0,0.0,0.0,0,48
7,parkjoy,18,1677.9983548387097,35.0,0.0,0.0,0.0,0,48
8,parkjoy,6,1608.8229868655967,35.0,0.2176139023829209,0.1133405741577713,0.0,0,48
9,parkjoy,26,1677.7186533929269,35.0,0.0,0.0,0.0,0,48
10,parkjoy,14,1277.449007079952,35.0,1.283800243601013,0.6686459602088609,0.0,0,48
11,parkjoy,0,1674.9422396725183,35.0,0.007800374900893026,0.004062695260881785,0.0,0,48
12,parkjoy,24,1656.636849807346,35.0,0.0663633455363215,0.03456424246683412,0.0,0,48
13,parkjoy,3,1304.0812103704654,35.0,1.199999999995967,0.6249999999978995,0.0,0,48
14,parkjoy,21,1564.7718239661795,35.0,0.36249999999845284,0.18880208333252751,0.0,0,48
15,parkjoy,7,1572.494715416804,35.0,0.3374999999985093,0.17578124999922362,0.0,0,48
16,parkjoy,25,1677.7798661488878,35.0,0.0,0.0,0.0,0,48
17,parkjoy,15,1656.4808588980854,35.0,0.0657167568207504,0.0342274775108075,0.0,0,48
18,parkjoy,8,1598.2558215432487,35.0,0.25484367008147024,0.1327310781674324,0.0,0,48
19,parkjoy,1,1649.4596747295902,35.0,0.08998094809176549,0.046865077131127864,0.0,0,48
