episode,chunk,video,action,bitrate,buffer,throughput,rebuffer,vmaf,reward,risk_factor,weighted_penalty
0,0,sintel,2,1200,4.0,527.22940984,8.104196219737954,95.19,57.581187938550286,2.1,0.0
0,1,sintel,2,1200,4.0,319.96303501899996,11.00173293366519,95.19,71.8663608393031,2.1,0.0
0,2,sintel,2,1200,4.0,387.006993007,8.402876657872639,95.19,77.32395901846746,2.1,0.0
0,3,sintel,2,1200,4.0,654.1505016719999,3.3377609399232506,95.19,87.96070202616117,2.1,0.0
0,4,sintel,2,1200,4.0,807.2173913040001,1.9463535495016462,95.19,90.88265754604654,2.1,0.0
0,5,sintel,2,1200,4.0,402.789660416,7.916889810534297,95.19,78.34453139787797,2.1,0.0
0,6,sintel,2,1200,4.0,467.30616996500004,6.271638400065436,95.19,81.79955935986258,2.1,0.0
0,7,sintel,2,1200,4.0,449.33333333300004,6.682492581610298,95.19,80.93676557861838,2.1,0.0
0,8,sintel,2,1200,4.0,426.70017533600003,7.249116540016175,95.19,79.74685526596603,2.1,0.0
0,9,sintel,2,1200,4.0,606.445430346,3.9149743073526313,95.19,86.74855395455947,2.1,0.0
0,10,sintel,2,1200,4.0,819.0026525200001,1.8607868792986402,95.19,91.06234755347285,2.1,0.0
0,11,sintel,2,1200,4.0,356.126186202,9.478368583874282,95.19,75.06542597386401,2.1,0.0
0,12,sintel,2,1200,4.0,535.4585725999999,4.964278929540479,95.19,84.54501424796499,2.1,0.0
0,13,sintel,2,1200,4.0,504.66006600699995,5.5113529350139245,95.19,83.39615883647076,2.1,0.0
0,14,sintel,2,1200,4.0,796.2003376480001,2.0286334645113886,95.19,90.70986972452609,2.1,0.0
0,15,sintel,2,1200,4.0,825.8240574509999,1.8123760826437376,95.19,91.16401022644816,2.1,0.0
0,16,sintel,2,1200,4.0,704.794816415,2.810492767832227,95.19,89.06796518755232,2.1,0.0
0,17,sintel,2,1200,4.0,579.953241233,4.2765293108717515,95.19,85.98928844716932,2.1,0.0
0,18,sintel,2,1200,4.0,539.6716016150001,4.894297913093274,95.19,84.69197438250413,2.1,0.0
0,19,sintel,2,1200,4.0,486.37653587,5.868897132165431,95.19,82.64531602245259,2.1,0.0
0,20,sintel,2,1200,4.0,735.174866627,2.5290588918287096,95.19,89.6589763271597,2.1,0.0
0,21,sintel,2,1200,4.0,666.069576218,3.2064543575985125,95.19,88.23644584904312,2.1,0.0
0,22,sintel,2,1200,4.0,786.506753106,2.102935519681531,95.19,90.55383540866879,2.1,0.0
0,23,sintel,2,1200,4.0,694.616970658,2.9102832248009056,95.19,88.8584052279181,2.1,0.0
0,24,sintel,2,1200,4.0,531.659947415,5.028327266964956,95.19,84.41051273937359,2.1,0.0
0,25,sintel,2,1200,4.0,492.534958767,5.745501135627414,95.19,82.90444761518243,2.1,0.0
0,26,sintel,2,1200,4.0,719.274853801,2.673387752448808,95.19,89.3558857198575,2.1,0.0
0,27,sintel,2,1200,4.0,686.2371579449999,2.9946664129556035,95.19,88.68120053279323,2.1,0.0
0,28,sintel,2,1200,4.0,807.1822429910001,1.9466124802419857,95.19,90.88211379149183,2.1,0.0
0,29,sintel,2,1200,4.0,793.628019324,2.048173556282155,95.19,90.66883553180747,2.1,0.0
0,30,sintel,2,1200,4.0,749.418755803,2.4049637973856344,95.19,89.91957602549017,2.1,0.0
0,31,sintel,2,1200,4.0,990.857747224,0.8442877026977307,95.19,93.19699582433476,2.1,0.0
0,32,sintel,2,1200,4.0,964.189415042,0.9782749375971029,95.19,92.91562263104608,2.1,0.0
0,33,sintel,2,1200,4.0,572.6208,4.382510729613733,95.19,85.76672746781117,2.1,0.0
0,34,sintel,2,1200,4.0,725.924353019,2.612259225134946,95.19,89.48425562721661,2.1,0.0
0,35,sintel,2,1200,4.0,536.965223563,4.939126389135394,95.19,84.59783458281566,2.1,0.0
0,36,sintel,2,1200,4.0,810.283289125,1.923854119197463,95.19,90.92990634968533,2.1,0.0
0,37,sintel,2,1200,4.0,759.944944415,2.3162470324676008,95.19,90.10588123181803,2.1,0.0
0,38,sintel,2,1200,4.0,363.85622119799996,9.192023992872668,95.19,75.66674961496739,2.1,0.0
0,39,sintel,2,1200,4.0,361.492461027,9.278285213371259,95.19,75.48560105192036,2.1,0.0
0,40,sintel,2,1200,4.0,439.670636271,6.917263069261287,95.19,80.4437475545513,2.1,0.0
0,41,sintel,2,1200,4.0,452.328430062,6.611758361821456,95.19,81.08530744017494,2.1,0.0
0,42,sintel,2,1200,4.0,817.523587653,1.871390223467622,95.19,91.04008053071799,2.1,0.0
0,43,sintel,2,1200,4.0,693.083743842,2.9255700233163164,95.19,88.82630295103573,2.1,0.0
0,44,sintel,2,1200,4.0,554.2171846440001,4.660864608670096,95.19,85.1821843217928,2.1,0.0
0,45,sintel,2,1200,4.0,499.064343164,5.617998291700532,95.19,83.17220358742888,2.1,0.0
0,46,sintel,2,1200,4.0,685.9651715040001,2.9974398109394533,95.19,88.67537639702715,2.1,0.0
0,47,sintel,2,1200,4.0,794.634146341,2.0405156537788454,95.19,90.68491712706442,2.1,0.0
1,0,sintel,2,1200,4.0,2141.38768276,1.2415371297052373,95.19,71.992772027619,2.1,0.0
1,1,sintel,2,1200,4.14376660728345,1244.73793756,0.0,95.19,94.97287533214566,2.085623339271655,0.0
1,2,sintel,2,1200,6.037383958090446,2278.78823529,0.0,95.19,95.01074767916181,1.8962616041909555,0.0
1,3,sintel,2,1200,7.531133670505763,1915.2117503099998,0.0,95.19,95.04062267341011,1.7468866329494237,0.0
1,4,sintel,2,1200,9.598568766920122,2483.7458194,0.0,95.19,95.0819713753384,1.5401431233079879,0.0
