episode,video,trace_idx,total_reward,avg_vmaf,total_rebuffer,rebuffer_rate,total_smooth,switches,chunks
0,sintel,23,4092.9184325880337,95.19,212.03407971998436,110.4344165208252,20.370000000000005,1,48
1,sintel,26,4548.594268157653,95.29500000000002,1.2415371297052373,0.6466339217214778,20.49000000000001,2,48
2,sintel,11,4348.8901978494605,95.24749999999996,93.85333333333338,48.88194444444447,20.610000000000014,3,48
3,sintel,8,4198.777186308581,95.19,161.62807153043514,84.18128725543497,20.370000000000005,1,48
4,sintel,5,4503.708531629008,95.24000000000005,19.701905797072193,10.261409269308434,20.730000000000018,4,48
5,sintel,3,4158.65,95.19,180.73333333333312,94.13194444444434,20.370000000000005,1,48
6,sintel,8,4198.777186308581,95.19,161.62807153043514,84.18128725543497,20.370000000000005,1,48
7,sintel,19,4374.88269896343,95.19,77.77782643119221,40.509284599579274,20.370000000000005,1,48
8,sintel,11,4348.8901978494605,95.24749999999996,93.85333333333338,48.88194444444447,20.610000000000014,3,48
9,sintel,16,4542.505774121832,95.28000000000003,3.7200551391912233,1.9375287183287622,20.730000000000018,4,48
10,sintel,18,4552.599075268817,95.30000000000001,0.3466666666666667,0.18055555555555558,20.49000000000001,2,48
11,sintel,4,4393.366429514349,95.19,68.96360499316688,35.91854426727441,20.370000000000005,1,48
12,sintel,23,4092.9184325880337,95.19,212.03407971998436,110.4344165208252,20.370000000000005,1,48
13,sintel,6,4267.884469130516,95.19,128.7212078639098,67.04229576245302,20.370000000000005,1,48
14,sintel,10,4219.697758086334,95.19,151.6981990463593,79.00947866997879,20.370000000000005,1,48
15,sintel,14,4093.8195303375496,95.19,211.60498555354775,110.21092997580612,20.370000000000005,1,48
16,sintel,0,4500.658145623569,95.24000000000005,21.211168224814102,11.04748345042401,20.730000000000018,4,48
17,sintel,0,4500.658145623569,95.24000000000005,21.211168224814102,11.04748345042401,20.730000000000018,4,48
18,sintel,21,4393.963333333336,95.19,68.67936507936507,35.77050264550264,20.370000000000005,1,48
19,sintel,24,4299.687456562993,95.19,113.5805443082668,59.15653349388895,20.370000000000005,1,48
