episode,video,trace_idx,total_reward,avg_vmaf,total_rebuffer,rebuffer_rate,total_smooth,switches,chunks,shield_triggers
0,crowd_run,23,453.78312848876897,15.450000000000008,61.87097754137845,32.224467469467946,11.419999999999998,1,48,0
1,crowd_run,26,1118.3972546264522,23.78125,0.40096070606577316,0.2088337010759235,20.72,2,48,0
2,crowd_run,11,840.6728559139785,20.487500000000015,25.100000000000005,13.07291666666667,30.02,3,48,0
3,crowd_run,8,591.8603168784925,15.450000000000008,30.14254470652192,15.699242034646835,11.419999999999998,1,48,0
4,crowd_run,5,990.1884296187011,22.425,1.9022970713887686,0.9907797246816502,76.52,8,48,0
5,crowd_run,3,538.6616666666663,15.450000000000008,42.08333333333334,21.918402777777782,11.419999999999998,1,48,0
6,crowd_run,8,591.8603168784925,15.450000000000008,30.14254470652192,15.699242034646835,11.419999999999998,1,48,0
7,crowd_run,19,677.43045540362,18.550000000000004,8.774128024579182,4.569858346134991,169.52000000000004,18,48,0
8,crowd_run,11,840.6728559139785,20.487500000000015,25.100000000000005,13.07291666666667,30.02,3,48,0
9,crowd_run,16,1116.1052373989974,23.78125,0.8882243986928859,0.46261687431921145,20.72,2,48,0
10,crowd_run,18,1129.5920215053764,23.974999999999998,0.0,0.0,20.72,2,48,0
11,crowd_run,4,613.2398988600652,17.581250000000008,2.3670335985059348,1.232829999221841,216.0200000000001,23,48,0
12,crowd_run,23,453.78312848876897,15.450000000000008,61.87097754137845,32.224467469467946,11.419999999999998,1,48,0
13,crowd_run,6,656.0180629336382,15.450000000000008,15.216019013801434,7.92500990302158,11.419999999999998,1,48,0
14,crowd_run,10,615.8142289229382,15.450000000000008,24.402635856471225,12.709706175245431,11.419999999999998,1,48,0
15,crowd_run,14,455.69410132484006,15.450000000000008,61.378115970967414,31.96776873487886,11.419999999999998,1,48,0
16,crowd_run,0,954.4105462311212,22.037500000000005,1.5195009372543486,0.7914067381533065,95.11999999999999,10,48,0
17,crowd_run,0,954.4105462311212,22.037500000000005,1.5195009372543486,0.7914067381533065,95.11999999999999,10,48,0
18,crowd_run,21,632.0049623015872,17.58125000000001,2.40625,1.2532552083333335,197.42000000000007,21,48,0
19,crowd_run,24,642.4510084548695,18.356250000000014,29.779348602723132,15.510077397251631,104.41999999999999,11,48,0
