episode,chunk,video,action,bitrate,buffer,throughput,rebuffer,vmaf,reward,risk_factor,grad_factor
0,0,sintel,1,750,4.0,527.22940984,4.690122637336221,87.43,53.851059393506226,1.0,1.0
0,1,sintel,2,1200,4.0,319.96303501899996,11.00173293366519,95.19,27.62892395339776,1.0,1.0
0,2,sintel,1,750,4.0,387.006993007,3.7517979111703994,87.43,61.68857914495402,1.0,1.0
0,3,sintel,1,750,4.0,654.1505016719999,0.586100587452032,87.43,83.8292077034122,1.0,1.0
0,4,sintel,1,750,4.283529031561471,807.2173913040001,0.0,87.43,87.21567058063124,1.0,1.0
0,5,sintel,1,750,4.0,402.789660416,3.1645271000224646,87.43,68.95612161948243,1.0,1.0
0,6,sintel,1,750,4.0,467.30616996500004,2.4197740000408974,87.43,73.25206603104411,1.0,1.0
0,7,sintel,1,750,4.0,449.33333333300004,2.676557863506436,87.43,71.7708648070931,1.0,1.0
0,8,sintel,1,750,4.0,426.70017533600003,3.0306978375101092,87.43,69.7280862778472,1.0,1.0
0,9,sintel,1,750,4.0,606.445430346,0.9468589420953943,87.43,81.74825250148999,1.0,1.0
0,10,sintel,1,750,4.3370082004383494,819.0026525200001,0.0,87.43,87.21674016400877,1.0,1.0
0,11,sintel,1,750,4.0,356.126186202,4.086972164483077,87.43,63.63520020305556,1.0,1.0
0,12,sintel,1,750,4.0,535.4585725999999,1.6026743309627989,87.43,77.96532571019391,1.0,1.0
0,13,sintel,1,750,4.0,504.66006600699995,1.9445955843837028,87.43,75.99302818251118,1.0,1.0
0,14,sintel,1,750,4.232104084680382,796.2003376480001,0.0,87.43,87.21464208169361,1.0,1.0
0,15,sintel,1,750,4.599369033028046,825.8240574509999,0.0,87.43,87.22198738066056,1.0,1.0
0,16,sintel,1,750,4.3428110531329045,704.794816415,0.0,87.43,87.21685622106267,1.0,1.0
0,17,sintel,1,750,4.0,579.953241233,0.8300197661619402,87.43,82.4222135832434,1.0,1.0
0,18,sintel,1,750,4.0,539.6716016150001,1.5589361956832963,87.43,78.21761952116397,1.0,1.0
0,19,sintel,1,750,4.0,486.37653587,2.168060707603394,87.43,74.7040187815455,1.0,1.0
0,20,sintel,1,750,4.0,735.174866627,0.08066180739294371,87.43,86.74472010965144,1.0,1.0
0,21,sintel,1,750,4.0,666.069576218,0.5040339734990704,87.43,84.3025909113448,1.0,1.0
0,22,sintel,1,750,4.185665300199043,786.506753106,0.0,87.43,87.21371330600398,1.0,1.0
0,23,sintel,1,750,4.0,694.616970658,0.13326171530152298,87.43,86.44130911286054,1.0,1.0
