episode,video,trace_idx,total_reward,avg_vmaf,total_rebuffer,rebuffer_rate,total_smooth,switches,chunks
0,crowd_run,23,-121.81022729071731,15.450000000000008,61.87097754137845,32.224467469467946,11.419999999999998,1,48
1,crowd_run,26,729.7400633966733,15.450000000000008,0.40096070606577316,0.2088337010759235,11.419999999999998,1,48
2,crowd_run,11,623.4343559139783,15.450000000000008,7.999999999999986,4.16666666666666,11.419999999999998,1,48
3,crowd_run,8,314.36867556102754,15.450000000000008,30.14254470652192,15.699242034646835,11.419999999999998,1,48
4,crowd_run,5,708.9110309731092,15.450000000000008,1.9022970713887686,0.9907797246816502,11.419999999999998,1,48
5,crowd_run,3,148.9813906250001,15.450000000000008,42.08333333333334,21.918402777777782,11.419999999999998,1,48
6,crowd_run,8,314.36867556102754,15.450000000000008,30.14254470652192,15.699242034646835,11.419999999999998,1,48
7,crowd_run,19,616.015923192313,15.450000000000008,8.483984753133981,4.418742058923949,11.419999999999998,1,48
8,crowd_run,11,623.4343559139783,15.450000000000008,7.999999999999986,4.16666666666666,11.419999999999998,1,48
9,crowd_run,16,723.1791674752756,15.450000000000008,0.8882243986928859,0.46261687431921145,11.419999999999998,1,48
10,crowd_run,18,735.4020215053768,15.450000000000008,0.0,0.0,11.419999999999998,1,48
11,crowd_run,4,701.4111942289702,15.450000000000008,2.3670335985059348,1.232829999221841,11.419999999999998,1,48
12,crowd_run,23,-121.81022729071731,15.450000000000008,61.87097754137845,32.224467469467946,11.419999999999998,1,48
13,crowd_run,6,518.7672876911307,15.450000000000008,15.216019013801434,7.92500990302158,11.419999999999998,1,48
14,crowd_run,10,392.25139896410036,15.450000000000008,24.402635856471225,12.709706175245431,11.419999999999998,1,48
15,crowd_run,14,-115.2686166952365,15.450000000000008,61.378115970967414,31.96776873487886,11.419999999999998,1,48
16,crowd_run,0,714.1481624072522,15.450000000000008,1.5195009372543486,0.7914067381533065,11.419999999999998,1,48
17,crowd_run,0,714.1481624072522,15.450000000000008,1.5195009372543486,0.7914067381533065,11.419999999999998,1,48
18,crowd_run,21,701.5687470052086,15.450000000000008,2.40625,1.2532552083333335,11.419999999999998,1,48
19,crowd_run,24,611.5472993648008,15.450000000000008,8.786054698276175,4.576070155352174,11.419999999999998,1,48
