step,lambda_rebuf,lambda_smooth,recent_rebuf_ratio,recent_avg_smooth,rebuf_target,smooth_target,rebuf_gap,smooth_gap
40000,291.4644,5.0000,0.1306,7.79,0.0500,3.50,0.0806,4.29
80000,400.0000,5.0000,0.0000,5.21,0.0500,3.50,-0.0500,1.71
120000,400.0000,5.0000,0.0000,5.96,0.0500,3.50,-0.0500,2.46
160000,400.0000,5.0000,0.0014,9.76,0.0500,3.50,-0.0486,6.26
200000,400.0000,5.0000,0.0540,8.45,0.0500,3.50,0.0040,4.95
240000,400.0000,5.0000,0.1588,7.79,0.0500,3.50,0.1088,4.29
280000,400.0000,5.0000,0.0238,7.47,0.0500,3.50,-0.0262,3.97
320000,400.0000,5.0000,0.7839,10.72,0.0500,3.50,0.7339,7.22
360000,400.0000,5.0000,0.0000,7.76,0.0500,3.50,-0.0500,4.26
400000,400.0000,5.0000,0.0000,8.59,0.0500,3.50,-0.0500,5.09
440000,400.0000,5.0000,0.0000,5.82,0.0500,3.50,-0.0500,2.32
480000,400.0000,5.0000,0.0042,8.71,0.0500,3.50,-0.0458,5.21
520000,400.0000,5.0000,0.0000,7.26,0.0500,3.50,-0.0500,3.76
560000,389.9705,5.0000,0.0000,10.15,0.0500,3.50,-0.0500,6.65
600000,341.8505,5.0000,0.0839,7.83,0.0500,3.50,0.0339,4.33
640000,347.3573,5.0000,0.3906,9.39,0.0500,3.50,0.3406,5.89
680000,400.0000,5.0000,0.0000,6.66,0.0500,3.50,-0.0500,3.16
720000,399.0679,5.0000,0.0000,6.44,0.0500,3.50,-0.0500,2.94
760000,361.4596,5.0000,0.0614,8.30,0.0500,3.50,0.0114,4.80
800000,262.6097,5.0000,0.0214,8.75,0.0500,3.50,-0.0286,5.25
840000,298.8725,5.0000,0.0210,7.02,0.0500,3.50,-0.0290,3.52
880000,399.9353,5.0000,0.0000,7.00,0.0500,3.50,-0.0500,3.50
920000,352.2150,5.0000,0.0157,8.71,0.0500,3.50,-0.0343,5.21
960000,392.6522,5.0000,0.0043,7.41,0.0500,3.50,-0.0457,3.91
1000000,400.0000,5.0000,0.0000,7.82,0.0500,3.50,-0.0500,4.32
1040000,400.0000,5.0000,0.0107,5.20,0.0500,3.50,-0.0393,1.70
1080000,400.0000,5.0000,0.0095,8.69,0.0500,3.50,-0.0405,5.19
1120000,400.0000,5.0000,0.0082,7.94,0.0500,3.50,-0.0418,4.44
1160000,388.8854,5.0000,0.0201,5.23,0.0500,3.50,-0.0299,1.73
1200000,399.9001,5.0000,0.1556,1.43,0.0500,3.50,0.1056,-2.07
1240000,370.0829,5.0000,0.1741,3.80,0.0500,3.50,0.1241,0.30
1280000,277.3648,5.0000,0.0034,8.99,0.0500,3.50,-0.0466,5.49
1320000,355.5405,5.0000,0.0221,7.57,0.0500,3.50,-0.0279,4.07
1360000,399.7749,5.0000,0.0034,7.80,0.0500,3.50,-0.0466,4.30
1400000,353.4953,5.0000,0.0330,4.57,0.0500,3.50,-0.0170,1.07
1440000,291.7580,5.0000,0.0000,5.16,0.0500,3.50,-0.0500,1.66
1480000,269.5883,5.0000,0.0000,12.51,0.0500,3.50,-0.0500,9.01
1520000,249.6206,5.0000,0.0300,10.23,0.0500,3.50,-0.0200,6.73
1560000,196.3815,5.0000,0.0169,7.94,0.0500,3.50,-0.0331,4.44
1600000,247.3466,5.0000,0.0036,8.36,0.0500,3.50,-0.0464,4.86
1640000,211.5363,5.0000,0.0101,7.82,0.0500,3.50,-0.0399,4.32
1680000,304.3026,5.0000,0.0023,8.21,0.0500,3.50,-0.0477,4.71
1720000,390.3922,5.0000,0.0365,7.23,0.0500,3.50,-0.0135,3.73
1760000,400.0000,5.0000,0.0000,9.76,0.0500,3.50,-0.0500,6.26
1800000,400.0000,5.0000,0.0044,9.90,0.0500,3.50,-0.0456,6.40
1840000,384.1989,5.0000,0.0013,7.13,0.0500,3.50,-0.0487,3.63
1880000,313.7647,5.0000,0.3987,6.00,0.0500,3.50,0.3487,2.50
1920000,304.1398,5.0000,0.0000,5.18,0.0500,3.50,-0.0500,1.68
1960000,374.4529,5.0000,0.0255,6.24,0.0500,3.50,-0.0245,2.74
2000000,366.1615,5.0000,0.0000,8.38,0.0500,3.50,-0.0500,4.88
