step,lambda_rebuf,lambda_smooth,recent_rebuf_ratio,recent_avg_smooth,rebuf_target,smooth_target,rebuf_gap,smooth_gap
40000,362.8100,5.0000,0.1882,9.34,0.0500,3.50,0.1382,5.84
80000,400.0000,5.0000,0.0253,10.88,0.0500,3.50,-0.0247,7.38
120000,400.0000,5.0000,0.0000,8.71,0.0500,3.50,-0.0500,5.21
160000,400.0000,5.0000,0.0546,15.26,0.0500,3.50,0.0046,11.76
200000,400.0000,5.0000,0.0501,10.03,0.0500,3.50,0.0001,6.53
240000,400.0000,5.0000,0.1001,11.65,0.0500,3.50,0.0501,8.15
280000,400.0000,5.0000,0.0432,11.58,0.0500,3.50,-0.0068,8.08
320000,400.0000,5.0000,0.7851,8.58,0.0500,3.50,0.7351,5.08
360000,400.0000,5.0000,0.0000,12.31,0.0500,3.50,-0.0500,8.81
400000,400.0000,5.0000,0.0706,14.46,0.0500,3.50,0.0206,10.96
440000,400.0000,5.0000,0.0000,9.79,0.0500,3.50,-0.0500,6.29
480000,400.0000,5.0000,0.0042,9.75,0.0500,3.50,-0.0458,6.25
520000,400.0000,5.0000,0.0355,13.69,0.0500,3.50,-0.0145,10.19
560000,399.0587,5.0000,0.0000,10.15,0.0500,3.50,-0.0500,6.65
600000,357.6886,5.0000,0.0683,8.34,0.0500,3.50,0.0183,4.84
640000,363.8263,5.0000,0.4046,9.18,0.0500,3.50,0.3546,5.68
680000,400.0000,5.0000,0.0000,7.41,0.0500,3.50,-0.0500,3.91
720000,399.2961,5.0000,0.0000,9.08,0.0500,3.50,-0.0500,5.58
760000,356.5867,5.0000,0.0614,2.85,0.0500,3.50,0.0114,-0.65
800000,270.3831,5.0000,0.0214,7.62,0.0500,3.50,-0.0286,4.12
840000,303.7870,5.0000,0.0558,8.07,0.0500,3.50,0.0058,4.57
880000,399.8846,5.0000,0.0000,8.87,0.0500,3.50,-0.0500,5.37
920000,336.0262,5.0000,0.0157,8.25,0.0500,3.50,-0.0343,4.75
960000,339.8133,5.0000,0.0043,8.74,0.0500,3.50,-0.0457,5.24
1000000,400.0000,5.0000,0.0000,3.12,0.0500,3.50,-0.0500,-0.38
1040000,399.1885,5.0000,0.0107,11.36,0.0500,3.50,-0.0393,7.86
1080000,361.1971,5.0000,0.0095,7.02,0.0500,3.50,-0.0405,3.52
1120000,358.6225,5.0000,0.0082,7.43,0.0500,3.50,-0.0418,3.93
1160000,350.9922,5.0000,0.0000,5.99,0.0500,3.50,-0.0500,2.49
1200000,349.7298,5.0000,0.1327,0.71,0.0500,3.50,0.0827,-2.79
1240000,306.9900,5.0000,0.1406,4.29,0.0500,3.50,0.0906,0.79
1280000,209.4536,5.0000,0.0034,6.26,0.0500,3.50,-0.0466,2.76
1320000,276.9314,5.0000,0.0221,6.36,0.0500,3.50,-0.0279,2.86
1360000,399.2383,5.0000,0.0034,6.81,0.0500,3.50,-0.0466,3.31
1400000,343.4715,5.0000,0.0330,2.46,0.0500,3.50,-0.0170,-1.04
1440000,252.7761,5.0000,0.0000,3.47,0.0500,3.50,-0.0500,-0.03
1480000,182.1037,5.0000,0.0000,8.59,0.0500,3.50,-0.0500,5.09
1520000,141.8230,5.0000,0.1614,8.91,0.0500,3.50,0.1114,5.41
1560000,65.4761,5.0000,0.0524,2.99,0.0500,3.50,0.0024,-0.51
1600000,95.2459,5.0000,0.0036,7.42,0.0500,3.50,-0.0464,3.92
1640000,44.6392,5.0000,0.0101,3.76,0.0500,3.50,-0.0399,0.26
1680000,85.6170,5.0000,0.0023,6.29,0.0500,3.50,-0.0477,2.79
1720000,123.7831,5.0000,0.0000,3.80,0.0500,3.50,-0.0500,0.30
1760000,104.7195,5.0000,0.0000,9.97,0.0500,3.50,-0.0500,6.47
1800000,79.7763,5.0000,0.0044,8.07,0.0500,3.50,-0.0456,4.57
1840000,39.8348,5.0000,0.0013,4.54,0.0500,3.50,-0.0487,1.04
1880000,10.0000,5.0000,0.3925,2.38,0.0500,3.50,0.3425,-1.12
1920000,13.9022,5.0000,0.0401,5.87,0.0500,3.50,-0.0099,2.37
1960000,31.0952,5.0000,0.0255,5.47,0.0500,3.50,-0.0245,1.97
2000000,15.1821,5.0000,0.0000,9.66,0.0500,3.50,-0.0500,6.16
