step,lambda_rebuf,lambda_smooth,recent_rebuf_ratio,recent_avg_smooth,rebuf_target,smooth_target,rebuf_gap,smooth_gap
40000,400.0000,5.0000,2.5159,4.34,0.0500,3.50,2.4659,0.84
80000,400.0000,5.0000,0.0606,8.84,0.0500,3.50,0.0106,5.34
120000,400.0000,5.0000,0.1085,11.77,0.0500,3.50,0.0585,8.27
160000,400.0000,5.0000,0.0328,16.54,0.0500,3.50,-0.0172,13.04
200000,400.0000,5.0000,0.2639,11.12,0.0500,3.50,0.2139,7.62
240000,400.0000,5.0000,0.4143,13.53,0.0500,3.50,0.3643,10.03
280000,400.0000,5.0000,0.4083,17.35,0.0500,3.50,0.3583,13.85
320000,400.0000,5.0000,1.5734,11.06,0.0500,3.50,1.5234,7.56
360000,400.0000,5.0000,0.0000,13.74,0.0500,3.50,-0.0500,10.24
400000,400.0000,5.0000,0.4197,12.53,0.0500,3.50,0.3697,9.03
440000,400.0000,5.0000,0.0000,11.79,0.0500,3.50,-0.0500,8.29
480000,400.0000,5.0000,0.0042,11.32,0.0500,3.50,-0.0458,7.82
520000,400.0000,5.0000,0.0000,11.55,0.0500,3.50,-0.0500,8.05
560000,400.0000,5.0000,0.0000,10.15,0.0500,3.50,-0.0500,6.65
600000,400.0000,5.0000,0.0690,8.86,0.0500,3.50,0.0190,5.36
640000,400.0000,5.0000,0.3955,8.21,0.0500,3.50,0.3455,4.71
680000,400.0000,5.0000,0.0000,8.34,0.0500,3.50,-0.0500,4.84
720000,399.5482,5.0000,0.0000,11.22,0.0500,3.50,-0.0500,7.72
760000,371.5609,5.0000,0.0614,2.85,0.0500,3.50,0.0114,-0.65
800000,266.9359,5.0000,0.0214,7.17,0.0500,3.50,-0.0286,3.67
840000,265.6987,5.0000,0.0114,9.12,0.0500,3.50,-0.0386,5.62
880000,350.8371,5.0000,0.0000,6.68,0.0500,3.50,-0.0500,3.18
920000,277.8442,5.0000,0.0157,7.98,0.0500,3.50,-0.0343,4.48
960000,274.8939,5.0000,0.0043,8.39,0.0500,3.50,-0.0457,4.89
1000000,390.9995,5.0000,0.0000,3.12,0.0500,3.50,-0.0500,-0.38
1040000,397.8537,5.0000,0.0107,13.50,0.0500,3.50,-0.0393,10.00
1080000,344.3242,5.0000,0.0095,6.84,0.0500,3.50,-0.0405,3.34
1120000,321.5566,5.0000,0.0082,7.63,0.0500,3.50,-0.0418,4.13
1160000,293.4110,5.0000,0.0000,5.17,0.0500,3.50,-0.0500,1.67
1200000,270.1698,5.0000,0.1080,0.00,0.0500,3.50,0.0580,-3.50
1240000,208.4682,5.0000,0.1406,0.00,0.0500,3.50,0.0906,-3.50
1280000,111.0150,5.0000,0.0535,4.29,0.0500,3.50,0.0035,0.79
1320000,175.1226,5.0000,0.0221,6.75,0.0500,3.50,-0.0279,3.25
1360000,298.9068,5.0000,0.0034,5.06,0.0500,3.50,-0.0466,1.56
1400000,248.3172,5.0000,0.0330,2.93,0.0500,3.50,-0.0170,-0.57
1440000,158.0439,5.0000,0.0000,3.12,0.0500,3.50,-0.0500,-0.38
1480000,100.5870,5.0000,0.0000,7.04,0.0500,3.50,-0.0500,3.54
1520000,61.6416,5.0000,0.1479,5.10,0.0500,3.50,0.0979,1.60
1560000,10.0049,5.0000,0.0000,3.26,0.0500,3.50,-0.0500,-0.24
1600000,13.9487,5.0000,0.0036,4.54,0.0500,3.50,-0.0464,1.04
1640000,10.0000,5.0000,0.0101,2.82,0.0500,3.50,-0.0399,-0.68
1680000,84.0702,5.0000,0.0023,5.87,0.0500,3.50,-0.0477,2.37
1720000,131.9368,5.0000,0.0000,5.94,0.0500,3.50,-0.0500,2.44
1760000,120.5040,5.0000,0.0000,9.97,0.0500,3.50,-0.0500,6.47
1800000,115.9194,5.0000,0.0044,7.82,0.0500,3.50,-0.0456,4.32
1840000,79.8485,5.0000,0.0013,5.06,0.0500,3.50,-0.0487,1.56
1880000,10.0000,5.0000,0.4821,3.76,0.0500,3.50,0.4321,0.26
1920000,17.7369,5.0000,0.0238,6.14,0.0500,3.50,-0.0262,2.64
1960000,46.8095,5.0000,0.0000,3.12,0.0500,3.50,-0.0500,-0.38
2000000,23.4794,5.0000,0.0000,6.06,0.0500,3.50,-0.0500,2.56
