step,lambda_rebuf,lambda_smooth,recent_rebuf_ratio,recent_avg_smooth,rebuf_target,smooth_target,rebuf_gap,smooth_gap
40000,400.0000,5.0000,2.7427,4.34,0.0500,3.50,2.6927,0.84
80000,400.0000,5.0000,0.1371,8.84,0.0500,3.50,0.0871,5.34
120000,400.0000,5.0000,0.3334,11.77,0.0500,3.50,0.2834,8.27
160000,400.0000,5.0000,0.2820,16.54,0.0500,3.50,0.2320,13.04
200000,400.0000,5.0000,0.3138,10.21,0.0500,3.50,0.2638,6.71
240000,400.0000,5.0000,0.5202,14.20,0.0500,3.50,0.4702,10.70
280000,400.0000,5.0000,0.0682,10.06,0.0500,3.50,0.0182,6.56
320000,400.0000,5.0000,1.3161,13.41,0.0500,3.50,1.2661,9.91
360000,400.0000,5.0000,0.0072,12.31,0.0500,3.50,-0.0428,8.81
400000,400.0000,5.0000,0.7420,16.43,0.0500,3.50,0.6920,12.93
440000,400.0000,5.0000,0.0349,15.82,0.0500,3.50,-0.0151,12.32
480000,400.0000,5.0000,0.0154,9.37,0.0500,3.50,-0.0346,5.87
520000,400.0000,5.0000,0.0000,13.69,0.0500,3.50,-0.0500,10.19
560000,400.0000,5.0000,0.0000,9.76,0.0500,3.50,-0.0500,6.26
600000,400.0000,5.0000,0.3996,10.94,0.0500,3.50,0.3496,7.44
640000,400.0000,5.0000,0.6132,7.04,0.0500,3.50,0.5632,3.54
680000,400.0000,5.0000,0.0087,16.02,0.0500,3.50,-0.0413,12.52
720000,400.0000,5.0000,0.0064,12.61,0.0500,3.50,-0.0436,9.11
760000,400.0000,5.0000,0.1640,4.28,0.0500,3.50,0.1140,0.78
800000,378.7861,5.0000,0.1003,8.04,0.0500,3.50,0.0503,4.54
840000,400.0000,5.0000,0.1004,6.78,0.0500,3.50,0.0504,3.28
880000,400.0000,5.0000,0.0109,6.63,0.0500,3.50,-0.0391,3.13
920000,393.9364,5.0000,0.0491,2.90,0.0500,3.50,-0.0009,-0.60
960000,400.0000,5.0000,0.0071,6.57,0.0500,3.50,-0.0429,3.07
1000000,400.0000,5.0000,0.0000,3.12,0.0500,3.50,-0.0500,-0.38
1040000,400.0000,5.0000,0.0200,10.23,0.0500,3.50,-0.0300,6.73
1080000,400.0000,5.0000,0.0331,5.29,0.0500,3.50,-0.0169,1.79
1120000,400.0000,5.0000,0.0048,5.82,0.0500,3.50,-0.0452,2.32
1160000,398.6066,5.0000,0.0509,5.77,0.0500,3.50,0.0009,2.27
1200000,400.0000,5.0000,0.2194,0.36,0.0500,3.50,0.1694,-3.14
1240000,391.6734,5.0000,0.0745,0.00,0.0500,3.50,0.0245,-3.50
1280000,335.7555,5.0000,0.0394,0.00,0.0500,3.50,-0.0106,-3.50
1320000,400.0000,5.0000,0.0185,6.03,0.0500,3.50,-0.0315,2.53
1360000,400.0000,5.0000,0.0126,8.20,0.0500,3.50,-0.0374,4.70
1400000,367.4362,5.0000,0.0209,0.57,0.0500,3.50,-0.0291,-2.93
1440000,315.7211,5.0000,0.0000,10.92,0.0500,3.50,-0.0500,7.42
1480000,263.6112,5.0000,0.0345,9.39,0.0500,3.50,-0.0155,5.89
1520000,241.2274,5.0000,0.0000,5.11,0.0500,3.50,-0.0500,1.61
1560000,198.9566,5.0000,0.0189,8.07,0.0500,3.50,-0.0311,4.57
1600000,239.5894,5.0000,0.0030,8.73,0.0500,3.50,-0.0470,5.23
1640000,214.9245,5.0000,0.0245,0.00,0.0500,3.50,-0.0255,-3.50
1680000,324.7845,5.0000,0.0000,6.16,0.0500,3.50,-0.0500,2.66
1720000,394.4765,5.0000,0.0000,5.94,0.0500,3.50,-0.0500,2.44
1760000,394.3914,5.0000,0.0000,9.38,0.0500,3.50,-0.0500,5.88
1800000,400.0000,5.0000,0.0215,1.57,0.0500,3.50,-0.0285,-1.93
1840000,375.4443,5.0000,0.0476,10.10,0.0500,3.50,-0.0024,6.60
1880000,325.4086,5.0000,0.5102,1.72,0.0500,3.50,0.4602,-1.78
1920000,329.5242,5.0000,0.0038,9.90,0.0500,3.50,-0.0462,6.40
1960000,362.4998,5.0000,0.0100,2.35,0.0500,3.50,-0.0400,-1.15
2000000,341.1458,5.0000,0.0000,7.90,0.0500,3.50,-0.0500,4.40
