step,lambda_rebuf,lambda_smooth,recent_rebuf_ratio,recent_avg_smooth,rebuf_target,smooth_target,rebuf_gap,smooth_gap
40000,400.0000,5.0000,1.4239,8.53,0.0500,3.50,1.3739,5.03
80000,400.0000,5.0000,0.0375,10.14,0.0500,3.50,-0.0125,6.64
120000,400.0000,5.0000,0.1751,19.35,0.0500,3.50,0.1251,15.85
160000,400.0000,5.0000,0.0327,25.22,0.0500,3.50,-0.0173,21.72
200000,400.0000,5.0000,0.4055,20.95,0.0500,3.50,0.3555,17.45
240000,400.0000,5.0000,0.5062,21.54,0.0500,3.50,0.4562,18.04
280000,400.0000,5.0000,0.1159,11.29,0.0500,3.50,0.0659,7.79
320000,400.0000,5.0000,1.5469,17.90,0.0500,3.50,1.4969,14.40
360000,400.0000,5.0000,0.0000,21.30,0.0500,3.50,-0.0500,17.80
400000,400.0000,5.0000,0.4716,25.20,0.0500,3.50,0.4216,21.70
440000,400.0000,5.0000,0.0016,20.28,0.0500,3.50,-0.0484,16.78
480000,400.0000,5.0000,0.0093,18.83,0.0500,3.50,-0.0407,15.33
520000,400.0000,5.0000,0.0000,18.51,0.0500,3.50,-0.0500,15.01
560000,400.0000,5.0000,0.0000,17.25,0.0500,3.50,-0.0500,13.75
600000,380.8747,5.0000,0.0410,15.27,0.0500,3.50,-0.0090,11.77
640000,375.1850,5.0000,0.3124,13.81,0.0500,3.50,0.2624,10.31
680000,400.0000,5.0000,0.0000,14.49,0.0500,3.50,-0.0500,10.99
720000,397.3589,5.0000,0.0000,19.81,0.0500,3.50,-0.0500,16.31
760000,347.3089,5.0000,0.0731,3.44,0.0500,3.50,0.0231,-0.06
800000,242.8209,5.0000,0.0612,10.31,0.0500,3.50,0.0112,6.81
840000,260.3742,5.0000,0.0000,14.42,0.0500,3.50,-0.0500,10.92
880000,311.5208,5.0000,0.0000,8.78,0.0500,3.50,-0.0500,5.28
920000,235.5711,5.0000,0.0222,11.23,0.0500,3.50,-0.0278,7.73
960000,229.8821,5.0000,0.0051,9.43,0.0500,3.50,-0.0449,5.93
1000000,322.4899,5.0000,0.0000,8.02,0.0500,3.50,-0.0500,4.52
1040000,354.7609,5.0000,0.0186,22.62,0.0500,3.50,-0.0314,19.12
1080000,314.2319,5.0000,0.0123,7.79,0.0500,3.50,-0.0377,4.29
1120000,296.6573,5.0000,0.0094,7.44,0.0500,3.50,-0.0406,3.94
1160000,263.9718,5.0000,0.0025,7.11,0.0500,3.50,-0.0475,3.61
1200000,253.5463,5.0000,0.1597,5.79,0.0500,3.50,0.1097,2.29
1240000,173.3893,5.0000,0.1807,7.45,0.0500,3.50,0.1307,3.95
1280000,68.2500,5.0000,0.0214,8.51,0.0500,3.50,-0.0286,5.01
1320000,61.7718,5.0000,0.0254,5.80,0.0500,3.50,-0.0246,2.30
1360000,147.9169,5.0000,0.0080,5.57,0.0500,3.50,-0.0420,2.07
1400000,79.1132,5.0000,0.0302,2.44,0.0500,3.50,-0.0198,-1.06
1440000,10.0000,5.0000,0.0018,4.35,0.0500,3.50,-0.0482,0.85
1480000,10.0000,5.0000,0.0000,13.07,0.0500,3.50,-0.0500,9.57
1520000,10.0000,5.0000,0.0000,11.47,0.0500,3.50,-0.0500,7.97
1560000,13.3611,5.0000,0.0000,6.80,0.0500,3.50,-0.0500,3.30
1600000,40.4986,5.0000,0.0616,9.18,0.0500,3.50,0.0116,5.68
1640000,10.0000,5.0000,0.0173,4.93,0.0500,3.50,-0.0327,1.43
1680000,77.3259,5.0000,0.0037,4.57,0.0500,3.50,-0.0463,1.07
1720000,138.6978,5.0000,0.0474,8.57,0.0500,3.50,-0.0026,5.07
1760000,142.2096,5.0000,0.0000,11.00,0.0500,3.50,-0.0500,7.50
1800000,137.7436,5.0000,0.0130,10.55,0.0500,3.50,-0.0370,7.05
1840000,137.2964,5.0000,0.0027,5.15,0.0500,3.50,-0.0473,1.65
1880000,61.1371,5.0000,0.5488,8.57,0.0500,3.50,0.4988,5.07
1920000,78.8576,5.0000,0.0372,9.87,0.0500,3.50,-0.0128,6.37
1960000,131.5049,5.0000,0.0000,7.78,0.0500,3.50,-0.0500,4.28
2000000,126.9355,5.0000,0.0000,5.70,0.0500,3.50,-0.0500,2.20
