step,lambda_rebuf,lambda_smooth,recent_rebuf_ratio,recent_avg_smooth,rebuf_target,smooth_target,rebuf_gap,smooth_gap
40000,400.0000,5.0000,0.1523,4.34,0.0500,3.50,0.1023,0.84
80000,400.0000,5.0000,0.0196,8.84,0.0500,3.50,-0.0304,5.34
120000,400.0000,5.0000,2.6850,12.24,0.0500,3.50,2.6350,8.74
160000,400.0000,5.0000,0.0306,17.71,0.0500,3.50,-0.0194,14.21
200000,400.0000,5.0000,0.0000,10.02,0.0500,3.50,-0.0500,6.52
240000,400.0000,5.0000,0.2565,15.12,0.0500,3.50,0.2065,11.62
280000,400.0000,5.0000,0.0833,10.06,0.0500,3.50,0.0333,6.56
320000,400.0000,5.0000,0.0000,10.64,0.0500,3.50,-0.0500,7.14
360000,400.0000,5.0000,0.2197,12.31,0.0500,3.50,0.1697,8.81
400000,400.0000,5.0000,0.4765,15.26,0.0500,3.50,0.4265,11.76
440000,400.0000,5.0000,0.0181,12.58,0.0500,3.50,-0.0319,9.08
480000,400.0000,5.0000,0.0135,10.53,0.0500,3.50,-0.0365,7.03
520000,400.0000,5.0000,0.0000,15.34,0.0500,3.50,-0.0500,11.84
560000,399.1483,5.0000,0.0067,10.15,0.0500,3.50,-0.0433,6.65
600000,400.0000,5.0000,0.0000,9.09,0.0500,3.50,-0.0500,5.59
640000,397.4516,5.0000,0.0000,7.40,0.0500,3.50,-0.0500,3.90
680000,330.8234,5.0000,0.0018,9.44,0.0500,3.50,-0.0482,5.94
720000,241.9021,5.0000,0.0000,8.51,0.0500,3.50,-0.0500,5.01
760000,173.5173,5.0000,0.2398,4.28,0.0500,3.50,0.1898,0.78
800000,153.3409,5.0000,0.0236,6.61,0.0500,3.50,-0.0264,3.11
840000,106.7196,5.0000,0.0000,5.72,0.0500,3.50,-0.0500,2.22
880000,57.5743,5.0000,0.0000,5.41,0.0500,3.50,-0.0500,1.91
920000,10.0000,5.0000,0.0000,10.53,0.0500,3.50,-0.0500,7.03
960000,10.0000,5.0000,0.0252,7.69,0.0500,3.50,-0.0248,4.19
1000000,13.6636,5.0000,0.0000,4.32,0.0500,3.50,-0.0500,0.82
1040000,10.0000,5.0000,0.0000,4.04,0.0500,3.50,-0.0500,0.54
1080000,10.0000,5.0000,0.0000,5.08,0.0500,3.50,-0.0500,1.58
1120000,10.0000,5.0000,0.2235,2.16,0.0500,3.50,0.1735,-1.34
1160000,22.3806,5.0000,0.0804,3.89,0.0500,3.50,0.0304,0.39
1200000,10.0000,5.0000,0.0000,3.89,0.0500,3.50,-0.0500,0.39
1240000,10.0000,4.6884,0.0064,3.80,0.0500,3.50,-0.0436,0.30
1280000,10.0000,2.7948,0.0665,4.68,0.0500,3.50,0.0165,1.18
1320000,49.1499,0.3000,0.0124,2.38,0.0500,3.50,-0.0376,-1.12
1360000,50.9854,0.3000,0.0229,5.67,0.0500,3.50,-0.0271,2.17
1400000,32.1373,0.3000,0.0015,4.48,0.0500,3.50,-0.0485,0.98
1440000,10.0000,0.7791,0.0392,4.72,0.0500,3.50,-0.0108,1.22
1480000,10.0000,2.7131,0.0000,3.89,0.0500,3.50,-0.0500,0.39
1520000,10.0000,4.9728,0.0102,4.03,0.0500,3.50,-0.0398,0.53
1560000,10.0000,5.0000,0.0075,2.86,0.0500,3.50,-0.0425,-0.64
1600000,10.0000,5.0000,0.0001,3.89,0.0500,3.50,-0.0499,0.39
1640000,10.0000,5.0000,0.0230,2.34,0.0500,3.50,-0.0270,-1.16
1680000,23.6991,5.0000,0.0000,2.05,0.0500,3.50,-0.0500,-1.45
1720000,27.5704,5.0000,0.0000,5.08,0.0500,3.50,-0.0500,1.58
1760000,10.0000,5.0000,0.0004,4.29,0.0500,3.50,-0.0496,0.79
1800000,11.2889,4.8660,0.0768,3.65,0.0500,3.50,0.0268,0.15
1840000,53.5779,3.3348,0.0579,3.27,0.0500,3.50,0.0079,-0.23
1880000,113.1416,0.3000,0.0000,2.68,0.0500,3.50,-0.0500,-0.82
1920000,49.9478,0.3000,0.0000,2.84,0.0500,3.50,-0.0500,-0.66
1960000,10.0000,0.4423,1.5952,4.70,0.0500,3.50,1.5452,1.20
2000000,13.8744,0.3000,0.0162,7.27,0.0500,3.50,-0.0338,3.77
