step,lambda_rebuf,lambda_smooth,recent_rebuf_ratio,recent_avg_smooth,rebuf_target,smooth_target,rebuf_gap,smooth_gap
40000,259.0210,5.0000,0.0182,4.34,0.0500,3.50,-0.0318,0.84
80000,400.0000,5.0000,0.0000,9.59,0.0500,3.50,-0.0500,6.09
120000,400.0000,5.0000,0.0448,8.12,0.0500,3.50,-0.0052,4.62
160000,399.9341,5.0000,0.0070,11.56,0.0500,3.50,-0.0430,8.06
200000,356.9373,5.0000,0.0000,9.32,0.0500,3.50,-0.0500,5.82
240000,286.4427,5.0000,0.0102,7.09,0.0500,3.50,-0.0398,3.59
280000,153.9025,5.0000,0.0000,8.37,0.0500,3.50,-0.0500,4.87
320000,10.0000,5.0000,0.0000,7.03,0.0500,3.50,-0.0500,3.53
360000,10.0000,5.0000,0.0000,6.06,0.0500,3.50,-0.0500,2.56
400000,10.0000,5.0000,0.0657,2.81,0.0500,3.50,0.0157,-0.69
440000,10.0000,5.0000,0.0000,4.57,0.0500,3.50,-0.0500,1.07
480000,10.0000,5.0000,0.0000,3.25,0.0500,3.50,-0.0500,-0.25
520000,10.0000,5.0000,0.0508,4.00,0.0500,3.50,0.0008,0.50
560000,10.0000,4.9754,0.0166,2.71,0.0500,3.50,-0.0334,-0.79
600000,10.0000,3.5205,0.0390,1.65,0.0500,3.50,-0.0110,-1.85
640000,10.0000,0.3000,0.0000,3.93,0.0500,3.50,-0.0500,0.43
680000,10.0000,0.3000,0.0000,4.04,0.0500,3.50,-0.0500,0.54
720000,10.0000,1.5466,0.0000,3.36,0.0500,3.50,-0.0500,-0.14
760000,10.0000,4.7601,0.0000,3.97,0.0500,3.50,-0.0500,0.47
800000,10.0000,5.0000,0.0000,6.92,0.0500,3.50,-0.0500,3.42
840000,10.0000,5.0000,0.0000,3.39,0.0500,3.50,-0.0500,-0.11
880000,10.0000,4.9575,0.0000,6.35,0.0500,3.50,-0.0500,2.85
920000,10.0000,4.0775,0.0356,3.54,0.0500,3.50,-0.0144,0.04
960000,10.0000,1.1574,0.0525,5.39,0.0500,3.50,0.0025,1.89
1000000,10.0000,0.3000,0.0000,1.03,0.0500,3.50,-0.0500,-2.47
1040000,10.0000,0.4772,0.0391,2.93,0.0500,3.50,-0.0109,-0.57
1080000,118.1011,1.1224,0.0247,9.19,0.0500,3.50,-0.0253,5.69
1120000,131.6604,3.9981,0.0060,7.71,0.0500,3.50,-0.0440,4.21
1160000,127.1732,5.0000,0.0028,3.01,0.0500,3.50,-0.0472,-0.49
1200000,53.0650,5.0000,0.0705,2.79,0.0500,3.50,0.0205,-0.71
1240000,10.0000,4.9992,0.0951,0.83,0.0500,3.50,0.0451,-2.67
1280000,10.0525,3.6031,0.0000,0.75,0.0500,3.50,-0.0500,-2.75
1320000,10.0000,0.9508,0.0000,6.01,0.0500,3.50,-0.0500,2.51
1360000,10.0000,0.3000,0.1221,1.24,0.0500,3.50,0.0721,-2.26
1400000,10.0000,0.3333,0.0032,4.88,0.0500,3.50,-0.0468,1.38
1440000,10.0000,1.5107,0.0924,1.54,0.0500,3.50,0.0424,-1.96
1480000,10.0000,3.8247,0.0000,1.85,0.0500,3.50,-0.0500,-1.65
1520000,10.0000,5.0000,0.0000,2.53,0.0500,3.50,-0.0500,-0.97
1560000,10.0000,5.0000,0.0000,2.13,0.0500,3.50,-0.0500,-1.37
1600000,10.0000,4.5189,0.2185,1.16,0.0500,3.50,0.1685,-2.34
1640000,10.0000,1.2712,0.0324,1.70,0.0500,3.50,-0.0176,-1.80
1680000,10.0000,0.3000,0.0072,6.89,0.0500,3.50,-0.0428,3.39
1720000,10.0000,0.3169,0.0000,3.62,0.0500,3.50,-0.0500,0.12
1760000,10.0000,0.9142,0.0242,0.74,0.0500,3.50,-0.0258,-2.76
1800000,10.0000,0.9410,0.0465,0.97,0.0500,3.50,-0.0035,-2.53
1840000,10.0000,3.3261,0.2497,2.26,0.0500,3.50,0.1997,-1.24
1880000,10.0000,5.0000,0.0156,1.86,0.0500,3.50,-0.0344,-1.64
1920000,18.3318,5.0000,0.0229,1.94,0.0500,3.50,-0.0271,-1.56
1960000,35.2873,5.0000,0.0000,2.96,0.0500,3.50,-0.0500,-0.54
2000000,27.7800,3.0098,0.0000,6.42,0.0500,3.50,-0.0500,2.92
