step,lambda_rebuf,lambda_smooth,recent_rebuf_ratio,recent_avg_smooth
40000,4.6218,1.5112,3.7159,12.01
80000,5.9436,2.5000,0.0332,12.97
120000,7.0167,2.5000,0.2875,9.22
160000,8.0010,2.5000,0.4751,6.32
200000,8.8582,2.5000,1.1887,7.17
240000,9.6875,2.5000,1.0961,9.05
280000,10.5411,2.5000,0.1041,6.67
320000,11.2797,2.5000,2.1681,7.08
360000,11.8706,2.5000,0.0503,6.63
400000,12.0000,2.5000,0.8215,7.86
440000,12.0000,2.5000,0.0160,6.56
480000,12.0000,2.5000,0.3244,3.93
520000,12.0000,2.5000,0.1317,3.34
560000,12.0000,2.5000,0.4009,4.29
600000,12.0000,2.5000,0.9658,6.25
640000,12.0000,2.5000,1.5957,2.73
680000,12.0000,2.5000,0.1154,4.75
720000,12.0000,2.5000,0.0597,3.06
760000,12.0000,2.5000,0.4197,5.18
800000,12.0000,2.5000,0.2212,5.18
840000,12.0000,2.5000,0.6647,3.36
880000,12.0000,2.5000,0.0456,7.93
920000,12.0000,2.5000,0.5308,3.18
960000,12.0000,2.5000,0.0388,5.76
1000000,12.0000,2.5000,0.5359,4.67
1040000,12.0000,2.5000,0.0851,4.77
1080000,12.0000,2.5000,0.2327,4.53
1120000,12.0000,2.5000,0.0394,7.28
1160000,12.0000,2.5000,0.2851,2.88
1200000,12.0000,2.5000,1.0618,5.72
1240000,12.0000,2.5000,1.0490,2.48
1280000,12.0000,2.5000,0.6423,1.55
1320000,12.0000,2.5000,0.0313,8.26
1360000,12.0000,2.5000,0.0995,2.73
1400000,12.0000,2.5000,0.1368,5.40
1440000,12.0000,2.5000,0.0283,2.55
1480000,12.0000,2.5000,0.4478,1.55
1520000,12.0000,2.5000,0.3861,4.38
1560000,12.0000,2.5000,0.1625,2.59
1600000,12.0000,2.5000,0.3274,4.04
1640000,12.0000,2.5000,0.2594,5.94
1680000,12.0000,2.5000,0.0772,5.69
1720000,12.0000,2.5000,0.0939,2.94
1760000,12.0000,2.5000,0.0163,3.11
1800000,12.0000,2.5000,0.3144,3.37
1840000,12.0000,2.5000,0.0607,3.17
1880000,12.0000,2.5000,0.7885,3.76
1920000,12.0000,2.5000,0.2669,3.14
1960000,12.0000,2.5000,0.5176,1.55
2000000,12.0000,2.5000,0.2173,9.09
2040000,12.0000,2.5000,0.2654,4.04
2080000,12.0000,2.5000,0.0638,5.07
2120000,12.0000,2.5000,0.0358,3.66
2160000,12.0000,2.5000,0.0279,3.88
2200000,12.0000,2.5000,0.0642,2.59
2240000,12.0000,2.5000,0.0000,3.23
2280000,12.0000,2.5000,0.0000,4.03
2320000,12.0000,2.5000,0.0768,3.18
2360000,12.0000,2.5000,0.0081,2.54
2400000,12.0000,2.5000,0.0524,6.10
2440000,12.0000,2.5000,0.3139,0.00
2480000,12.0000,2.5000,0.1673,5.31
2520000,12.0000,2.5000,0.1768,2.22
2560000,12.0000,2.5000,0.0002,2.20
2600000,12.0000,2.5000,0.1099,3.07
2640000,12.0000,2.5000,0.3126,5.72
2680000,12.0000,2.5000,0.0049,4.91
2720000,12.0000,2.5000,0.2377,2.95
2760000,12.0000,2.5000,0.0000,6.59
2800000,12.0000,2.5000,0.0602,2.14
2840000,12.0000,2.5000,0.2060,5.31
2880000,12.0000,2.5000,0.0635,3.10
2920000,12.0000,2.5000,0.0436,4.81
2960000,12.0000,2.5000,0.0000,3.06
3000000,12.0000,2.5000,0.1020,4.06
3040000,12.0000,2.5000,0.0119,2.31
3080000,12.0000,2.4964,0.0142,7.42
3120000,12.0000,2.4866,0.7370,0.00
3160000,12.0000,2.4979,0.0000,5.44
3200000,12.0000,2.4930,0.0000,6.14
3240000,12.0000,2.4998,0.1617,3.72
3280000,12.0000,2.4915,0.0025,6.81
3320000,12.0000,2.4772,0.0071,2.39
3360000,12.0000,2.4368,0.0294,3.47
3400000,12.0000,2.3986,0.1123,4.29
3440000,12.0000,2.3870,0.0275,3.70
3480000,12.0000,2.3334,0.0167,2.29
3520000,12.0000,2.2409,0.0149,2.51
3560000,12.0000,2.1806,0.0008,2.52
3600000,12.0000,2.1010,0.0015,4.29
3640000,12.0000,2.1467,1.0412,0.00
3680000,12.0000,2.0699,0.0121,3.01
3720000,12.0000,2.0119,0.0000,3.91
3760000,12.0000,2.0672,0.0530,3.47
3800000,12.0000,2.0460,0.1560,6.16
3840000,12.0000,2.1204,0.4648,7.17
3880000,12.0000,2.1531,0.2360,8.59
3920000,12.0000,2.2119,0.0000,5.03
3960000,12.0000,2.2361,0.0002,8.20
4000000,12.0000,2.2542,0.0112,3.31
4040000,12.0000,2.2898,0.2064,5.40
4080000,12.0000,2.3288,0.0036,3.95
4120000,12.0000,2.2920,0.3247,2.48
4160000,12.0000,2.3815,0.0357,2.31
4200000,12.0000,2.4528,0.0025,4.14
4240000,12.0000,2.5000,0.1168,5.33
4280000,12.0000,2.5000,0.0299,2.72
4320000,12.0000,2.5000,0.0221,4.14
4360000,12.0000,2.5000,0.0847,2.35
4400000,12.0000,2.5000,0.0067,3.99
4440000,12.0000,2.5000,0.0559,3.13
4480000,12.0000,2.4916,0.0000,1.52
4520000,12.0000,2.3623,0.1652,4.38
4560000,12.0000,2.3166,0.0068,5.97
4600000,12.0000,2.3670,0.0000,4.90
4640000,12.0000,2.4070,0.4961,3.12
4680000,12.0000,2.4658,0.0804,7.20
4720000,12.0000,2.4954,0.1705,2.79
4760000,12.0000,2.5000,0.0424,2.38
4800000,12.0000,2.5000,0.0165,2.30
4840000,12.0000,2.4522,0.0218,7.26
4880000,12.0000,2.5000,0.1938,2.07
4920000,12.0000,2.4800,0.0075,3.06
4960000,12.0000,2.4934,0.0040,5.66
5000000,12.0000,2.4863,0.3320,2.66
5040000,12.0000,2.4504,0.0018,1.95
5080000,12.0000,2.3838,0.1481,5.86
5120000,12.0000,2.3147,0.0422,0.71
5160000,12.0000,2.2795,0.1615,4.29
5200000,12.0000,2.3126,0.0054,3.98
5240000,12.0000,2.3029,0.2553,3.85
5280000,12.0000,2.2479,0.1103,5.67
5320000,12.0000,2.1819,0.1575,9.39
5360000,12.0000,2.1170,0.2425,2.14
5400000,12.0000,2.1245,0.2964,5.41
5440000,12.0000,2.2319,0.0129,2.55
5480000,12.0000,2.2569,0.0257,4.91
5520000,12.0000,2.3098,0.0336,4.14
5560000,12.0000,2.3190,0.0039,3.61
5600000,12.0000,2.4324,0.2696,0.00
5640000,12.0000,2.4983,0.1713,2.35
5680000,12.0000,2.4637,0.0308,2.37
5720000,12.0000,2.4482,0.0243,3.46
5760000,12.0000,2.4925,0.0261,3.81
5800000,12.0000,2.4731,0.0782,4.59
5840000,12.0000,2.4959,0.3547,3.51
5880000,12.0000,2.4847,0.0586,2.84
5920000,12.0000,2.4398,0.0688,2.73
5960000,12.0000,2.4648,0.0000,3.75
6000000,12.0000,2.4928,0.0047,2.55
6040000,12.0000,2.5000,0.0000,4.67
6080000,12.0000,2.4411,0.0594,3.28
6120000,12.0000,2.4752,0.0641,3.64
6160000,12.0000,2.4862,0.0736,4.24
6200000,12.0000,2.4406,0.0000,7.70
6240000,12.0000,2.4896,0.0044,2.78
6280000,12.0000,2.4913,0.2988,5.18
6320000,12.0000,2.5000,0.0076,2.87
6360000,12.0000,2.4741,0.0000,3.83
6400000,12.0000,2.4378,0.1137,2.95
6440000,12.0000,2.4676,0.0148,2.57
6480000,12.0000,2.4434,0.0000,1.76
6520000,12.0000,2.4153,0.1819,1.65
6560000,12.0000,2.4291,0.0047,4.14
6600000,12.0000,2.5000,0.0617,3.62
6640000,12.0000,2.5000,0.0000,3.30
6680000,12.0000,2.4781,0.0000,3.29
6720000,12.0000,2.4797,0.0182,2.59
6760000,12.0000,2.5000,0.0000,3.82
6800000,12.0000,2.4925,0.1721,0.00
6840000,12.0000,2.5000,0.0383,6.09
6880000,12.0000,2.5000,0.0435,2.78
6920000,12.0000,2.4839,0.0000,2.53
6960000,12.0000,2.4347,0.0718,4.63
