step,mean_action,action_distribution,action_variance,action_entropy
40000,2.50,0.125;0.250;0.000;0.250;0.375;0.000,2.25,1.321
80000,2.75,0.000;0.000;0.500;0.250;0.250;0.000,0.69,1.040
120000,2.25,0.000;0.375;0.375;0.000;0.125;0.125,1.94,1.255
160000,3.38,0.000;0.250;0.000;0.125;0.375;0.250,2.23,1.321
200000,2.50,0.125;0.125;0.250;0.250;0.125;0.125,2.25,1.733
240000,2.12,0.125;0.250;0.250;0.125;0.250;0.000,1.86,1.560
280000,2.38,0.125;0.125;0.375;0.125;0.125;0.125,2.23,1.667
320000,1.62,0.000;0.500;0.375;0.125;0.000;0.000,0.48,0.974
360000,2.12,0.000;0.250;0.500;0.125;0.125;0.000,0.86,1.213
400000,1.88,0.125;0.375;0.125;0.250;0.125;0.000,1.61,1.494
440000,2.25,0.000;0.250;0.250;0.500;0.000;0.000,0.69,1.040
480000,2.00,0.000;0.500;0.000;0.500;0.000;0.000,1.00,0.693
520000,1.75,0.000;0.625;0.125;0.125;0.125;0.000,1.19,1.074
560000,2.25,0.000;0.250;0.375;0.250;0.125;0.000,0.94,1.321
600000,2.50,0.000;0.375;0.125;0.250;0.125;0.125,2.00,1.494
640000,1.38,0.000;0.625;0.375;0.000;0.000;0.000,0.23,0.662
680000,1.75,0.125;0.375;0.250;0.125;0.125;0.000,1.44,1.494
720000,2.75,0.000;0.375;0.000;0.125;0.500;0.000,1.94,0.974
760000,1.38,0.000;0.875;0.000;0.000;0.125;0.000,0.98,0.377
800000,1.50,0.125;0.375;0.375;0.125;0.000;0.000,0.75,1.255
840000,3.00,0.000;0.250;0.000;0.500;0.000;0.250,2.00,1.040
880000,2.50,0.125;0.125;0.250;0.250;0.125;0.125,2.25,1.733
920000,2.38,0.000;0.375;0.125;0.250;0.250;0.000,1.48,1.321
960000,2.00,0.125;0.500;0.000;0.125;0.125;0.125,2.75,1.386
1000000,2.38,0.000;0.375;0.125;0.250;0.250;0.000,1.48,1.321
1040000,2.62,0.000;0.250;0.125;0.375;0.250;0.000,1.23,1.321
1080000,1.25,0.250;0.500;0.125;0.000;0.125;0.000,1.44,1.213
1120000,2.25,0.000;0.500;0.125;0.125;0.125;0.125,2.19,1.386
1160000,2.75,0.125;0.125;0.250;0.000;0.375;0.125,2.69,1.494
1200000,2.25,0.250;0.125;0.000;0.375;0.250;0.000,2.44,1.321
1240000,1.25,0.250;0.250;0.500;0.000;0.000;0.000,0.69,1.040
1280000,2.25,0.125;0.250;0.250;0.125;0.125;0.125,2.44,1.733
