step,episode_count,avg_reward,avg_vmaf,avg_rebuffer_rate,episode_length
384,48,39.89,90.38,2.49,48
384,48,5.09,30.47,30.11,48
384,48,35.46,87.01,15.16,48
384,48,29.18,90.31,119.87,48
384,48,33.24,89.13,64.58,48
384,48,26.03,90.43,161.92,48
384,48,-22.64,30.40,357.53,48
384,48,41.69,92.04,0.95,48
768,96,22.87,84.89,155.86,48
768,96,31.96,90.84,102.24,48
768,96,-25.91,32.95,403.44,48
768,96,38.40,90.12,11.48,48
768,96,29.12,90.53,137.86,48
768,96,-29.55,33.06,449.81,48
768,96,-1.72,33.64,116.82,48
768,96,-13.70,86.89,600.52,48
1152,144,7.05,28.60,0.57,48
1152,144,24.85,90.47,176.89,48
1152,144,36.06,89.22,24.39,48
1152,144,-26.12,32.41,401.66,48
1152,144,-6.21,33.33,173.44,48
1152,144,2.63,27.27,40.87,48
1152,144,1.26,31.42,80.68,48
1152,144,13.38,90.24,312.65,48
1536,192,-4.62,30.68,145.25,48
1536,192,13.45,88.99,305.80,48
1536,192,35.51,88.51,37.11,48
1536,192,14.79,89.54,297.24,48
1536,192,15.04,89.04,284.25,48
1536,192,29.63,91.13,135.54,48
1536,192,-14.39,30.10,255.10,48
1536,192,23.83,88.22,164.03,48
1920,240,0.44,27.18,51.08,48
1920,240,21.98,92.06,221.51,48
1920,240,34.97,91.07,61.83,48
1920,240,2.12,30.13,39.50,48
1920,240,36.38,91.31,47.19,48
1920,240,30.68,89.81,101.98,48
1920,240,13.98,91.73,324.24,48
1920,240,39.80,92.21,23.79,48
2304,288,37.16,90.89,37.54,48
2304,288,29.87,88.77,108.56,48
2304,288,38.90,89.11,0.02,48
2304,288,19.12,89.77,245.34,48
2304,288,30.83,88.87,95.74,48
2304,288,30.02,89.61,112.57,48
2304,288,33.29,91.18,84.52,48
2304,288,-13.26,29.47,232.75,48
2688,336,27.91,90.79,149.45,48
2688,336,-2.61,91.87,517.53,48
2688,336,-1.00,24.71,66.57,48
2688,336,0.33,30.97,90.83,48
2688,336,-0.80,33.40,108.90,48
2688,336,1.32,31.07,80.37,48
2688,336,-3.54,25.48,94.99,48
2688,336,40.48,92.48,14.70,48
3072,384,15.38,87.16,273.97,48
3072,384,10.16,87.81,328.95,48
3072,384,2.81,26.51,38.21,48
3072,384,14.54,86.84,266.25,48
3072,384,-3.84,28.94,107.83,48
3072,384,38.49,88.63,0.78,48
3072,384,20.55,87.60,205.01,48
3072,384,39.08,90.54,13.75,48
3456,432,34.08,88.36,47.12,48
3456,432,21.44,93.10,243.09,48
3456,432,30.97,89.51,95.97,48
3456,432,27.68,89.60,138.73,48
3456,432,7.14,33.62,16.01,48
3456,432,3.17,26.76,50.27,48
3456,432,24.17,86.87,158.99,48
3456,432,-4.46,34.63,153.48,48
3840,480,31.92,92.16,112.61,48
3840,480,37.82,89.27,15.91,48
3840,480,7.10,26.73,2.69,48
3840,480,28.73,87.82,107.43,48
3840,480,-12.47,29.09,218.33,48
3840,480,-5.72,33.14,176.82,48
3840,480,6.43,32.71,36.18,48
3840,480,17.67,88.25,239.34,48
4224,528,27.23,89.80,146.74,48
4224,528,-1.73,26.68,88.03,48
4224,528,-5.05,91.54,547.35,48
4224,528,-0.99,30.72,91.53,48
4224,528,29.53,85.71,87.16,48
4224,528,30.52,91.87,129.98,48
4224,528,34.13,89.12,58.05,48
4224,528,36.47,89.02,17.85,48
4608,576,5.82,28.98,5.58,48
4608,576,-1.97,31.92,118.56,48
4608,576,-7.10,34.18,173.48,48
4608,576,-5.40,30.09,153.02,48
4608,576,6.24,27.40,3.77,48
4608,576,-23.50,29.64,347.22,48
4608,576,22.30,88.85,191.53,48
4608,576,37.41,87.44,4.63,48
4992,624,-36.58,28.31,515.92,48
4992,624,-6.38,33.55,170.76,48
4992,624,-2.79,27.09,106.54,48
4992,624,25.92,89.36,153.18,48
4992,624,-2.53,84.96,463.11,48
4992,624,27.07,89.57,147.22,48
4992,624,-14.08,34.46,285.80,48
4992,624,33.19,91.03,78.76,48
5376,672,-13.00,25.37,212.66,48
5376,672,-2.25,27.30,101.69,48
5376,672,9.34,86.00,325.19,48
5376,672,-56.68,31.36,757.79,48
5376,672,2.62,27.59,39.42,48
5376,672,32.69,88.93,71.25,48
5376,672,-11.78,30.68,227.22,48
5376,672,5.58,29.53,9.16,48
5760,720,38.74,90.49,13.13,48
5760,720,36.39,88.55,31.32,48
5760,720,27.02,87.48,126.15,48
5760,720,32.73,88.37,60.43,48
5760,720,7.02,29.72,9.02,48
5760,720,-16.62,88.55,659.98,48
5760,720,-4.83,29.59,116.15,48
5760,720,35.19,88.27,33.06,48
6144,768,18.07,88.52,249.54,48
6144,768,2.71,31.20,39.31,48
6144,768,6.21,32.87,35.20,48
6144,768,25.14,88.63,162.07,48
6144,768,36.39,91.28,47.58,48
6144,768,3.09,26.71,32.35,48
6144,768,24.87,88.59,155.73,48
6144,768,38.46,89.04,13.32,48
6528,816,28.24,90.34,139.15,48
6528,816,32.93,87.87,58.16,48
6528,816,13.07,88.01,291.11,48
6528,816,-3.50,28.11,119.99,48
6528,816,19.36,91.43,256.95,48
6528,816,25.64,87.66,136.22,48
6528,816,29.77,87.08,83.20,48
6528,816,36.75,87.39,17.64,48
6912,864,34.86,86.24,21.28,48
6912,864,31.95,90.17,91.90,48
6912,864,0.08,32.17,100.03,48
6912,864,2.50,30.81,67.53,48
6912,864,7.94,90.27,388.12,48
6912,864,30.97,91.02,112.76,48
6912,864,21.67,92.41,232.60,48
6912,864,7.57,28.86,2.32,48
7296,912,25.76,90.54,163.28,48
7296,912,4.22,33.90,39.55,48
7296,912,-1.99,30.56,104.85,48
7296,912,5.57,34.92,48.01,48
7296,912,22.00,87.91,184.92,48
7296,912,7.79,88.29,351.69,48
7296,912,3.62,30.95,46.95,48
7296,912,3.01,34.63,81.59,48
7680,960,26.88,88.68,133.49,48
7680,960,34.33,87.47,40.72,48
7680,960,34.40,87.73,40.40,48
7680,960,-19.06,26.89,298.01,48
7680,960,24.06,85.25,143.17,48
7680,960,39.58,89.46,0.00,48
7680,960,-26.56,31.53,403.32,48
7680,960,-2.14,30.38,86.52,48
8064,1008,-22.07,30.45,348.98,48
8064,1008,5.81,30.23,13.57,48
8064,1008,35.44,86.15,22.88,48
8064,1008,38.34,88.57,0.00,48
8064,1008,7.59,31.92,12.87,48
8064,1008,19.60,92.98,263.41,48
8064,1008,23.35,87.89,166.41,48
8064,1008,8.28,33.83,9.69,48
8448,1056,5.92,32.24,23.17,48
8448,1056,36.06,90.72,49.45,48
8448,1056,7.14,89.00,374.24,48
8448,1056,39.56,89.73,0.32,48
8448,1056,31.57,90.03,94.80,48
8448,1056,4.74,26.73,4.89,48
8448,1056,7.88,32.85,0.25,48
8448,1056,36.61,89.86,36.29,48
8832,1104,-3.52,88.34,500.47,48
8832,1104,3.95,27.24,30.65,48
8832,1104,-19.54,30.37,316.14,48
8832,1104,25.30,87.84,154.23,48
8832,1104,15.62,91.01,298.21,48
8832,1104,39.78,90.14,3.08,48
8832,1104,33.23,87.76,54.71,48
8832,1104,6.35,88.22,382.59,48
9216,1152,-25.12,37.54,421.72,48
9216,1152,27.10,89.92,141.33,48
9216,1152,4.90,24.01,3.62,48
9216,1152,38.41,89.75,14.68,48
9216,1152,17.94,86.75,234.96,48
9216,1152,37.69,88.77,24.20,48
9216,1152,15.27,90.30,292.21,48
9216,1152,35.82,89.47,37.89,48
9600,1200,-22.33,29.95,350.31,48
9600,1200,-4.59,34.27,167.82,48
9600,1200,40.13,89.96,2.53,48
9600,1200,3.08,29.02,42.59,48
9600,1200,32.77,86.82,60.57,48
9600,1200,30.99,89.01,91.59,48
9600,1200,1.17,30.06,51.17,48
9600,1200,3.80,28.17,29.90,48
9984,1248,25.21,86.28,140.04,48
9984,1248,10.11,91.13,359.20,48
9984,1248,33.69,86.61,39.58,48
9984,1248,-0.97,31.71,97.46,48
9984,1248,2.01,31.67,71.02,48
9984,1248,30.04,86.80,82.96,48
9984,1248,33.93,87.83,52.37,48
9984,1248,28.23,89.96,126.69,48
10368,1296,-4.94,34.87,166.70,48
10368,1296,28.61,92.03,151.94,48
10368,1296,17.88,87.96,251.94,48
10368,1296,35.73,89.74,42.95,48
10368,1296,-1.01,32.91,117.18,48
10368,1296,-2.54,30.54,123.29,48
10368,1296,2.48,24.13,27.47,48
10368,1296,41.47,92.08,1.62,48
10752,1344,6.77,28.83,12.33,48
10752,1344,38.23,89.18,3.21,48
10752,1344,30.71,91.33,115.57,48
10752,1344,31.27,85.19,55.37,48
10752,1344,37.93,88.69,9.31,48
10752,1344,-3.58,32.63,158.46,48
10752,1344,23.34,85.39,154.43,48
10752,1344,33.17,91.43,90.96,48
11136,1392,33.26,87.94,53.76,48
11136,1392,24.94,88.35,151.62,48
11136,1392,20.68,87.05,207.20,48
11136,1392,-8.86,30.53,195.56,48
11136,1392,26.73,91.91,170.20,48
11136,1392,-25.65,34.90,413.35,48
11136,1392,-1.37,27.28,93.35,48
11136,1392,-6.73,27.02,164.69,48
11520,1440,30.42,89.89,103.49,48
11520,1440,6.39,29.89,21.05,48
11520,1440,-4.41,27.14,109.93,48
11520,1440,18.42,87.96,245.07,48
11520,1440,5.33,29.35,19.62,48
11520,1440,-20.76,33.03,353.80,48
11520,1440,-11.92,89.87,617.93,48
11520,1440,30.51,85.29,70.13,48
11904,1488,35.87,89.96,52.29,48
11904,1488,22.80,86.82,170.17,48
11904,1488,-2.67,31.19,124.34,48
11904,1488,32.01,87.92,75.59,48
11904,1488,35.65,86.89,16.21,48
11904,1488,9.75,34.60,0.00,48
11904,1488,0.94,35.95,73.87,48
11904,1488,26.76,90.38,153.15,48
12288,1536,39.25,89.23,5.13,48
12288,1536,-20.69,30.97,334.83,48
12288,1536,8.93,90.62,370.22,48
