step,mean_action,action_distribution,action_variance,action_entropy
40000,1.88,0.125;0.250;0.375;0.125;0.125;0.000,1.36,1.494
80000,2.00,0.125;0.125;0.500;0.125;0.125;0.000,1.25,1.386
120000,1.12,0.250;0.500;0.125;0.125;0.000;0.000,0.86,1.213
160000,1.25,0.500;0.125;0.125;0.125;0.125;0.000,2.19,1.386
200000,1.12,0.250;0.500;0.125;0.125;0.000;0.000,0.86,1.213
240000,1.62,0.125;0.500;0.125;0.125;0.125;0.000,1.48,1.386
280000,2.12,0.125;0.375;0.125;0.125;0.125;0.125,2.61,1.667
320000,1.25,0.500;0.125;0.125;0.125;0.125;0.000,2.19,1.386
360000,2.50,0.125;0.250;0.250;0.000;0.125;0.250,3.25,1.560
400000,1.38,0.250;0.250;0.375;0.125;0.000;0.000,0.98,1.321
440000,0.50,0.750;0.125;0.000;0.125;0.000;0.000,1.00,0.736
480000,1.75,0.125;0.125;0.625;0.125;0.000;0.000,0.69,1.074
520000,2.12,0.125;0.250;0.250;0.250;0.000;0.125,2.11,1.560
560000,1.12,0.250;0.375;0.375;0.000;0.000;0.000,0.61,1.082
600000,1.25,0.375;0.250;0.250;0.000;0.125;0.000,1.69,1.321
640000,1.62,0.000;0.500;0.375;0.125;0.000;0.000,0.48,0.974
680000,1.62,0.250;0.250;0.125;0.375;0.000;0.000,1.48,1.321
720000,1.12,0.375;0.250;0.250;0.125;0.000;0.000,1.11,1.321
760000,1.25,0.375;0.375;0.000;0.125;0.125;0.000,1.94,1.255
800000,1.12,0.375;0.375;0.000;0.250;0.000;0.000,1.36,1.082
840000,2.00,0.000;0.375;0.250;0.375;0.000;0.000,0.75,1.082
880000,2.00,0.250;0.000;0.375;0.250;0.125;0.000,1.75,1.321
920000,2.00,0.125;0.375;0.125;0.125;0.250;0.000,2.00,1.494
960000,1.25,0.375;0.250;0.125;0.250;0.000;0.000,1.44,1.321
1000000,0.50,0.625;0.250;0.125;0.000;0.000;0.000,0.50,0.900
