step,episode_count,avg_reward,avg_vmaf,avg_rebuffer_rate,episode_length
384,48,2724.42,91.20,294.77,48
384,48,3262.17,90.58,158.05,48
384,48,3333.07,89.39,103.51,48
384,48,3181.07,89.80,167.64,48
384,48,3382.65,87.43,57.35,48
384,48,2558.29,90.28,316.30,48
384,48,3437.55,84.66,4.05,48
384,48,3594.24,90.93,83.03,48
768,96,2527.24,90.68,326.04,48
768,96,3148.40,86.68,107.58,48
768,96,3242.94,86.73,47.26,48
768,96,3589.12,87.21,18.58,48
768,96,3540.55,90.61,85.32,48
768,96,3715.74,88.57,27.27,48
768,96,2073.38,88.23,336.57,48
768,96,3762.91,89.84,18.80,48
1152,144,3608.82,87.34,5.88,48
1152,144,3238.85,88.29,102.81,48
1152,144,2770.11,89.25,248.96,48
1152,144,3276.83,90.11,120.26,48
1152,144,2372.83,90.56,358.80,48
1152,144,2698.75,86.22,218.72,48
1152,144,3172.42,88.88,121.58,48
1152,144,2375.93,85.85,288.54,48
1536,192,2235.93,89.92,371.84,48
1536,192,3680.23,89.40,0.02,48
1536,192,3101.80,91.52,189.47,48
1536,192,3536.22,89.42,79.45,48
1536,192,3294.85,88.18,97.29,48
1536,192,3506.35,88.60,22.80,48
1536,192,2700.86,88.10,237.37,48
1536,192,3406.36,85.01,16.22,48
1920,240,2372.18,90.03,342.00,48
1920,240,3615.72,89.58,1.39,48
1920,240,3448.04,89.09,61.21,48
1920,240,3738.15,88.76,0.31,48
1920,240,3596.12,88.45,30.10,48
1920,240,3196.15,88.67,92.50,48
1920,240,3182.45,89.91,143.40,48
1920,240,3404.34,89.58,120.84,48
2304,288,3563.25,90.70,88.03,48
2304,288,2513.16,89.07,293.30,48
2304,288,3445.39,87.90,66.91,48
2304,288,3250.06,90.18,134.90,48
2304,288,3301.79,90.05,117.19,48
2304,288,3384.96,86.76,12.19,48
2304,288,2538.41,88.35,256.94,48
2304,288,2151.80,88.15,361.04,48
2688,336,3310.71,88.39,70.11,48
2688,336,3361.97,88.51,87.55,48
2688,336,2910.61,87.05,139.75,48
2688,336,2659.50,89.42,300.94,48
2688,336,2552.42,91.38,348.35,48
2688,336,2416.63,91.94,382.85,48
2688,336,3771.58,91.64,59.73,48
2688,336,3036.12,87.02,128.55,48
3072,384,3339.53,87.18,74.70,48
3072,384,3314.20,89.36,123.71,48
3072,384,3490.00,88.46,49.20,48
3072,384,1101.88,90.51,667.82,48
3072,384,3723.66,88.37,14.10,48
3072,384,1414.97,89.36,599.58,48
3072,384,3307.27,91.43,158.38,48
3072,384,2761.47,87.09,184.88,48
3456,432,3590.01,88.90,42.93,48
3456,432,2894.36,91.70,276.48,48
3456,432,1742.33,89.24,509.73,48
3456,432,3414.42,88.16,44.57,48
3456,432,3128.48,90.17,170.07,48
3456,432,2587.40,89.64,314.74,48
3456,432,2105.73,88.82,415.78,48
3456,432,3278.81,88.55,115.49,48
3840,480,2627.32,87.93,252.97,48
3840,480,2942.41,88.72,171.18,48
3840,480,3514.57,90.76,83.04,48
3840,480,3354.01,88.09,81.51,48
3840,480,3496.31,86.72,6.01,48
3840,480,2296.91,90.52,396.50,48
3840,480,2490.19,91.05,328.00,48
3840,480,3225.11,88.62,89.92,48
4224,528,3482.71,92.36,151.14,48
4224,528,2972.27,88.15,179.89,48
4224,528,2309.05,90.19,385.82,48
4224,528,3768.17,88.28,0.00,48
4224,528,3741.04,90.21,19.14,48
4224,528,3376.34,89.79,118.45,48
4224,528,3642.05,89.68,21.66,48
4224,528,3519.55,88.98,43.25,48
4608,576,3763.46,90.54,26.98,48
4608,576,3230.23,91.72,186.62,48
4608,576,3122.53,86.94,70.87,48
4608,576,2797.28,92.09,312.39,48
4608,576,3518.80,89.88,82.74,48
4608,576,2456.00,88.69,270.19,48
4608,576,3539.86,89.96,84.08,48
4608,576,2343.87,87.70,335.86,48
4992,624,3394.53,86.15,28.07,48
4992,624,3843.77,90.28,16.49,48
4992,624,3429.87,90.17,113.56,48
4992,624,3236.22,88.46,129.67,48
4992,624,3089.13,90.93,206.56,48
4992,624,3204.81,91.68,169.15,48
4992,624,3208.26,91.23,151.27,48
4992,624,3509.20,86.24,0.00,48
5376,672,3305.17,89.36,114.07,48
5376,672,3443.01,85.81,4.88,48
5376,672,3969.01,92.47,12.68,48
5376,672,3622.00,90.07,70.44,48
5376,672,2597.74,90.17,331.98,48
5376,672,3522.25,89.62,65.51,48
5376,672,643.20,92.87,862.38,48
5376,672,2493.27,88.18,270.93,48
5760,720,3721.49,90.24,0.31,48
5760,720,3769.41,89.65,11.25,48
5760,720,3207.01,87.30,80.78,48
5760,720,3493.00,90.68,98.81,48
