step,mean_action,action_distribution,action_variance,action_entropy
40000,2.25,0.125;0.250;0.250;0.125;0.125;0.125,2.44,1.733
80000,1.88,0.125;0.375;0.125;0.250;0.125;0.000,1.61,1.494
120000,1.62,0.250;0.250;0.250;0.125;0.125;0.000,1.73,1.560
160000,1.88,0.250;0.250;0.125;0.125;0.250;0.000,2.36,1.560
200000,1.88,0.125;0.375;0.000;0.500;0.000;0.000,1.36,0.974
240000,2.12,0.000;0.375;0.250;0.250;0.125;0.000,1.11,1.321
280000,2.12,0.125;0.250;0.250;0.125;0.250;0.000,1.86,1.560
320000,1.62,0.250;0.250;0.250;0.125;0.125;0.000,1.73,1.560
360000,1.75,0.125;0.375;0.250;0.125;0.125;0.000,1.44,1.494
400000,1.75,0.125;0.500;0.000;0.250;0.125;0.000,1.69,1.213
440000,1.12,0.375;0.250;0.250;0.125;0.000;0.000,1.11,1.321
480000,1.25,0.125;0.625;0.125;0.125;0.000;0.000,0.69,1.074
520000,1.75,0.250;0.250;0.125;0.250;0.125;0.000,1.94,1.560
560000,1.88,0.000;0.375;0.375;0.250;0.000;0.000,0.61,1.082
600000,1.50,0.000;0.625;0.250;0.125;0.000;0.000,0.50,0.900
640000,2.62,0.125;0.250;0.000;0.250;0.250;0.125,2.73,1.560
680000,1.50,0.125;0.500;0.250;0.000;0.125;0.000,1.25,1.213
720000,2.00,0.000;0.250;0.500;0.250;0.000;0.000,0.50,1.040
760000,1.00,0.250;0.500;0.250;0.000;0.000;0.000,0.50,1.040
800000,1.62,0.125;0.375;0.375;0.000;0.125;0.000,1.23,1.255
