step,episode_count,avg_reward,avg_vmaf,avg_rebuffer_rate,episode_length
384,48,-3139.59,30.18,333.47,48
384,48,1203.89,89.58,199.01,48
384,48,2245.79,87.68,83.60,48
384,48,1036.21,88.08,217.59,48
384,48,2332.28,91.62,110.70,48
384,48,2205.49,87.19,80.81,48
384,48,2955.31,89.26,13.93,48
384,48,-815.75,32.64,88.18,48
768,96,-2274.71,28.57,206.23,48
768,96,1250.21,88.07,174.40,48
768,96,2389.59,86.23,59.31,48
768,96,1149.36,90.31,240.86,48
768,96,2362.36,85.46,70.62,48
768,96,94.26,88.37,316.05,48
768,96,-3407.97,32.58,339.97,48
768,96,-238.19,33.27,39.97,48
1152,144,395.76,29.49,7.94,48
1152,144,2411.69,88.57,74.76,48
1152,144,423.40,87.23,277.91,48
1152,144,-533.13,29.74,43.55,48
1152,144,-3076.01,31.88,314.26,48
1152,144,1053.16,90.14,221.79,48
1152,144,-3343.55,29.92,326.17,48
1152,144,304.77,88.55,298.19,48
1536,192,-3573.67,33.79,408.15,48
1536,192,551.87,32.64,0.00,48
1536,192,3246.29,90.57,25.85,48
1536,192,-1643.28,32.48,159.19,48
1536,192,2356.21,88.97,88.67,48
1536,192,3426.14,92.24,44.84,48
1536,192,2246.22,90.77,109.87,48
1536,192,1632.53,88.45,150.99,48
1920,240,-3451.40,33.46,358.80,48
1920,240,3158.18,91.09,26.34,48
1920,240,-747.71,33.13,61.18,48
1920,240,684.89,91.82,279.02,48
1920,240,3129.98,88.40,23.25,48
1920,240,-254.62,91.05,399.85,48
1920,240,1429.52,90.83,187.45,48
1920,240,-948.52,37.00,121.85,48
2304,288,-828.66,32.58,90.01,48
2304,288,536.02,89.68,282.89,48
2304,288,2619.81,85.96,35.61,48
2304,288,48.99,89.66,339.72,48
2304,288,-1359.27,29.24,99.88,48
2304,288,3587.94,90.38,10.50,48
2304,288,-4038.76,32.88,418.64,48
2304,288,1665.38,90.12,159.25,48
2688,336,1963.35,90.88,134.45,48
2688,336,-986.28,31.46,82.43,48
2688,336,2365.41,85.87,57.92,48
2688,336,-0.16,32.65,14.51,48
2688,336,-3150.91,28.82,310.82,48
2688,336,2422.96,90.58,113.26,48
2688,336,3273.82,90.96,22.40,48
2688,336,340.69,86.81,282.64,48
3072,384,2028.24,87.22,107.51,48
3072,384,-1736.01,30.55,149.53,48
3072,384,2302.58,89.25,94.80,48
3072,384,2681.72,85.67,34.02,48
3072,384,3103.00,89.25,17.68,48
3072,384,3427.86,88.27,9.48,48
3072,384,-1212.26,30.36,94.83,48
3072,384,1493.94,89.12,160.75,48
3456,432,2613.93,87.68,61.47,48
3456,432,106.26,88.30,308.85,48
3456,432,177.77,26.00,0.00,48
3456,432,2998.07,88.19,39.56,48
3456,432,1652.51,91.37,151.82,48
3456,432,-2876.25,29.38,289.25,48
3456,432,1755.31,86.96,146.02,48
3456,432,-2453.34,30.02,219.98,48
3840,480,800.23,87.92,242.00,48
3840,480,1372.81,89.00,175.02,48
3840,480,-806.77,30.92,65.80,48
3840,480,-5749.18,32.83,618.75,48
3840,480,-1576.51,25.05,113.60,48
3840,480,-4629.06,25.21,466.54,48
3840,480,-428.85,24.92,21.96,48
3840,480,1772.13,90.17,170.34,48
4224,528,-1832.89,30.86,161.99,48
4224,528,-1898.48,29.77,183.90,48
4224,528,3455.75,90.63,24.25,48
4224,528,3502.87,85.89,0.00,48
4224,528,2813.92,86.45,32.13,48
4224,528,953.97,87.81,219.74,48
4224,528,1938.92,87.31,99.98,48
4224,528,3382.54,92.03,30.90,48
4608,576,2788.85,91.47,50.25,48
4608,576,2545.44,85.59,39.30,48
4608,576,-3103.77,90.35,724.91,48
4608,576,-644.93,32.64,38.41,48
4608,576,-26.00,27.06,15.03,48
4608,576,-518.37,88.47,402.71,48
4608,576,-1515.53,87.05,496.59,48
4608,576,1097.80,87.88,211.29,48
4992,624,3249.08,89.49,24.96,48
4992,624,3429.76,90.87,8.80,48
4992,624,1887.22,90.70,143.83,48
4992,624,2476.82,87.43,54.32,48
4992,624,2416.32,83.89,58.96,48
4992,624,3346.64,89.18,18.94,48
4992,624,871.77,89.02,234.15,48
4992,624,2949.33,89.08,17.90,48
5376,672,2514.36,87.78,43.26,48
5376,672,-1144.44,32.24,97.02,48
5376,672,2134.97,86.02,92.01,48
5376,672,2712.12,91.00,67.91,48
5376,672,-1405.01,28.96,145.39,48
5376,672,-1596.67,30.03,159.01,48
5376,672,1474.64,90.41,178.06,48
5376,672,1897.52,89.32,125.15,48
5760,720,2252.46,87.61,83.51,48
5760,720,2399.55,85.29,52.00,48
5760,720,-2006.27,26.01,181.65,48
5760,720,1880.99,87.14,121.22,48
5760,720,403.27,87.94,276.01,48
5760,720,2219.02,89.75,104.67,48
5760,720,1496.47,89.51,172.44,48
5760,720,2621.52,88.57,59.30,48
6144,768,336.60,29.47,0.02,48
6144,768,-1770.13,90.33,560.95,48
6144,768,-148.50,32.12,48.54,48
6144,768,80.18,90.57,337.25,48
6144,768,-1760.13,34.31,169.32,48
6144,768,-1586.68,31.56,111.47,48
6144,768,3489.61,91.22,24.51,48
6144,768,1766.74,88.31,116.45,48
6528,816,568.48,90.22,285.17,48
6528,816,3070.04,89.34,40.41,48
6528,816,322.22,30.81,2.86,48
6528,816,1385.53,91.30,200.81,48
6528,816,2897.28,89.86,51.96,48
6528,816,2947.13,87.86,38.56,48
6528,816,1650.65,91.62,165.90,48
6528,816,211.99,33.31,5.12,48
6912,864,-1332.05,30.26,126.69,48
6912,864,2912.63,91.27,63.83,48
6912,864,2486.68,88.86,66.20,48
6912,864,2060.60,88.85,112.71,48
6912,864,-1188.69,37.91,172.40,48
6912,864,924.11,89.93,239.43,48
6912,864,2206.67,90.96,113.82,48
6912,864,221.61,89.81,323.38,48
7296,912,-2278.30,36.47,235.78,48
7296,912,-828.28,34.36,103.29,48
7296,912,3408.58,89.38,15.85,48
7296,912,1072.53,92.39,244.71,48
7296,912,1923.20,88.33,108.19,48
7296,912,-1594.23,28.28,154.25,48
7296,912,-319.38,28.47,21.36,48
7296,912,2836.84,90.31,43.94,48
7680,960,2533.79,87.23,43.02,48
7680,960,3204.96,88.78,21.62,48
7680,960,2678.98,87.19,51.16,48
7680,960,-2429.33,33.08,248.09,48
7680,960,1396.87,89.56,207.45,48
7680,960,-2714.58,87.89,636.51,48
7680,960,2397.72,91.50,100.03,48
7680,960,-2318.19,35.45,249.12,48
8064,1008,476.64,90.63,298.17,48
8064,1008,283.81,88.31,299.42,48
8064,1008,3207.06,89.41,18.52,48
8064,1008,958.68,89.44,238.55,48
8064,1008,82.04,91.64,358.46,48
8064,1008,2643.25,88.36,46.63,48
8064,1008,-1958.40,32.78,195.87,48
8064,1008,-2111.57,88.44,584.42,48
8448,1056,302.84,30.65,0.01,48
8448,1056,-1168.55,27.83,91.53,48
8448,1056,2639.25,87.61,33.25,48
8448,1056,-867.27,34.32,68.07,48
8448,1056,-59.81,87.29,325.98,48
8448,1056,353.96,86.96,280.05,48
8448,1056,-1984.76,32.79,205.19,48
8448,1056,-337.96,91.07,403.90,48
8832,1104,-962.05,33.90,105.73,48
8832,1104,2362.54,89.13,81.49,48
8832,1104,3779.99,89.68,0.66,48
8832,1104,1690.03,88.31,127.91,48
