Method,Video,Episode,Chunk,Action_proposed,Applied_Action,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed_ShieldedQoE,bigbuckbunny,0,0,1,0,300,1126.0,1.17,4.0,0.524,66.58,0.0,64.33,1,1.0,1,750,3.073,83.73,70.52,-6.189999999999998,-2.549,0
Proposed_ShieldedQoE,bigbuckbunny,0,1,0,0,300,892.4,4.0,7.13,0.0,66.58,0.0,66.58,0,0.5,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed_ShieldedQoE,bigbuckbunny,0,2,4,4,2850,941.8,7.13,9.21,0.0,97.11,30.53,66.58,0,0.3333333333333333,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed_ShieldedQoE,bigbuckbunny,0,3,1,1,750,463.6,9.21,9.03,0.0,83.73,13.38,70.35,0,0.25,1,750,0.0,83.73,83.73,-13.38000000000001,0.0,1
Proposed_ShieldedQoE,bigbuckbunny,0,4,1,1,750,1052.0,9.03,10.15,0.0,83.73,0.0,83.73,0,0.2,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed_ShieldedQoE,bigbuckbunny,0,5,1,1,750,355.7,10.15,10.38,0.0,83.73,0.0,83.73,0,0.16666666666666666,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed_ShieldedQoE,bigbuckbunny,0,6,1,1,750,952.1,10.38,12.3,0.0,83.73,0.0,83.73,0,0.14285714285714285,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed_ShieldedQoE,bigbuckbunny,0,7,1,1,750,1023.8,12.3,14.84,0.0,83.73,0.0,83.73,0,0.125,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed_ShieldedQoE,bigbuckbunny,0,8,1,1,750,960.6,14.84,14.35,0.0,83.73,0.0,83.73,0,0.1111111111111111,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed_ShieldedQoE,bigbuckbunny,0,9,1,1,750,955.9,14.35,16.88,0.0,83.73,0.0,83.73,0,0.1,1,750,0.0,83.73,83.73,0.0,0.0,1
