Method,Video,Episode,Chunk,Action_proposed,Applied_Action,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff
Proposed_ShieldedQoE,bigbuckbunny,0,0,0,0,300,1126.0,1.17,4.0,0.57,66.58,0.0,9.59,1,1.0,0,300,0.57,66.58,9.59,0.0
Proposed_ShieldedQoE,bigbuckbunny,0,1,0,0,300,892.4,4.0,6.77,0.0,66.58,0.0,66.58,0,0.5,0,300,0.0,66.58,66.58,0.0
Proposed_ShieldedQoE,bigbuckbunny,0,2,0,0,300,941.8,6.77,9.81,0.0,66.58,0.0,66.58,0,0.3333333333333333,0,300,0.0,66.58,66.58,0.0
Proposed_ShieldedQoE,bigbuckbunny,0,3,0,0,300,463.6,9.81,10.97,0.0,66.58,0.0,66.58,0,0.25,0,300,0.0,66.58,66.58,0.0
Proposed_ShieldedQoE,bigbuckbunny,0,4,0,0,300,1052.0,10.97,12.42,0.0,66.58,0.0,66.58,0,0.2,0,300,0.0,66.58,66.58,0.0
Proposed_ShieldedQoE,bigbuckbunny,0,5,0,0,300,355.7,12.42,11.7,0.0,66.58,0.0,66.58,0,0.16666666666666666,0,300,0.0,66.58,66.58,0.0
Proposed_ShieldedQoE,bigbuckbunny,0,6,0,0,300,952.1,11.7,14.24,0.0,66.58,0.0,66.58,0,0.14285714285714285,1,750,0.0,83.73,66.58,0.0
Proposed_ShieldedQoE,bigbuckbunny,0,7,0,0,300,1023.8,14.24,16.78,0.0,66.58,0.0,66.58,0,0.125,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_ShieldedQoE,bigbuckbunny,0,8,0,0,300,960.6,16.78,18.81,0.0,66.58,0.0,66.58,0,0.1111111111111111,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_ShieldedQoE,bigbuckbunny,0,9,5,5,6000,955.9,18.81,19.58,0.0,97.14,30.56,66.58,0,0.1,2,1200,0.0,90.34,83.73,-17.150000000000006
Proposed_ShieldedQoE,bigbuckbunny,0,10,1,1,750,880.2,19.58,20.53,0.0,83.73,13.41,70.32,0,0.09090909090909091,2,1200,0.0,90.34,90.34,-20.02000000000001
Proposed_ShieldedQoE,bigbuckbunny,0,11,1,1,750,1063.0,20.53,23.27,0.0,83.73,0.0,83.73,0,0.08333333333333333,2,1200,0.0,90.34,90.34,-6.609999999999999
Proposed_ShieldedQoE,bigbuckbunny,0,12,5,5,6000,934.7,23.27,21.74,0.0,97.14,13.41,83.73,0,0.07692307692307693,2,1200,0.0,90.34,90.34,-6.609999999999999
Proposed_ShieldedQoE,bigbuckbunny,0,13,1,1,750,994.6,21.74,24.47,0.0,83.73,13.41,70.32,0,0.07142857142857142,2,1200,0.0,90.34,90.34,-20.02000000000001
Proposed_ShieldedQoE,bigbuckbunny,0,14,3,3,1850,1000.9,24.47,25.82,0.0,95.49,11.76,83.73,0,0.06666666666666667,2,1200,0.0,90.34,90.34,-6.609999999999999
Proposed_ShieldedQoE,bigbuckbunny,0,15,1,1,750,858.9,25.82,27.48,0.0,83.73,11.76,71.97,0,0.0625,2,1200,0.0,90.34,90.34,-18.370000000000005
Proposed_ShieldedQoE,bigbuckbunny,0,16,5,5,6000,1103.0,27.48,25.55,0.0,97.14,13.41,83.73,0,0.058823529411764705,2,1200,0.0,90.34,90.34,-6.609999999999999
Proposed_ShieldedQoE,bigbuckbunny,0,17,1,1,750,966.8,25.55,27.44,0.0,83.73,13.41,70.32,0,0.05555555555555555,2,1200,0.0,90.34,90.34,-20.02000000000001
Proposed_ShieldedQoE,bigbuckbunny,0,18,3,3,1850,810.4,27.44,27.93,0.0,95.49,11.76,83.73,0,0.05263157894736842,2,1200,0.0,90.34,90.34,-6.609999999999999
Proposed_ShieldedQoE,bigbuckbunny,0,19,1,1,750,971.9,27.93,30.0,0.0,83.73,11.76,71.97,0,0.05,2,1200,0.0,90.34,90.34,-18.370000000000005
Proposed_ShieldedQoE,bigbuckbunny,0,20,5,5,6000,704.0,30.0,22.11,0.0,97.14,13.41,83.73,0,0.047619047619047616,1,750,0.0,83.73,77.12,6.609999999999999
Proposed_ShieldedQoE,bigbuckbunny,0,21,1,1,750,1036.7,22.11,23.41,0.0,83.73,13.41,70.32,0,0.045454545454545456,1,750,0.0,83.73,83.73,-13.41000000000001
Proposed_ShieldedQoE,bigbuckbunny,0,22,1,1,750,1087.5,23.41,24.68,0.0,83.73,0.0,83.73,0,0.043478260869565216,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,0,23,1,1,750,1111.3,24.68,25.01,0.0,83.73,0.0,83.73,0,0.041666666666666664,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,0,24,1,1,750,1138.6,25.01,24.32,0.0,83.73,0.0,83.73,0,0.04,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,0,25,1,1,750,1073.9,24.32,24.73,0.0,83.73,0.0,83.73,0,0.038461538461538464,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,0,26,1,1,750,1065.4,24.73,26.7,0.0,83.73,0.0,83.73,0,0.037037037037037035,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,0,27,3,3,1850,984.5,26.7,27.21,0.0,95.49,11.76,83.73,0,0.03571428571428571,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,0,28,0,0,300,824.4,27.21,24.03,0.0,66.58,28.91,37.67,0,0.034482758620689655,1,750,0.0,83.73,83.73,-46.06
Proposed_ShieldedQoE,bigbuckbunny,0,29,1,1,750,1037.6,24.03,26.01,0.0,83.73,17.15,66.58,0,0.03333333333333333,1,750,0.0,83.73,83.73,-17.150000000000006
