Method,Video,Episode,Chunk,Action,Applied_Action_proposed,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Applied_Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,0,0,0,0,300,1126.0,1.17,4.0,0.346,66.58,0.0,65.09,0,0.0,1,750,2.626,83.73,72.44,-7.349999999999994,-2.28,0
Proposed,bigbuckbunny,0,1,2,2,1200,892.4,4.0,4.39,0.0,90.34,23.76,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed,bigbuckbunny,0,2,2,2,1200,941.8,4.39,4.0,1.694,90.34,0.0,83.05,0,0.0,1,750,0.0,83.73,83.73,-0.6800000000000068,1.694,0
Proposed,bigbuckbunny,0,3,2,2,1200,463.6,4.0,4.0,5.42,90.34,0.0,67.03,0,0.0,1,750,0.0,83.73,83.73,-16.700000000000003,5.42,0
Proposed,bigbuckbunny,0,4,0,0,300,1052.0,4.0,5.84,0.0,66.58,23.76,42.82,0,0.0,1,750,1.35,83.73,77.92,-35.1,-1.35,0
Proposed,bigbuckbunny,0,5,2,2,1200,355.7,5.84,4.0,3.719,90.34,23.76,50.59,0,0.0,1,750,1.973,83.73,75.25,-24.659999999999997,1.7459999999999998,0
Proposed,bigbuckbunny,0,6,0,0,300,952.1,4.0,6.45,0.0,66.58,23.76,42.82,0,0.0,1,750,0.0,83.73,83.73,-40.910000000000004,0.0,0
Proposed,bigbuckbunny,0,7,2,2,1200,1023.8,6.45,4.0,0.317,90.34,23.76,65.22,0,0.0,1,750,0.102,83.73,83.29,-18.070000000000007,0.21500000000000002,0
Proposed,bigbuckbunny,0,8,2,2,1200,960.6,4.0,4.0,5.121,90.34,0.0,68.32,0,0.0,1,750,1.7,83.73,76.42,-8.100000000000009,3.4210000000000003,0
Proposed,bigbuckbunny,0,9,2,2,1200,955.9,4.0,4.0,0.317,90.34,0.0,88.98,0,0.0,1,750,0.0,83.73,83.73,5.25,0.317,0
