Method,Video,Episode,Chunk,Action,Applied_Action_proposed,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Applied_Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,0,0,0,0,300,1126.0,1.17,4.0,0.019,66.58,0.0,66.5,0,0.0,1,750,1.81,83.73,75.95,-9.450000000000003,-1.7910000000000001,0
Proposed,bigbuckbunny,0,1,2,2,1200,892.4,4.0,4.0,1.129,90.34,23.76,61.73,0,0.0,1,750,0.0,83.73,83.73,-22.000000000000007,1.129,0
Proposed,bigbuckbunny,0,2,2,2,1200,941.8,4.0,4.0,1.681,90.34,0.0,83.11,0,0.0,1,750,0.0,83.73,83.73,-0.6200000000000045,1.681,0
Proposed,bigbuckbunny,0,3,2,2,1200,463.6,4.0,4.0,6.014,90.34,0.0,64.48,0,0.0,1,750,1.015,83.73,79.36,-14.879999999999995,4.9990000000000006,0
Proposed,bigbuckbunny,0,4,0,0,300,1052.0,4.0,5.45,0.0,66.58,23.76,42.82,0,0.0,1,750,2.364,83.73,73.57,-30.749999999999993,-2.364,0
Proposed,bigbuckbunny,0,5,2,2,1200,355.7,5.45,4.0,13.283,90.34,23.76,9.46,0,0.0,1,750,7.711,83.73,50.57,-41.11,5.571999999999999,0
Proposed,bigbuckbunny,0,6,2,2,1200,952.1,4.0,4.0,0.725,90.34,0.0,87.22,0,0.0,1,750,0.0,83.73,83.73,3.489999999999995,0.725,0
Proposed,bigbuckbunny,0,7,2,2,1200,1023.8,4.0,4.0,2.211,90.34,0.0,80.83,0,0.0,1,750,0.0,83.73,83.73,-2.9000000000000057,2.211,0
Proposed,bigbuckbunny,0,8,2,2,1200,960.6,4.0,4.0,7.471,90.34,0.0,58.21,0,0.0,1,750,2.004,83.73,75.11,-16.9,5.4670000000000005,0
Proposed,bigbuckbunny,0,9,2,2,1200,955.9,4.0,4.0,1.177,90.34,0.0,85.28,0,0.0,1,750,0.0,83.73,83.73,1.5499999999999972,1.177,0
Proposed,bigbuckbunny,0,10,2,2,1200,880.2,4.0,4.0,1.381,90.34,0.0,84.4,0,0.0,1,750,0.0,83.73,83.73,0.6700000000000017,1.381,0
Proposed,bigbuckbunny,0,11,2,2,1200,1063.0,4.0,4.0,0.792,90.34,0.0,86.93,0,0.0,1,750,0.0,83.73,83.73,3.200000000000003,0.792,0
Proposed,bigbuckbunny,0,12,2,2,1200,934.7,4.0,4.0,2.205,90.34,0.0,80.86,0,0.0,1,750,0.0,83.73,83.73,-2.8700000000000045,2.205,0
Proposed,bigbuckbunny,0,13,2,2,1200,994.6,4.0,4.0,0.244,90.34,0.0,89.29,0,0.0,2,1200,0.0,90.34,83.73,5.560000000000002,0.244,1
Proposed,bigbuckbunny,0,14,2,2,1200,1000.9,4.0,6.05,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,15,2,2,1200,858.9,6.05,7.81,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,16,2,2,1200,1103.0,7.81,7.26,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,17,2,2,1200,966.8,7.26,8.52,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,18,2,2,1200,810.4,8.52,8.16,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,19,2,2,1200,971.9,8.16,8.64,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,20,2,2,1200,704.0,8.64,4.43,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,77.12,13.219999999999999,0.0,0
Proposed,bigbuckbunny,0,21,2,2,1200,1036.7,4.43,4.67,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,22,2,2,1200,1087.5,4.67,4.94,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,23,2,2,1200,1111.3,4.94,5.4,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,24,2,2,1200,1138.6,5.4,4.0,3.886,90.34,0.0,73.63,0,0.0,1,750,0.0,83.73,83.73,-10.100000000000009,3.886,0
Proposed,bigbuckbunny,0,25,2,2,1200,1073.9,4.0,4.55,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,26,2,2,1200,1065.4,4.55,4.0,0.034,90.34,0.0,90.19,0,0.0,1,750,0.0,83.73,83.73,6.459999999999994,0.034,0
Proposed,bigbuckbunny,0,27,2,2,1200,984.5,4.0,4.0,0.657,90.34,0.0,87.52,0,0.0,1,750,0.0,83.73,83.73,3.789999999999992,0.657,0
Proposed,bigbuckbunny,0,28,2,2,1200,824.4,4.0,4.0,9.565,90.34,0.0,49.21,0,0.0,1,750,0.0,83.73,83.73,-34.52,9.565,0
Proposed,bigbuckbunny,0,29,2,2,1200,1037.6,4.0,4.75,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,30,2,2,1200,1055.3,4.75,4.0,0.237,90.34,0.0,89.32,0,0.0,1,750,0.0,83.73,83.73,5.589999999999989,0.237,0
Proposed,bigbuckbunny,0,31,2,2,1200,1126.0,4.0,4.0,0.112,90.34,0.0,89.86,0,0.0,1,750,0.0,83.73,83.73,6.1299999999999955,0.112,0
Proposed,bigbuckbunny,0,32,2,2,1200,892.4,4.0,4.0,4.207,90.34,0.0,72.25,0,0.0,1,750,0.0,83.73,83.73,-11.480000000000004,4.207,0
Proposed,bigbuckbunny,0,33,2,2,1200,941.8,4.0,5.52,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,34,2,2,1200,463.6,5.52,4.0,0.758,90.34,0.0,87.08,0,0.0,1,750,0.0,83.73,83.73,3.3499999999999943,0.758,0
Proposed,bigbuckbunny,0,35,2,2,1200,1052.0,4.0,6.17,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,36,2,2,1200,355.7,6.17,4.0,8.351,90.34,0.0,54.43,0,0.0,1,750,0.0,83.73,83.73,-29.300000000000004,8.351,0
Proposed,bigbuckbunny,0,37,2,2,1200,952.1,4.0,5.98,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,83.73,6.609999999999999,0.0,1
Proposed,bigbuckbunny,0,38,2,2,1200,1023.8,5.98,6.83,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,39,2,2,1200,960.6,6.83,7.19,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,40,2,2,1200,955.9,7.19,5.5,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,41,2,2,1200,880.2,5.5,5.68,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,42,2,2,1200,1063.0,5.68,4.57,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,43,2,2,1200,934.7,4.57,4.0,0.825,90.34,0.0,86.79,0,0.0,2,1200,0.0,90.34,90.34,-3.549999999999997,0.825,1
Proposed,bigbuckbunny,0,44,2,2,1200,994.6,4.0,4.0,4.889,90.34,0.0,69.32,0,0.0,2,1200,0.0,90.34,90.34,-21.02000000000001,4.889,1
Proposed,bigbuckbunny,0,45,2,2,1200,1000.9,4.0,4.0,1.116,90.34,0.0,85.54,0,0.0,2,1200,0.0,90.34,90.34,-4.799999999999997,1.116,1
Proposed,bigbuckbunny,0,46,2,2,1200,858.9,4.0,4.0,2.921,90.34,0.0,77.78,0,0.0,2,1200,0.0,90.34,90.34,-12.560000000000002,2.921,1
Proposed,bigbuckbunny,0,47,2,2,1200,1103.0,4.0,4.0,1.704,90.34,0.0,83.01,0,0.0,2,1200,0.0,90.34,90.34,-7.329999999999998,1.704,1
Proposed,bigbuckbunny,1,0,2,2,1200,587.0,2.88,4.0,6.282,90.34,0.0,63.33,0,0.0,0,300,0.0,66.58,66.58,-3.25,6.282,0
Proposed,bigbuckbunny,1,1,2,2,1200,787.1,4.0,4.0,1.815,90.34,0.0,82.53,0,0.0,0,300,0.0,66.58,66.58,15.950000000000003,1.815,0
Proposed,bigbuckbunny,1,2,2,2,1200,677.6,4.0,4.0,3.896,90.34,0.0,73.59,0,0.0,0,300,0.0,66.58,66.58,7.010000000000005,3.896,0
Proposed,bigbuckbunny,1,3,2,2,1200,650.6,4.0,4.0,3.136,90.34,0.0,76.85,0,0.0,0,300,0.0,66.58,66.58,10.269999999999996,3.136,0
Proposed,bigbuckbunny,1,4,0,0,300,725.7,4.0,4.31,0.0,66.58,23.76,42.82,0,0.0,0,300,0.0,66.58,66.58,-23.759999999999998,0.0,1
Proposed,bigbuckbunny,1,5,2,2,1200,824.8,4.31,4.0,3.77,90.34,23.76,50.37,0,0.0,0,300,0.0,66.58,66.58,-16.21,3.77,0
Proposed,bigbuckbunny,1,6,2,2,1200,252.3,4.0,4.0,13.83,90.34,0.0,30.87,0,0.0,0,300,0.0,66.58,66.58,-35.709999999999994,13.83,0
Proposed,bigbuckbunny,1,7,0,0,300,761.1,4.0,5.91,0.0,66.58,23.76,42.82,0,0.0,0,300,0.0,66.58,66.58,-23.759999999999998,0.0,1
Proposed,bigbuckbunny,1,8,0,0,300,502.5,5.91,4.43,0.0,66.58,0.0,66.58,0,0.0,0,300,0.0,66.58,66.58,0.0,0.0,1
Proposed,bigbuckbunny,1,9,2,2,1200,618.3,4.43,4.0,3.575,90.34,23.76,51.21,0,0.0,1,750,0.0,83.73,66.58,-15.369999999999997,3.575,0
Proposed,bigbuckbunny,1,10,2,2,1200,583.5,4.0,4.0,4.116,90.34,0.0,72.64,0,0.0,1,750,0.0,83.73,83.73,-11.090000000000003,4.116,0
Proposed,bigbuckbunny,1,11,2,2,1200,488.0,4.0,4.0,6.44,90.34,0.0,62.65,0,0.0,1,750,0.0,83.73,83.73,-21.080000000000005,6.44,0
Proposed,bigbuckbunny,1,12,0,0,300,778.7,4.0,6.14,0.0,66.58,23.76,42.82,0,0.0,1,750,0.0,83.73,83.73,-40.910000000000004,0.0,0
Proposed,bigbuckbunny,1,13,2,2,1200,653.2,6.14,4.0,0.325,90.34,23.76,65.18,0,0.0,1,750,0.0,83.73,83.73,-18.549999999999997,0.325,0
Proposed,bigbuckbunny,1,14,2,2,1200,587.3,4.0,4.67,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,1,15,2,2,1200,472.8,4.67,4.61,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,1,16,2,2,1200,790.7,4.61,4.0,1.742,90.34,0.0,82.85,0,0.0,1,750,0.0,83.73,83.73,-0.8800000000000097,1.742,0
Proposed,bigbuckbunny,1,17,2,2,1200,576.4,4.0,4.0,0.599,90.34,0.0,87.76,0,0.0,1,750,0.0,83.73,83.73,4.030000000000001,0.599,0
Proposed,bigbuckbunny,1,18,2,2,1200,793.4,4.0,4.0,0.453,90.34,0.0,88.39,0,0.0,1,750,0.0,83.73,83.73,4.659999999999997,0.453,0
Proposed,bigbuckbunny,1,19,2,2,1200,446.8,4.0,4.0,3.64,90.34,0.0,74.69,0,0.0,1,750,0.0,83.73,83.73,-9.040000000000006,3.64,0
Proposed,bigbuckbunny,1,20,0,0,300,561.7,4.0,5.43,0.0,66.58,23.76,42.82,0,0.0,1,750,0.0,83.73,83.73,-40.910000000000004,0.0,0
Proposed,bigbuckbunny,1,21,2,2,1200,529.7,5.43,4.0,1.931,90.34,23.76,58.28,0,0.0,1,750,0.0,83.73,83.73,-25.450000000000003,1.931,0
Proposed,bigbuckbunny,1,22,2,2,1200,362.6,4.0,4.0,7.185,90.34,0.0,59.45,0,0.0,1,750,0.0,83.73,83.73,-24.28,7.185,0
Proposed,bigbuckbunny,1,23,2,2,1200,712.6,4.0,4.0,1.524,90.34,0.0,83.79,0,0.0,1,750,0.0,83.73,83.73,0.060000000000002274,1.524,0
Proposed,bigbuckbunny,1,24,0,0,300,475.3,4.0,4.0,1.558,66.58,23.76,36.12,0,0.0,1,750,6.054,83.73,57.7,-21.580000000000005,-4.496,0
Proposed,bigbuckbunny,1,25,2,2,1200,474.9,4.0,4.0,3.812,90.34,23.76,50.19,0,0.0,1,750,0.883,83.73,79.93,-29.74000000000001,2.929,0
Proposed,bigbuckbunny,1,26,2,2,1200,616.4,4.0,4.0,3.917,90.34,0.0,73.5,0,0.0,1,750,0.948,83.73,79.65,-6.150000000000006,2.969,0
Proposed,bigbuckbunny,1,27,2,2,1200,428.1,4.0,4.0,6.71,90.34,0.0,61.49,0,0.0,1,750,2.694,83.73,72.15,-10.660000000000004,4.016,0
Proposed,bigbuckbunny,1,28,0,0,300,475.6,4.0,4.0,1.878,66.58,23.76,34.74,0,0.0,1,750,10.696,83.73,37.74,-3.0,-8.818,0
