Method,Video,Episode,Chunk,Action_proposed,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,0,0,0,300,1126.0,1.17,4.0,0.686,66.58,0.0,63.63,1,750,3.476,83.73,68.78,-5.149999999999999,-2.79,0
Proposed,bigbuckbunny,0,1,2,1200,892.4,4.0,4.0,2.332,90.34,23.76,56.55,1,750,0.0,83.73,83.73,-27.180000000000007,2.332,0
Proposed,bigbuckbunny,0,2,2,1200,941.8,4.0,4.2,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,3,1,750,463.6,4.2,4.0,1.074,83.73,6.61,72.5,1,750,0.0,83.73,83.73,-11.230000000000004,1.074,1
Proposed,bigbuckbunny,0,4,0,300,1052.0,4.0,6.69,0.0,66.58,17.15,49.43,1,750,0.0,83.73,83.73,-34.300000000000004,0.0,0
Proposed,bigbuckbunny,0,5,2,1200,355.7,6.69,4.06,0.0,90.34,23.76,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed,bigbuckbunny,0,6,2,1200,952.1,4.06,5.58,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,7,2,1200,1023.8,5.58,6.82,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,8,2,1200,960.6,6.82,5.64,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,9,2,1200,955.9,5.64,7.17,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,10,2,1200,880.2,7.17,8.57,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,11,2,1200,1063.0,8.57,9.43,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,12,2,1200,934.7,9.43,4.67,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,13,2,1200,994.6,4.67,4.0,0.775,90.34,0.0,87.01,1,750,0.0,83.73,83.73,3.280000000000001,0.775,0
Proposed,bigbuckbunny,0,14,2,1200,1000.9,4.0,4.68,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,15,2,1200,858.9,4.68,4.38,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,16,1,750,1103.0,4.38,4.0,0.447,83.73,6.61,75.2,1,750,0.0,83.73,83.73,-8.530000000000001,0.447,1
Proposed,bigbuckbunny,0,17,2,1200,966.8,4.0,4.0,0.736,90.34,6.61,80.56,1,750,0.0,83.73,83.73,-3.1700000000000017,0.736,0
Proposed,bigbuckbunny,0,18,1,750,810.4,4.0,4.0,0.949,83.73,6.61,73.04,1,750,0.0,83.73,83.73,-10.689999999999998,0.949,1
Proposed,bigbuckbunny,0,19,2,1200,971.9,4.0,4.0,0.76,90.34,6.61,80.46,1,750,0.0,83.73,83.73,-3.2700000000000102,0.76,0
Proposed,bigbuckbunny,0,20,1,750,704.0,4.0,4.0,3.001,83.73,6.61,64.22,1,750,0.0,83.73,83.73,-19.510000000000005,3.001,1
Proposed,bigbuckbunny,0,21,2,1200,1036.7,4.0,4.0,0.013,90.34,6.61,83.67,2,1200,0.0,90.34,83.73,-0.060000000000002274,0.013,1
Proposed,bigbuckbunny,0,22,2,1200,1087.5,4.0,5.27,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,23,2,1200,1111.3,5.27,6.76,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,24,2,1200,1138.6,6.76,5.4,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,25,2,1200,1073.9,5.4,6.95,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,26,2,1200,1065.4,6.95,8.12,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,27,2,1200,984.5,8.12,9.16,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,28,2,1200,824.4,9.16,7.31,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,29,2,1200,1037.6,7.31,8.46,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,30,2,1200,1055.3,8.46,9.38,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,31,2,1200,1126.0,9.38,10.62,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,32,2,1200,892.4,10.62,6.88,0.0,90.34,0.0,90.34,1,750,0.0,83.73,77.12,13.219999999999999,0.0,0
Proposed,bigbuckbunny,0,33,2,1200,941.8,6.88,6.47,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,34,2,1200,463.6,6.47,4.0,5.175,90.34,0.0,68.09,1,750,0.0,83.73,83.73,-15.64,5.175,0
Proposed,bigbuckbunny,0,35,1,750,1052.0,4.0,5.48,0.0,83.73,6.61,77.12,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,0,36,0,300,355.7,5.48,4.0,2.818,66.58,17.15,37.31,1,750,0.0,83.73,83.73,-46.42,2.818,0
Proposed,bigbuckbunny,0,37,1,750,952.1,4.0,5.69,0.0,83.73,17.15,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,0,38,2,1200,1023.8,5.69,4.28,0.0,90.34,6.61,83.73,1,750,0.0,83.73,83.73,0.0,0.0,0
Proposed,bigbuckbunny,0,39,2,1200,960.6,4.28,4.0,1.35,90.34,0.0,84.53,1,750,0.0,83.73,83.73,0.7999999999999972,1.35,0
Proposed,bigbuckbunny,0,40,1,750,955.9,4.0,4.0,1.594,83.73,6.61,70.27,1,750,0.0,83.73,83.73,-13.460000000000008,1.594,1
Proposed,bigbuckbunny,0,41,2,1200,880.2,4.0,4.02,0.0,90.34,6.61,83.73,2,1200,0.0,90.34,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,42,2,1200,1063.0,4.02,4.0,0.379,90.34,0.0,88.71,2,1200,0.0,90.34,90.34,-1.6300000000000097,0.379,1
Proposed,bigbuckbunny,0,43,2,1200,934.7,4.0,4.69,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,44,2,1200,994.6,4.69,4.0,2.059,90.34,0.0,81.49,2,1200,0.0,90.34,90.34,-8.850000000000009,2.059,1
Proposed,bigbuckbunny,0,45,2,1200,1000.9,4.0,5.64,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,46,2,1200,858.9,5.64,5.78,0.0,90.34,0.0,90.34,3,1850,0.117,95.49,89.84,0.5,-0.117,0
Proposed,bigbuckbunny,0,47,2,1200,1103.0,5.78,7.84,0.0,90.34,0.0,90.34,3,1850,0.0,95.49,95.49,-5.1499999999999915,0.0,0
Proposed,bigbuckbunny,1,0,0,300,587.0,2.88,4.0,0.692,66.58,0.0,63.6,0,300,0.692,66.58,63.6,0.0,0.0,1
Proposed,bigbuckbunny,1,1,1,750,787.1,4.0,4.0,0.487,83.73,17.15,64.48,1,750,0.487,83.73,64.48,0.0,0.0,1
Proposed,bigbuckbunny,1,2,2,1200,677.6,4.0,4.0,1.285,90.34,6.61,78.21,1,750,0.0,83.73,83.73,-5.52000000000001,1.285,0
Proposed,bigbuckbunny,1,3,2,1200,650.6,4.0,4.0,2.01,90.34,0.0,81.7,1,750,0.0,83.73,83.73,-2.030000000000001,2.01,0
Proposed,bigbuckbunny,1,4,1,750,725.7,4.0,4.0,0.755,83.73,6.61,73.88,1,750,0.0,83.73,83.73,-9.850000000000009,0.755,1
Proposed,bigbuckbunny,1,5,2,1200,824.8,4.0,5.14,0.0,90.34,6.61,83.73,1,750,0.0,83.73,83.73,0.0,0.0,0
Proposed,bigbuckbunny,1,6,1,750,252.3,5.14,4.0,0.704,83.73,6.61,74.09,1,750,0.0,83.73,83.73,-9.64,0.704,1
Proposed,bigbuckbunny,1,7,1,750,761.1,4.0,5.68,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,8,2,1200,502.5,5.68,4.0,4.222,90.34,6.61,65.58,1,750,0.0,83.73,83.73,-18.150000000000006,4.222,0
Proposed,bigbuckbunny,1,9,2,1200,618.3,4.0,4.18,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,1,10,2,1200,583.5,4.18,4.27,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,1,11,2,1200,488.0,4.27,4.0,2.573,90.34,0.0,79.27,1,750,0.0,83.73,83.73,-4.460000000000008,2.573,0
Proposed,bigbuckbunny,1,12,0,300,778.7,4.0,5.37,0.0,66.58,23.76,42.82,1,750,0.0,83.73,83.73,-40.910000000000004,0.0,0
Proposed,bigbuckbunny,1,13,2,1200,653.2,5.37,4.0,2.918,90.34,23.76,54.03,1,750,0.819,83.73,80.21,-26.179999999999993,2.099,0
Proposed,bigbuckbunny,1,14,2,1200,587.3,4.0,4.0,1.665,90.34,0.0,83.18,1,750,0.0,83.73,83.73,-0.5499999999999972,1.665,0
Proposed,bigbuckbunny,1,15,1,750,472.8,4.0,4.0,0.882,83.73,6.61,73.33,1,750,0.422,83.73,81.91,-8.579999999999998,0.46,1
Proposed,bigbuckbunny,1,16,0,300,790.7,4.0,5.31,0.0,66.58,17.15,49.43,1,750,2.728,83.73,72.0,-22.57,-2.728,0
Proposed,bigbuckbunny,1,17,2,1200,576.4,5.31,4.0,2.635,90.34,23.76,55.25,1,750,0.965,83.73,79.58,-24.33,1.67,0
Proposed,bigbuckbunny,1,18,1,750,793.4,4.0,4.0,1.054,83.73,6.61,72.59,1,750,1.054,83.73,79.2,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,1,19,1,750,446.8,4.0,4.0,2.472,83.73,0.0,73.1,1,750,2.472,83.73,73.1,0.0,0.0,1
