Method,Video,Episode,Chunk,Action_proposed,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,0,0,0,300,1126.0,1.17,4.0,0.686,66.58,0.0,63.63,1,750,3.476,83.73,68.78,-5.149999999999999,-2.79,0
Proposed,bigbuckbunny,0,1,0,300,892.4,4.0,6.42,0.0,66.58,0.0,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed,bigbuckbunny,0,2,2,1200,941.8,6.42,6.61,0.0,90.34,23.76,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed,bigbuckbunny,0,3,0,300,463.6,6.61,8.51,0.0,66.58,23.76,42.82,1,750,0.0,83.73,83.73,-40.910000000000004,0.0,0
Proposed,bigbuckbunny,0,4,0,300,1052.0,8.51,11.19,0.0,66.58,0.0,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed,bigbuckbunny,0,5,2,1200,355.7,11.19,8.56,0.0,90.34,23.76,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed,bigbuckbunny,0,6,1,750,952.1,8.56,11.01,0.0,83.73,6.61,77.12,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,0,7,2,1200,1023.8,11.01,12.25,0.0,90.34,6.61,83.73,1,750,0.0,83.73,83.73,0.0,0.0,0
Proposed,bigbuckbunny,0,8,2,1200,960.6,12.25,11.07,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,9,2,1200,955.9,11.07,12.6,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,10,2,1200,880.2,12.6,14.01,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,11,2,1200,1063.0,14.01,14.87,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,12,2,1200,934.7,14.87,10.1,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,13,2,1200,994.6,10.1,8.66,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,14,2,1200,1000.9,8.66,9.34,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,15,2,1200,858.9,9.34,9.04,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,16,1,750,1103.0,9.04,8.21,0.0,83.73,6.61,77.12,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,0,17,2,1200,966.8,8.21,7.48,0.0,90.34,6.61,83.73,1,750,0.0,83.73,83.73,0.0,0.0,0
Proposed,bigbuckbunny,0,18,1,750,810.4,7.48,6.53,0.0,83.73,6.61,77.12,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,0,19,1,750,971.9,6.53,7.55,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,20,0,300,704.0,7.55,8.75,0.0,66.58,17.15,49.43,1,750,0.0,83.73,83.73,-34.300000000000004,0.0,0
Proposed,bigbuckbunny,0,21,2,1200,1036.7,8.75,8.74,0.0,90.34,23.76,66.58,2,1200,0.0,90.34,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,0,22,2,1200,1087.5,8.74,10.01,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,23,2,1200,1111.3,10.01,11.5,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,24,2,1200,1138.6,11.5,10.14,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,25,2,1200,1073.9,10.14,11.69,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,26,2,1200,1065.4,11.69,12.86,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,27,2,1200,984.5,12.86,13.9,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,28,2,1200,824.4,13.9,12.05,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,29,2,1200,1037.6,12.05,13.2,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,30,2,1200,1055.3,13.2,14.12,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,31,2,1200,1126.0,14.12,15.36,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,32,2,1200,892.4,15.36,11.62,0.0,90.34,0.0,90.34,1,750,0.0,83.73,77.12,13.219999999999999,0.0,0
Proposed,bigbuckbunny,0,33,2,1200,941.8,11.62,11.21,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,34,1,750,463.6,11.21,7.93,0.0,83.73,6.61,77.12,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,0,35,1,750,1052.0,7.93,9.42,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,36,0,300,355.7,9.42,5.11,0.0,66.58,17.15,49.43,1,750,0.0,83.73,83.73,-34.300000000000004,0.0,0
Proposed,bigbuckbunny,0,37,0,300,952.1,5.11,8.19,0.0,66.58,0.0,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed,bigbuckbunny,0,38,2,1200,1023.8,8.19,6.78,0.0,90.34,23.76,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed,bigbuckbunny,0,39,1,750,960.6,6.78,7.26,0.0,83.73,6.61,77.12,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,0,40,0,300,955.9,7.26,9.02,0.0,66.58,17.15,49.43,1,750,0.0,83.73,83.73,-34.300000000000004,0.0,0
Proposed,bigbuckbunny,0,41,2,1200,880.2,9.02,9.05,0.0,90.34,23.76,66.58,2,1200,0.0,90.34,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,0,42,2,1200,1063.0,9.05,8.65,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,43,2,1200,934.7,8.65,9.33,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,44,1,750,994.6,9.33,9.12,0.0,83.73,6.61,77.12,2,1200,0.0,90.34,90.34,-13.219999999999999,0.0,0
Proposed,bigbuckbunny,0,45,2,1200,1000.9,9.12,10.76,0.0,90.34,6.61,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,0,46,2,1200,858.9,10.76,10.89,0.0,90.34,0.0,90.34,3,1850,0.117,95.49,89.84,0.5,-0.117,0
Proposed,bigbuckbunny,0,47,2,1200,1103.0,10.89,12.96,0.0,90.34,0.0,90.34,3,1850,0.0,95.49,95.49,-5.1499999999999915,0.0,0
Proposed,bigbuckbunny,1,0,0,300,587.0,2.88,4.0,0.692,66.58,0.0,63.6,0,300,0.692,66.58,63.6,0.0,0.0,1
Proposed,bigbuckbunny,1,1,0,300,787.1,4.0,6.21,0.0,66.58,0.0,66.58,1,750,0.487,83.73,64.48,2.0999999999999943,-0.487,0
Proposed,bigbuckbunny,1,2,1,750,677.6,6.21,6.9,0.0,83.73,17.15,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,1,3,1,750,650.6,6.9,7.15,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,4,0,300,725.7,7.15,9.24,0.0,66.58,17.15,49.43,1,750,0.0,83.73,83.73,-34.300000000000004,0.0,0
Proposed,bigbuckbunny,1,5,2,1200,824.8,9.24,10.38,0.0,90.34,23.76,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed,bigbuckbunny,1,6,1,750,252.3,10.38,8.54,0.0,83.73,6.61,77.12,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,1,7,0,300,761.1,8.54,11.61,0.0,66.58,17.15,49.43,1,750,0.0,83.73,83.73,-34.300000000000004,0.0,0
Proposed,bigbuckbunny,1,8,1,750,502.5,11.61,9.42,0.0,83.73,17.15,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,1,9,2,1200,618.3,9.42,9.6,0.0,90.34,6.61,83.73,1,750,0.0,83.73,83.73,0.0,0.0,0
Proposed,bigbuckbunny,1,10,2,1200,583.5,9.6,9.69,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,1,11,2,1200,488.0,9.69,6.85,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,1,12,0,300,778.7,6.85,8.22,0.0,66.58,23.76,42.82,1,750,0.0,83.73,83.73,-40.910000000000004,0.0,0
Proposed,bigbuckbunny,1,13,1,750,653.2,8.22,7.04,0.0,83.73,17.15,66.58,1,750,0.819,83.73,80.21,-13.629999999999995,-0.819,1
Proposed,bigbuckbunny,1,14,1,750,587.3,7.04,7.5,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,15,1,750,472.8,7.5,6.62,0.0,83.73,0.0,83.73,1,750,0.422,83.73,81.91,1.8200000000000074,-0.422,1
