Method,Video,Episode,Chunk,Action_proposed,Applied_Action,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,0,0,1,1,750,1126.0,1.17,4.0,3.83,83.73,0.0,67.26,0,0.0,1,750,3.83,83.73,67.26,0.0,0.0,1
Proposed,bigbuckbunny,0,1,1,1,750,892.4,4.0,4.58,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,2,1,1,750,941.8,4.58,4.53,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,3,1,1,750,463.6,4.53,4.0,0.453,83.73,0.0,81.78,0,0.0,1,750,0.453,83.73,81.78,0.0,0.0,1
Proposed,bigbuckbunny,0,4,1,1,750,1052.0,4.0,4.0,0.849,83.73,0.0,80.08,0,0.0,1,750,0.849,83.73,80.08,0.0,0.0,1
Proposed,bigbuckbunny,0,5,1,1,750,355.7,4.0,4.0,2.671,83.73,0.0,72.25,0,0.0,1,750,2.671,83.73,72.25,0.0,0.0,1
Proposed,bigbuckbunny,0,6,1,1,750,952.1,4.0,5.08,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,7,1,1,750,1023.8,5.08,6.02,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,8,1,1,750,960.6,6.02,4.61,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,9,1,1,750,955.9,4.61,5.99,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,83.73,0.0,0.0,0
Proposed,bigbuckbunny,0,10,1,1,750,880.2,5.99,8.14,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,11,1,1,750,1063.0,8.14,10.1,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,12,1,1,750,934.7,10.1,10.99,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,13,2,2,1200,994.6,10.99,12.83,0.0,90.34,6.61,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,0,14,2,2,1200,1000.9,12.83,14.09,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,15,2,2,1200,858.9,14.09,14.77,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,16,2,2,1200,1103.0,14.77,13.61,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,17,2,2,1200,966.8,13.61,13.91,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,18,2,2,1200,810.4,13.91,12.48,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,19,2,2,1200,971.9,12.48,13.56,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,20,1,1,750,704.0,13.56,9.12,0.0,83.73,6.61,77.12,0,0.0,1,750,0.654,83.73,74.31,2.8100000000000023,-0.654,1
Proposed,bigbuckbunny,0,21,2,2,1200,1036.7,9.12,9.71,0.0,90.34,6.61,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,0
Proposed,bigbuckbunny,0,22,2,2,1200,1087.5,9.71,9.42,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,23,2,2,1200,1111.3,9.42,10.43,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,24,1,1,750,1138.6,10.43,9.9,0.0,83.73,6.61,77.12,0,0.0,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,0,25,1,1,750,1073.9,9.9,11.15,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,26,1,1,750,1065.4,11.15,13.06,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,27,1,1,750,984.5,13.06,13.85,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,28,1,1,750,824.4,13.85,11.96,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,29,2,2,1200,1037.6,11.96,12.07,0.0,90.34,6.61,83.73,0,0.0,2,1200,0.0,90.34,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,30,2,2,1200,1055.3,12.07,14.2,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,31,2,2,1200,1126.0,14.2,15.79,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,32,2,2,1200,892.4,15.79,13.8,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,33,2,2,1200,941.8,13.8,15.76,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,34,2,2,1200,463.6,15.76,12.74,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,35,2,2,1200,1052.0,12.74,14.74,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,36,1,1,750,355.7,14.74,6.8,0.0,83.73,6.61,77.12,0,0.0,1,750,0.0,83.73,77.12,0.0,0.0,1
Proposed,bigbuckbunny,0,37,2,2,1200,952.1,6.8,8.31,0.0,90.34,6.61,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,0
Proposed,bigbuckbunny,0,38,1,1,750,1023.8,8.31,10.27,0.0,83.73,6.61,77.12,0,0.0,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,0,39,1,1,750,960.6,10.27,10.61,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,40,1,1,750,955.9,10.61,9.69,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,41,1,1,750,880.2,9.69,9.56,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,42,1,1,750,1063.0,9.56,9.78,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,43,1,1,750,934.7,9.78,10.82,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,44,1,1,750,994.6,10.82,7.53,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,45,2,2,1200,1000.9,7.53,8.2,0.0,90.34,6.61,83.73,0,0.0,3,1850,0.0,95.49,83.73,0.0,0.0,0
Proposed,bigbuckbunny,0,46,1,1,750,858.9,8.2,9.3,0.0,83.73,6.61,77.12,0,0.0,3,1850,0.926,95.49,91.51,-14.39,-0.926,0
Proposed,bigbuckbunny,0,47,1,1,750,1103.0,9.3,11.72,0.0,83.73,0.0,83.73,0,0.0,3,1850,0.0,95.49,95.49,-11.759999999999991,0.0,0
Proposed,bigbuckbunny,1,0,1,1,750,587.0,2.88,4.0,6.722,83.73,0.0,54.82,0,0.0,0,300,0.963,66.58,62.44,-7.619999999999997,5.759,0
Proposed,bigbuckbunny,1,1,1,1,750,787.1,4.0,4.12,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,66.58,17.150000000000006,0.0,1
Proposed,bigbuckbunny,1,2,1,1,750,677.6,4.12,4.0,1.507,83.73,0.0,77.25,0,0.0,1,750,1.507,83.73,77.25,0.0,0.0,1
Proposed,bigbuckbunny,1,3,1,1,750,650.6,4.0,4.45,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,4,1,1,750,725.7,4.45,4.0,2.579,83.73,0.0,72.64,0,0.0,1,750,2.579,83.73,72.64,0.0,0.0,1
Proposed,bigbuckbunny,1,5,1,1,750,824.8,4.0,5.12,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,6,1,1,750,252.3,5.12,4.0,5.9,83.73,0.0,58.36,0,0.0,1,750,5.9,83.73,58.36,0.0,0.0,1
Proposed,bigbuckbunny,1,7,1,1,750,761.1,4.0,4.0,0.116,83.73,0.0,83.23,0,0.0,1,750,0.116,83.73,83.23,0.0,0.0,1
Proposed,bigbuckbunny,1,8,1,1,750,502.5,4.0,4.0,6.332,83.73,0.0,56.5,0,0.0,1,750,6.332,83.73,56.5,0.0,0.0,1
Proposed,bigbuckbunny,1,9,1,1,750,618.3,4.0,4.0,0.061,83.73,0.0,83.47,0,0.0,1,750,0.061,83.73,83.47,0.0,0.0,1
Proposed,bigbuckbunny,1,10,1,1,750,583.5,4.0,5.22,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,11,1,1,750,488.0,5.22,4.78,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,12,1,1,750,778.7,4.78,5.03,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,13,1,1,750,653.2,5.03,6.98,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,14,1,1,750,587.3,6.98,8.07,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,15,1,1,750,472.8,8.07,8.29,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,16,1,1,750,790.7,8.29,7.79,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,17,1,1,750,576.4,7.79,7.91,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,18,1,1,750,793.4,7.91,8.45,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,19,1,1,750,446.8,8.45,8.49,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,20,1,1,750,561.7,8.49,4.0,2.095,83.73,0.0,74.72,0,0.0,1,750,2.095,83.73,74.72,0.0,0.0,1
Proposed,bigbuckbunny,1,21,1,1,750,529.7,4.0,4.0,0.169,83.73,0.0,83.0,0,0.0,1,750,0.169,83.73,83.0,0.0,0.0,1
Proposed,bigbuckbunny,1,22,1,1,750,362.6,4.0,4.0,4.055,83.73,0.0,66.29,0,0.0,1,750,4.055,83.73,66.29,0.0,0.0,1
Proposed,bigbuckbunny,1,23,1,1,750,712.6,4.0,5.09,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,24,1,1,750,475.3,5.09,4.0,5.766,83.73,0.0,58.94,0,0.0,1,750,5.766,83.73,58.94,0.0,0.0,1
Proposed,bigbuckbunny,1,25,1,1,750,474.9,4.0,4.0,2.225,83.73,0.0,74.16,0,0.0,1,750,2.225,83.73,74.16,0.0,0.0,1
