Scope,Method,n,QoE_mean,QoE_ci_lo,QoE_ci_hi,QoE_CVaR10,VMAF_mean,Rebuf_pct_mean,Rebuf_ci_lo,Rebuf_ci_hi,Rebuf_p95,Rebuf_p99,Max_Stall_s_p99,StallFree_frac,Switch_mean
pooled,Ablation_Base,80,2980.82,2663.01,3271.27,326.72,65.84,0.358,0.232,0.502,1.274,3.047,5.328,0.388,10.03
pooled,Ablation_Future,80,3009.67,2689.53,3304.37,346.8,68.43,0.395,0.229,0.645,1.274,3.443,5.862,0.4,18.89
pooled,Ablation_Lyap,80,2978.72,2657.29,3275.56,311.49,65.98,0.307,0.22,0.41,1.047,1.72,3.035,0.388,11.07
pooled,BBA,80,-1973.86,-2692.07,-1268.27,-7632.39,73.03,27.418,24.306,30.592,48.569,49.404,21.966,0.0,26.29
pooled,Fugu,80,3071.87,2742.85,3371.12,291.33,70.42,0.347,0.266,0.438,1.096,1.537,2.685,0.287,22.25
pooled,Genie,80,3290.27,2968.53,3584.69,588.97,70.68,0.269,0.195,0.346,0.952,1.36,2.177,0.362,5.04
pooled,Pensieve,80,2987.71,2663.02,3277.84,349.64,66.11,0.354,0.229,0.519,1.274,2.715,4.466,0.4,9.49
pooled,Proposed,80,2938.15,2598.14,3245.79,221.01,65.01,0.303,0.21,0.409,1.047,1.806,3.12,0.4,11.1
pooled,Proposed_Shielded,80,2965.0,2639.61,3265.31,379.2,64.73,0.342,0.222,0.507,1.066,2.294,4.139,0.4,6.79
pooled,Proposed_ShieldedQoE,80,2802.76,2473.06,3105.11,64.78,66.07,0.305,0.221,0.396,1.274,1.564,2.75,0.4,30.66
pooled,Proposed_ShieldedRiskGate,80,2965.0,2639.61,3265.31,379.2,64.73,0.342,0.222,0.507,1.066,2.294,4.139,0.4,6.79
pooled,RobustMPC,80,2058.86,1685.93,2413.41,-1214.13,70.96,6.133,5.247,7.105,15.338,18.793,22.437,0.0,16.88
seen,Ablation_Base,60,2669.95,2297.0,3043.17,298.42,59.03,0.263,0.172,0.385,0.952,1.767,3.144,0.4,8.58
seen,Ablation_Future,60,2705.35,2322.46,3087.26,321.68,62.07,0.35,0.16,0.687,0.756,4.204,7.892,0.417,18.37
seen,Ablation_Lyap,60,2663.4,2288.1,3039.84,273.02,59.3,0.259,0.17,0.382,0.756,1.731,3.144,0.4,9.88
seen,BBA,60,-2362.64,-3231.84,-1535.61,-7980.16,67.02,27.855,24.186,31.662,48.701,49.562,23.522,0.0,26.45
seen,Fugu,60,2765.24,2376.68,3147.28,272.96,64.06,0.294,0.212,0.385,0.952,1.406,2.46,0.267,22.12
seen,Genie,60,2999.97,2613.65,3377.11,544.46,64.42,0.208,0.15,0.275,0.687,0.983,1.888,0.367,4.83
seen,Pensieve,60,2678.77,2304.97,3055.84,298.43,59.46,0.295,0.16,0.513,0.756,2.853,5.298,0.417,9.25
seen,Proposed,60,2607.5,2213.52,2994.31,185.21,57.87,0.207,0.15,0.274,0.687,0.983,1.888,0.417,11.12
seen,Proposed_Shielded,60,2633.9,2256.22,3016.03,348.9,57.6,0.295,0.16,0.513,0.756,2.853,5.298,0.417,5.88
seen,Proposed_ShieldedQoE,60,2463.76,2077.36,2844.15,35.85,59.03,0.256,0.171,0.354,0.952,1.6,2.659,0.417,29.87
seen,Proposed_ShieldedRiskGate,60,2633.9,2256.22,3016.03,348.9,57.6,0.295,0.16,0.513,0.756,2.853,5.298,0.417,5.88
seen,RobustMPC,60,1709.11,1277.88,2152.36,-1434.5,64.8,6.323,5.232,7.426,15.338,19.636,23.317,0.0,17.22
unseen,Ablation_Base,20,3913.42,3766.8,4051.52,3344.84,86.28,0.642,0.304,1.119,1.589,3.701,6.392,0.35,14.35
unseen,Ablation_Future,20,3922.63,3791.11,4055.89,3531.03,87.5,0.532,0.297,0.793,1.479,1.918,2.969,0.35,20.45
unseen,Ablation_Lyap,20,3924.7,3796.91,4051.91,3472.77,86.02,0.453,0.262,0.666,1.341,1.428,2.471,0.35,14.65
unseen,BBA,20,-807.51,-2060.84,408.62,-4031.75,91.07,26.109,19.951,32.543,42.257,42.738,17.48,0.0,25.8
unseen,Fugu,20,3991.75,3842.13,4141.44,3496.59,89.49,0.507,0.308,0.726,1.341,1.428,2.471,0.35,22.65
unseen,Genie,20,4161.17,4040.82,4278.11,3716.78,89.45,0.453,0.262,0.666,1.341,1.428,2.471,0.35,5.65
unseen,Pensieve,20,3914.52,3782.11,4044.04,3472.83,86.03,0.53,0.296,0.785,1.477,1.882,2.899,0.35,10.2
unseen,Proposed,20,3930.09,3787.03,4068.64,3422.15,86.43,0.588,0.303,0.944,1.535,2.824,4.708,0.35,11.05
unseen,Proposed_Shielded,20,3958.31,3831.83,4085.58,3556.25,86.11,0.484,0.289,0.697,1.341,1.428,2.471,0.35,9.5
unseen,Proposed_ShieldedQoE,20,3819.77,3679.73,3963.54,3385.04,87.19,0.453,0.262,0.666,1.341,1.428,2.471,0.35,33.05
unseen,Proposed_ShieldedRiskGate,20,3958.31,3831.83,4085.58,3556.25,86.11,0.484,0.289,0.697,1.341,1.428,2.471,0.35,9.5
unseen,RobustMPC,20,3108.12,2717.42,3446.11,1409.78,89.43,5.565,4.032,7.419,11.256,15.738,11.786,0.0,15.85
