Config,RiskRatio,AllowedStall,TPScale,MaxDowngrade,Method,QoE,Rebuffer,VMAF,Switch
tight,1.15,0.1,0.95,3,Pensieve_V13,3261.3960259234323,16.198458584855665,71.67905208333335,6.5875
tight,1.15,0.1,0.95,3,Proposed_V13_Base,3264.045595759301,15.752592567914245,71.78941145833335,6.8375
tight,1.15,0.1,0.95,3,Proposed_V13_SoftGuard,3272.1477198818257,14.872096671290606,71.74752604166669,6.475
tight,1.15,0.1,0.95,3,Proposed_V13_TightGuard,3272.1477198818257,14.872096671290606,71.74752604166669,6.475
tight,1.15,0.1,0.95,3,RobustMPC,3274.6631613095656,32.72495320862827,74.96430729166669,7.9125
balanced,1.35,0.25,0.97,2,Pensieve_V13,3261.3960259234323,16.198458584855665,71.67905208333335,6.5875
balanced,1.35,0.25,0.97,2,Proposed_V13_Base,3264.045595759301,15.752592567914245,71.78941145833335,6.8375
balanced,1.35,0.25,0.97,2,Proposed_V13_SoftGuard,3271.2310108771608,15.031188120499047,71.75621354166668,6.5
balanced,1.35,0.25,0.97,2,Proposed_V13_TightGuard,3272.1477198818257,14.872096671290606,71.74752604166669,6.475
balanced,1.35,0.25,0.97,2,RobustMPC,3274.6631613095656,32.72495320862827,74.96430729166669,7.9125
qoe_hi,1.55,0.4,1.0,1,Pensieve_V13,3261.3960259234323,16.198458584855665,71.67905208333335,6.5875
qoe_hi,1.55,0.4,1.0,1,Proposed_V13_Base,3264.045595759301,15.752592567914245,71.78941145833335,6.8375
qoe_hi,1.55,0.4,1.0,1,Proposed_V13_SoftGuard,3269.290486345514,15.226231062801158,71.76954166666668,6.625
qoe_hi,1.55,0.4,1.0,1,Proposed_V13_TightGuard,3272.1477198818257,14.872096671290606,71.74752604166669,6.475
qoe_hi,1.55,0.4,1.0,1,RobustMPC,3274.6631613095656,32.72495320862827,74.96430729166669,7.9125
qoe_no_smooth,1.55,0.4,1.0,1,Pensieve_V13,3261.3960259234323,16.198458584855665,71.67905208333335,6.5875
qoe_no_smooth,1.55,0.4,1.0,1,Proposed_V13_Base,3264.045595759301,15.752592567914245,71.78941145833335,6.8375
qoe_no_smooth,1.55,0.4,1.0,1,Proposed_V13_SoftGuard,3269.290486345514,15.226231062801158,71.76954166666668,6.625
qoe_no_smooth,1.55,0.4,1.0,1,Proposed_V13_TightGuard,3272.1477198818257,14.872096671290606,71.74752604166669,6.475
qoe_no_smooth,1.55,0.4,1.0,1,RobustMPC,3274.6631613095656,32.72495320862827,74.96430729166669,7.9125
